candidate_id,source,license,source_category,difficulty,prompt_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,translation_status,editorial_status
opentdb_remaining_0001,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,What's the second book in George R. R. Martin's 'A Song of Ice and Fire' series?,A Clash of Kings,A Dance with Dragons,A Storm of Swords,A Feast for Crows,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0002,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,Which classic horror character killed Elizabeth Lavenza?,Frankenstein's Monster,Count Dracula,Werewolf,The Creature from the Black Lagoon,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0003,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,hard,"The novel ""Jane Eyre"" was written by what author? ",Charlotte Brontë,Emily Brontë,Jane Austen,Louisa May Alcott,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0004,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,"Who wrote the young adult novel ""The Fault in Our Stars""?",John Green,Stephenie Meyer,Suzanne Collins,Stephen Chbosky,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0005,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"Which of the following was the author of ""Username Evie""?",Joe Sugg,Zoe Sugg,Joe Weller,Alfie Deyes,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0006,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"In the Lord of the Rings, who is the father of the dwarf Gimli?",Gloin,Thorin Oakenshield,Bombur,Dwalin,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0007,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,easy,"In the novel 1984, written by George Orwell, what is the name of the totalitarian regime that controls Oceania?",INGSOC,Neo-Bolshevism,Obliteration of the Self,Earth Alliance,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0008,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,Mary Shelley is the author of what classic horror story?,Frankenstein,Dracula,Strange Case of Dr Jekyll and Mr Hyde,The Legend of Sleepy Hollow,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0009,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"Where does Stephen King's ""IT"" take place?","Derry, Maine","Rockford, Illinois","Innsmouth, Massachusetts","Kingsland, Texas",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0010,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Books,medium,"Who wrote the ""A Song of Ice And Fire"" fantasy novel series?",George R. R. Martin,George Lucas,George Orwell,George Eliot,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
