id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,difficulty,source_url,source_verified,confidence,publication_status,issue_type,review_notes
cografya_20260801_0001,Cografya,ku-kmr,"Li gorî nivîsa Encyclopaedia Iranica, lêkolîna erdnasiya Îranê li ser kîjan sê mijaran disekine?","Avahiyên erdnasî, xeterên xwezayî û çavkaniyên xwezayî","Ziman, huner û mûzîk","Bazirganî, spor û perwerde","Dîroka şaredariyan, qanûn û aboriyê",A,"Avahiyên erdnasî, xeterên xwezayî û çavkaniyên xwezayî","Nivîs sê qadên sereke dide naskirin: avahiya erdnasî û cudabûna çiya û avê, xeterên xwezayî, û çavkaniyên erdnasî yên wekî madenan.",1,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Iranica gelekî piştrast dike.
cografya_20260801_0002,Cografya,ku-kmr,Di aliyê erdnasî de Îran bi kîjan du taybetmendiyan tê danasîn?,Deryaya Qezwînê û deşta Hindistanê,Rêzeya çiyayên Tertiyerî ya Ewrûsyayê û platoya mezin a Îranî,Tenê çiyayên volkanîk û qada şor,Bajarên kevnar û şaxên bazirganiyê,B,Rêzeya çiyayên Tertiyerî ya Ewrûsyayê û platoya mezin a Îranî,Nivîs dibêje ku Îran hem beşek ji rêzeya çiyayên Tertiyerî ya Ewrûsyayê ye û hem jî platoyeke fireh a Îranî dihewîne.,2,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Duyemîn agahî rast û rasterast e.
cografya_20260801_0003,Cografya,ku-kmr,Kîjan du rêzeyên çiyayî di nivîsê de wekî hêmanên geologîk ên ciwan ên Îranê tên nîşandan?,Hindûkuş û Himalaya,Alp û And,Elborz û Zagros,Kawkaz û Karpat,C,Elborz û Zagros,Nivîs rêzeyên çiyayî yên Elborz û Zagrosê wekî hêmanên Tertiyerî yên geologîk ên ciwan dide naskirin.,2,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Nav û şertên erdnasî li ser çavkaniyê ne.
cografya_20260801_0004,Cografya,ku-kmr,Bingehê Precambriyen ê ku di nivîsê de tê behskirin çi ye?,Rûberê avê yê deryaya Qezwînê,Herikîna heriyê di nav geliyekê de,Rêgezek ji bo veguhestina neftê,Parçeyek ji avahiyeke kevn a ku platoya Îranî li ser wê hatiye avakirin,D,Parçeyek ji avahiyeke kevn a ku platoya Îranî li ser wê hatiye avakirin,Nivîs platoya Îranî bi komkirina bingehê Precambriyen ve girê dide û wê wekî avahiyeke geologîk a kevn dide ravekirin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Ravekirin bi agahiyên nivîsê re hevaheng e.
cografya_20260801_0005,Cografya,ku-kmr,"Li gorî dîtina nivîsê, Elborz û Îrana Navîn di warê çi de ji hev re girêdayîtir in?",Di stratigrafî û avahiyê de,Di ziman û edebiyatê de,Di bazirganiyê û rêyên deryayî de,Di avakirina bajarên nû de,A,Di stratigrafî û avahiyê de,Nivîs dibêje ku Elborz û Îrana Navîn di stratigrafî û avahiyê de ji ya ku berê dihate texmînkirin nêzîktir in.,3,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Cevab li beşa avahiya geologîkê ve girêdayî ye.
cografya_20260801_0006,Cografya,ku-kmr,Nebûna orogenezên Paleozoîk di navbera Precambriyenê û Triasê de çi nîşan dide?,Bûyîna deryayeke nû di herêmê de,Stabîlîta nisbeten dirêj a şertên parzemînî yên Îrana Navîn,Pêkhatina herî nû ya çiyayên And,Zêdebûna barana li deşta Qezwînê,B,Stabîlîta nisbeten dirêj a şertên parzemînî yên Îrana Navîn,Nivîs nebûna van orogenezan bi şertên parzemînî û epikontinental ên yekrengtir û bi stabîlîta tektonîk ve girê dide.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Agahî ji beşa dîroka geologîkê hatiye girtin.
cografya_20260801_0007,Cografya,ku-kmr,Qalindahiya navîn a sedimentên Îrana Navîn li gorî nivîsê çiqas e?,Nêzîkî 30 heta 40 metre,Nêzîkî 300 heta 400 metre,Nêzîkî 3 000 heta 4 000 metre,Zêdetirî 40 000 metre,C,Nêzîkî 3 000 heta 4 000 metre,Nivîs qalindahiya navîn a sedimentên Îrana Navîn bi 3 000 heta 4 000 metreyî dide diyarkirin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Jimare rasterast di nivîsê de hatiye dayîn.
cografya_20260801_0008,Cografya,ku-kmr,"Li gorî yek ji teoriyên ku nivîs behs dike, Îran di destpêka dîroka plakayan de beşek ji kîjan qada kevn bû?",Atlantîkê,Baltîkayê,Antarktîkayê,Gondwanayê,D,Gondwanayê,Li gorî teoriyê dîtina daneyên paleogeografîk û paleomagnetîk Îran wekî beşek ji Gondwanayê dihate hesibandin.,4,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Teorî wekî teorî hatiye nîşandan.
cografya_20260801_0009,Cografya,ku-kmr,"Li gorî teoriyên ku di nivîsê de tên ravekirin, hevketina plakeya Erebî û plakeya Îranî çi encamên geologîk dide?",Bilindbûna Zagrosê û çalakiya volkanîk û erdhejî,Kêm bûna hemû çavkaniyên avê,Pêkhatina qada daristanên tropîkal,Veguhestina Alborzê ber bi rojava,A,Bilindbûna Zagrosê û çalakiya volkanîk û erdhejî,Nivîs hevketina her du plakan bi bilindbûna çiyayên Zagrosê û çalakiya berdewam a volkanîk û erdhejî ve girê dide.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Encamên hevketina plakeyan rasterast tên behskirin.
cografya_20260801_0010,Cografya,ku-kmr,Stöcklin di dabeşkirina avahiya geologîk a Îranê de çend herêmên avahiyê cuda dike?,Pênc herêm,Neh herêm,Heft herêm,Du herêm,B,Neh herêm,Nivîs li gorî Stöcklin neh herêmên avahiyê dide lîstekirin؛ dabeşkirin ji deşta Şatt al-Arabê heta rêzeyên Makranê digihîje.,3,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Jimara herêman li çavkaniyê heye.
cografya_20260801_0011,Cografya,ku-kmr,Harrison di analîza geologîk a Îranê de çend herêmên avahiyê cuda dike?,Neh herêm,Çar herêm,Heşt herêm,Duazdeh herêm,C,Heşt herêm,Harrison di nivîsê de bi dabeşkirineke cuda heşt herêmên avahiyê dide naskirin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Cudahiya dabeşkirinê di çavkaniyê de hatiye şîrovekirin.
cografya_20260801_0012,Cografya,ku-kmr,Kîjan navnîşana li jêr yek ji pênc herêmên xwezayî yên Îranê ye?,Deryaya Baltîkê,Deşta Amazonyayê,Çiyayên Andê,Deştên kêmav ên deryaya Qezwînê,D,Deştên kêmav ên deryaya Qezwînê,Nivîs pênc herêmên xwezayî dide naskirin û deştên kêmav ên deryaya Qezwînê yek ji wan in.,2,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Herêma rast di lîsteya pênc herêman de ye.
cografya_20260801_0013,Cografya,ku-kmr,Kîjan kom bi tevahî di nav pênc herêmên xwezayî yên Îranê de cih digire?,"Deştên Qezwînê, Elborz, platoya Îranî, Zagros-Makran û deştên Kendava Farisî","Kawkaz, Alp, And, Himalaya û Ural","Sahra, Amazon, Nil, Alp û Baltîk","Tehran, Kerman, Yazd, Shiraz û Tabrîz",A,"Deştên Qezwînê, Elborz, platoya Îranî, Zagros-Makran û deştên Kendava Farisî","Nivîs dabeşkirina pênc herêman bi deştên Qezwînê, Elborz û çiyayên Xorasanê, platoya Îranî, Zagros û Makran, û deştên Kendava Farisî dide ravekirin.",4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Lîsteya tevahî ji çavkaniyê hatiye berhevkirin.
cografya_20260801_0014,Cografya,ku-kmr,Çima platoya Îranî ya navîn di nivîsê de wekî hewzeke endorheîk tê binavkirin?,Ji ber ku hemû çemên wê ber bi deryaya Qezwînê ve diherikin,Ji ber ku avên wê rasterast ber bi okyanûsan ve dernakevin,Ji ber ku li ser wê tu çiya tune ne,Ji ber ku tenê ji axa şil pêk hatiye,B,Ji ber ku avên wê rasterast ber bi okyanûsan ve dernakevin,Avahiya çiyayî ya derdorê rê nade ku avên navxweyî rasterast bi derya û okyanûsan re têkilî bikin؛ ji ber vê yekê herêm navxweyî ye.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Têgeha endorheîk bi awayekî zelal hatiye ravekirin.
cografya_20260801_0015,Cografya,ku-kmr,Kîjan rêzeya çiyayî bi tevahî di avakirina astengiya geologîk a nav Îranê de roleke giring heye?,And û Alp,Ural û Kawkaz,Elborz û Zagros-Makran,Himalaya û Karakoram,C,Elborz û Zagros-Makran,Nivîs dibêje ku Elborz li bakur û Zagros-Makran li rojava û başûr astengiyeke geologîk û geomorfologîk çêdikin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Her du rêzeçiya li çavkaniyê tên behskirin.
cografya_20260801_0016,Cografya,ku-kmr,"Li gorî nivîsê, ev astengiya çiyayî nêzîkî çiqas ji rûbera axa Îranê ji gihîştina rasterast bi Okyanûsa Hindê re dûr dixe?",Nêzîkî ji sedî pênc,Hemû rûberê axê,Tenê ji sedî deh,Nêzîkî nîvê rûberê axê,D,Nêzîkî nîvê rûberê axê,Nivîs texmîn dike ku astengiya çiyayî nêzîkî 50 ji sedî rûbera axê ji gihîştina rasterast bi Okyanûsa Hindê re dûr dixe.,4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Rêjeya nîvê li nivîsê wekî texmîn hatiye dayîn.
cografya_20260801_0017,Cografya,ku-kmr,Qada Mezin a Kavîrê li gorî nivîsê ji bo çi taybet e?,Ji ber ku rûbera wê ji 200 000 km² mezintir e,Ji ber ku ew qada herî bilind a Îranê ye,Ji ber ku hemû avên wê ber bi deryayê ve diherikin,Ji ber ku tenê ji çiyayên volkanîk pêk tê,A,Ji ber ku rûbera wê ji 200 000 km² mezintir e,Nivîs Qada Mezin a Kavîrê wekî hewzeke hundirîn a ji 200 000 km² mezintir dide naskirin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Jimare û đơnîta rûberê di çavkaniyê de ye.
cografya_20260801_0018,Cografya,ku-kmr,Rûbera Kavîrê Lûtê li gorî nivîsê nêzîkî çiqas e?,16 616 km²,166 160 km²,1 661 km²,1 661 600 km²,B,166 160 km²,Nivîs rûbera Kavîrê Lûtê 166 160 km² dide nivîsandin û wê bi rêzeyên çiyayî yên cuda ve girê dide.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Jimare rasterast hatiye nivîsandin.
cografya_20260801_0019,Cografya,ku-kmr,Di avakirina pergala avê ya Îrana Navîn de kîjan pêvajoyên geologîk roleke giring lîstin?,Kêm bûna bayê û zêdebûna tavê,Şîn bûna daristanan û çêbûna zeviyan,Çepbûn û qermiçandin,Guhertina zimanê gelan,C,Çepbûn û qermiçandin,Li gorî nivîsê çepbûn û qermiçandina axê bilindî û nizmî çêkirine û ev yek pergala avê ya herêmên hundirîn tevlihev kiriye.,4,https://www.iranicaonline.org/articles/geology/,verified,0.97,approved,,Pêvajoyên erdnasî bi encama avê ve hatine girêdan.
cografya_20260801_0020,Cografya,ku-kmr,Çalakiya erdhejî ya li Îranê di nivîsê de çawa tê nirxandin?,Ew tenê di dema zivistanê de çêdibe,Ew li Îranê qet nayê dîtin,Ew tenê li ser deryayê çêdibe,Ew pir caran çêdibe û dikare bandorên mezin li mirovan û jîngehê bike,D,Ew pir caran çêdibe û dikare bandorên mezin li mirovan û jîngehê bike,"Nivîs erdhejan li Îranê pir caran dibîne û balê dikişîne ser windabûna mirovan, mal û torên ragihandinê û encamên jîngehî.",2,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Xeter wekî pêvajoyeke rasterast hatiye nîşandan.
cografya_20260801_0021,Cografya,ku-kmr,Herikîna heriyê û axa şil li gorî nivîsê di kîjan şertan de zêdetir xuya dibe?,Li ser axên heriyê yên şil û li cihên ku av û cemed têkel dibin,Tenê li ser zinarên hişk û zuha,Di nav qada bazirganiyê de,Li ser rûbera ku tu şilî tune ye,A,Li ser axên heriyê yên şil û li cihên ku av û cemed têkel dibin,Nivîs dibêje ku herikînên heriyê û axê li axên heriyê yên şil û li depoyên ku av an cemed tê de hene hêsantir çêdibin.,3,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Şertên xeterê rasterast ji nivîsê ne.
cografya_20260801_0022,Cografya,ku-kmr,Di nivîsê de kîjan şert şemitîna axê hêsantir dike?,Zinarên yekparçe û bi tevahî zuha,"Zinarên lawaz, şikestî û bi materyalên ku av dikişînin",Deştên ku tu nizmî tune ye,Qadên ku tenê ji qûmê pak pêk tên,B,"Zinarên lawaz, şikestî û bi materyalên ku av dikişînin","Şemitîna axê bi zinarên lawaz, şikestî û bi materyalên nerm ên ku av dikişînin û hêsan diwerimin ve tê alîkarîkirin.",4,https://www.iranicaonline.org/articles/geology/,verified,0.98,approved,,Ravekirina xeterê li çavkaniyê heye.
