severity,check_id,confidence,source_id,source_path,source_row,record_id,prompt,message,issue_fingerprint
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,2,offline_0001,"Di Kurmancî de peyva ""av"" bi Tirkî çi ye?",Source metadata is missing.,9e65abf105994829b7b5ce5b91241d32
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,3,offline_0002,"""su"" anlamına gelen Kurmancî kelime hangisidir?",Source metadata is missing.,529c2959d352e2046cd2302caaeb9717
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,4,offline_0003,"Peyva ""av"" ""su"" anlamına gelir.",Source metadata is missing.,394dab3efcb97ddc35708e4c2c45af4d
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,5,offline_0004,"Peyva ""av"" ""ateş"" anlamına gelir.",Source metadata is missing.,fcf86d0307357e7fd50f38ce6eed5b66
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,6,offline_0005,"Görsel etiketi ""av"" kavramını gösteriyor. Doğru anlam hangisidir?",Source metadata is missing.,f419d121033918b1a5a1d857b7edfcd2
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,7,offline_0006,"Di Kurmancî de peyva ""roj"" bi Tirkî çi ye?",Source metadata is missing.,4ba698db0add84c0c010d38cf59f6660
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,8,offline_0007,"""gün/güneş"" anlamına gelen Kurmancî kelime hangisidir?",Source metadata is missing.,689d19c0fcd9040328d8e35d18c8f67f
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,9,offline_0008,"Peyva ""roj"" ""gün/güneş"" anlamına gelir.",Source metadata is missing.,85232147e59461e55a6b9acb11335732
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,10,offline_0009,"Peyva ""roj"" ""gece"" anlamına gelir.",Source metadata is missing.,a0b8d50a85bc057aaa8bb47865c651b2
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,11,offline_0010,"Görsel etiketi ""roj"" kavramını gösteriyor. Doğru anlam hangisidir?",Source metadata is missing.,cf6737fcdb7717bbb6d64a1101b6e083
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,12,offline_0011,"Di Kurmancî de peyva ""mal"" bi Tirkî çi ye?",Source metadata is missing.,9aa06ce5577b07cf384cd41386fa8aef
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,13,offline_0012,"""ev"" anlamına gelen Kurmancî kelime hangisidir?",Source metadata is missing.,e17767515640e2de4b0e4d6d7315efe9
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,14,offline_0013,"Peyva ""mal"" ""ev"" anlamına gelir.",Source metadata is missing.,ef2bd116152955e56303be12cc5e7383
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,15,offline_0014,"Peyva ""mal"" ""okul"" anlamına gelir.",Source metadata is missing.,70f7ed9e19e46194f1dcdd60f6d09eac
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,16,offline_0015,"Görsel etiketi ""mal"" kavramını gösteriyor. Doğru anlam hangisidir?",Source metadata is missing.,763e57ecc1a4d603d6e24aed856d358b
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,17,offline_0016,"Di Kurmancî de peyva ""pirtûk"" bi Tirkî çi ye?",Source metadata is missing.,6280dc09ebf3ec90ca6118e5db2c0255
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,18,offline_0017,"""kitap"" anlamına gelen Kurmancî kelime hangisidir?",Source metadata is missing.,8dff63a3ae0ad745577d31e3db21d8ed
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,19,offline_0018,"Peyva ""pirtûk"" ""kitap"" anlamına gelir.",Source metadata is missing.,1d37c8d0c0a3ac8401ad6f29014616e8
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,20,offline_0019,"Peyva ""pirtûk"" ""yazı"" anlamına gelir.",Source metadata is missing.,2bc5c9dc6c53a5adaf7680a714a5047e
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,21,offline_0020,"Görsel etiketi ""pirtûk"" kavramını gösteriyor. Doğru anlam hangisidir?",Source metadata is missing.,fcd653758c57ca0d232633b7e7a04bd0
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,22,offline_0021,"Di Kurmancî de peyva ""zanîn"" bi Tirkî çi ye?",Source metadata is missing.,52efaa4951bee2c4fbd33e240d15f78e
warning,missing_source_metadata,high,active_import_ready,supabase/questions_import_ready.csv,23,offline_0022,"""bilmek"" anlamına gelen Kurmancî kelime hangisidir?",Source metadata is missing.,9d116a18f8bae9681a61daa83b5f47d3
