id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_sinema_0001,ku-kmr,Sînema,Yılmaz Güney di kîjan salê de hatiye dinyayê?,1937,1941,1945,1950,A,Yılmaz Güney di sala 1937an de li Adanayê ji dayik bûye. Ev agahî li ser rûpela wî ya Wîkîpediyaya Îngilîzî heye.,1,verified,https://en.wikipedia.org/wiki/Yılmaz_Güney,approved,0.95,
ds_sinema_0002,ku-kmr,Sînema,Fîlma 'Yol' a Yılmaz Güney di kîjan festîvalê de Xelata Palmiyeya Zêrîn wergirt?,Festîvala Fîlman a Venedîkê,Festîvala Fîlman a Cannesê,Festîvala Fîlman a Berlînê,Festîvala Fîlman a Toronto,B,"Fîlma 'Yol' a ku Yılmaz Güney derhêneriya wê kiriye, di sala 1982an de li Festîvala Fîlman a Cannesê de Xelata Palmiyeya Zêrîn bi dest xistiye. Ev yek di rûpela Wîkîpediyaya Îngilîzî ya fîlmê de hatiye nivîsandin.",1,verified,https://en.wikipedia.org/wiki/Yol_(film),approved,0.95,
ds_sinema_0003,ku-kmr,Sînema,Yılmaz Güney ji ber kîjan sûcî ketiye girtîgehê?,Dizîna bankayê,Xayîntiyê,Kuştina dadgerekî,Sûîqesta li ser serokwezîr,C,Yılmaz Güney di sala 1974an de ji ber kuştina dadgerê Yozgatê Yılmaz Güneyî hate girtin. Ev agahî di rûpela Wîkîpediyaya Îngilîzî ya wî de cih digire.,2,verified,https://en.wikipedia.org/wiki/Yılmaz_Güney,approved,0.95,
ds_sinema_0004,ku-kmr,Sînema,Fîlma 'Yol' a Yılmaz Güney bi piranî li kîjan welatî hatiye kişandin?,Tirkiye,Yewnanistan,Tûnis,Fransa,D,"Ji ber ku Yılmaz Güney di girtîgehê de bû, fîlm bi piranî li Tûnisê hatiye kişandin. Ev agahî di rûpela Wîkîpediyaya Îngilîzî ya fîlmê de hatiye destnîşankirin.",2,verified,https://en.wikipedia.org/wiki/Yol_(film),approved,0.95,
ds_sinema_0005,ku-kmr,Sînema,Yılmaz Güney di kîjan fîlmê xwe de rola 'Cemîl' lîstiye?,Umut,Endişe,Baba,Sürü,A,Yılmaz Güney di fîlma 'Umut' a ku di sala 1970î de derketiye de rola Cemîl lîstiye. Ev fîlm yek ji berhemên wî yên herî navdar e. Di rûpela Wîkîpediyaya Îngilîzî ya fîlmê de ev agahî heye.,2,verified,https://en.wikipedia.org/wiki/Umut_(film),approved,0.95,
ds_sinema_0006,ku-kmr,Sînema,Fîlma 'Sürü' ya Yılmaz Güney di kîjan salê de derket?,1978,1979,1980,1981,B,"Fîlma 'Sürü' ya ku derhêneriya wê Yılmaz Güney kiriye, di sala 1979an de derketiye. Ev agahî di rûpela Wîkîpediyaya Îngilîzî ya fîlmê de cih digire.",1,verified,https://en.wikipedia.org/wiki/The_Herd_(film),approved,0.95,
ds_sinema_0007,ku-kmr,Sînema,Yılmaz Güney ji ber kîjan fîlmê xwe ji welat derket?,Yol,Sürü,Duvar,Düşman,C,"Yılmaz Güney ji ber fîlma 'Duvar' a ku derhêneriya wê kiriye, ji welat derket. Ev agahî di rûpela Wîkîpediyaya Îngilîzî ya wî de hatiye nivîsandin.",2,verified,https://en.wikipedia.org/wiki/Yılmaz_Güney,approved,0.95,
ds_sinema_0008,ku-kmr,Sînema,Fîlma 'Yol' a Yılmaz Güney çîroka çend girtiyan vedibêje?,Pênc,Çar,Sê,Şeş,D,Fîlma 'Yol' çîroka şeş girtiyan vedibêje ku ji girtîgehê derketine û betlaneyê derbas dikin. Ev agahî di rûpela Wîkîpediyaya Îngilîzî ya fîlmê de heye.,2,verified,https://en.wikipedia.org/wiki/Yol_(film),approved,0.95,
ds_sinema_0009,ku-kmr,Sînema,Yılmaz Güney di kîjan bajarê Tirkiyeyê de ji dayik bûye?,Edene,Stenbol,Ankara,Îzmîr,A,Yılmaz Güney di sala 1937an de li bajarê Edeneyê ji dayik bûye. Ev agahî di rûpela Wîkîpediyaya Îngilîzî ya wî de cih digire.,1,verified,https://en.wikipedia.org/wiki/Yılmaz_Güney,approved,0.95,
ds_sinema_0010,ku-kmr,Sînema,Fîlma 'Baba' ya Yılmaz Güney di kîjan salê de derket?,1970,1971,1972,1973,B,"Fîlma 'Baba' ya ku derhêneriya wê Yılmaz Güney kiriye, di sala 1971ê de derketiye. Ev agahî di rûpela Wîkîpediyaya Îngilîzî ya fîlmê de hatiye nivîsandin.",1,verified,https://en.wikipedia.org/wiki/Baba_(1971_film),approved,0.95,
