severity,check_id,confidence,source_id,source_path,source_row,record_id,prompt,message,issue_fingerprint
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,2,offline_0001,"Di Kurmancî de peyva ""av"" bi Tirkî çi ye?",Question has duplicate options.,27d902d96e62a114a13a1fcd88b06a3c
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,4,offline_0003,"Peyva ""av"" ""su"" anlamına gelir.",Question has duplicate options.,994352186f948cf53f7cf3950f35d633
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,5,offline_0004,"Peyva ""av"" ""ateş"" anlamına gelir.",Question has duplicate options.,08de678ace764e94e7c7de3271ac3884
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,9,offline_0008,"Peyva ""roj"" ""gün/güneş"" anlamına gelir.",Question has duplicate options.,b6e9a440df510df2a83b7d468cbf8764
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,10,offline_0009,"Peyva ""roj"" ""gece"" anlamına gelir.",Question has duplicate options.,13329a95109a26dd2b35b0bb20425100
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,14,offline_0013,"Peyva ""mal"" ""ev"" anlamına gelir.",Question has duplicate options.,1fd4063167c6f96e37ce9279196f0085
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,15,offline_0014,"Peyva ""mal"" ""okul"" anlamına gelir.",Question has duplicate options.,660e89ace4ead7fbc437ad703f260126
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,18,offline_0017,"""kitap"" anlamına gelen Kurmancî kelime hangisidir?",Question has duplicate options.,18e882034884c01484d46c7512085273
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,19,offline_0018,"Peyva ""pirtûk"" ""kitap"" anlamına gelir.",Question has duplicate options.,7d4d75debb9c79111a04cdcdf6c923b2
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,20,offline_0019,"Peyva ""pirtûk"" ""yazı"" anlamına gelir.",Question has duplicate options.,dfd4c2306edc8418d4f7eae6f75e6bf4
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,24,offline_0023,"Peyva ""zanîn"" ""bilmek"" anlamına gelir.",Question has duplicate options.,6646d3bc36e08deefd272f8a905e2549
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,25,offline_0024,"Peyva ""zanîn"" ""gitmek"" anlamına gelir.",Question has duplicate options.,89818616c3509966a80e456e251c933d
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,29,offline_0028,"Peyva ""hatin"" ""gelmek"" anlamına gelir.",Question has duplicate options.,3f1749709e06a6102fc811482ee23845
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,30,offline_0029,"Peyva ""hatin"" ""okumak"" anlamına gelir.",Question has duplicate options.,2a88d64cb3696990c7b63a9c44735bcd
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,34,offline_0033,"Peyva ""çiya"" ""dağ"" anlamına gelir.",Question has duplicate options.,03b41444cbd86a82218a0db96e391d9b
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,35,offline_0034,"Peyva ""çiya"" ""ova"" anlamına gelir.",Question has duplicate options.,71d3d13db99bdf2d1193d8a06994fb6a
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,39,offline_0038,"Peyva ""dil"" ""kalp/dil"" anlamına gelir.",Question has duplicate options.,3ba6f7019ebeb951259519db132b9e3c
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,40,offline_0039,"Peyva ""dil"" ""el"" anlamına gelir.",Question has duplicate options.,a62b67f187e0f18921946cdb0c4bda0a
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,44,offline_0043,"Peyva ""heval"" ""arkadaş"" anlamına gelir.",Question has duplicate options.,ab801218473bcd78126bf7da3921c692
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,45,offline_0044,"Peyva ""heval"" ""aile"" anlamına gelir.",Question has duplicate options.,9030af0872e16b50406d0ea0303d6437
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,49,offline_0048,"Peyva ""bajar"" ""şehir"" anlamına gelir.",Question has duplicate options.,216f2c81d7d15f9b6bc92ca2989eecbf
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,50,offline_0049,"Peyva ""bajar"" ""köy"" anlamına gelir.",Question has duplicate options.,261f75fe86ddd2b14421581e4af5fcf3
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,54,offline_0053,"Peyva ""nan"" ""ekmek"" anlamına gelir.",Question has duplicate options.,3deb543bcf88478bbd8c59ab57e07eed
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,55,offline_0054,"Peyva ""nan"" ""süt"" anlamına gelir.",Question has duplicate options.,48c2f1c9a9984a5bafc58e5d9ddede0b
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,59,offline_0058,"Peyva ""rê"" ""yol"" anlamına gelir.",Question has duplicate options.,cd388b7d450c126fd7c7c6a64060347a
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,60,offline_0059,"Peyva ""rê"" ""kapı"" anlamına gelir.",Question has duplicate options.,3752ee577ff4493b7c4903a1e91c334b
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,64,offline_0063,"Peyva ""spas"" ""teşekkür"" anlamına gelir.",Question has duplicate options.,ef8c458163c557185e24de7e42cf4f56
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,65,offline_0064,"Peyva ""spas"" ""selam"" anlamına gelir.",Question has duplicate options.,2b7d91b7755080b8cdd273fd39af9bd7
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,69,offline_0068,"Peyva ""xweş"" ""güzel/iyi"" anlamına gelir.",Question has duplicate options.,2b79d568cc8e8a8205397c91091d98c5
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,70,offline_0069,"Peyva ""xweş"" ""sıcak"" anlamına gelir.",Question has duplicate options.,6e89da8365b4bd31e905b00c33db619a
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,74,offline_0073,"Peyva ""sar"" ""soğuk"" anlamına gelir.",Question has duplicate options.,102697aa6083f668a6b3e0d0e72008e2
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,75,offline_0074,"Peyva ""sar"" ""büyük"" anlamına gelir.",Question has duplicate options.,f1085e4131bb7e4c227daa7d5058b326
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,79,offline_0078,"Peyva ""biçûk"" ""küçük"" anlamına gelir.",Question has duplicate options.,4d5e476d8b5a78d243eede26896bdabe
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,80,offline_0079,"Peyva ""biçûk"" ""yeni"" anlamına gelir.",Question has duplicate options.,f0ec29f3fe586122a18c5bd11de9af85
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,84,offline_0083,"Peyva ""kevin"" ""eski"" anlamına gelir.",Question has duplicate options.,12097d638454cb3d3030adc623e7b792
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,85,offline_0084,"Peyva ""kevin"" ""erken"" anlamına gelir.",Question has duplicate options.,0f7e8ee4bf3475ffce820d7503321493
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,89,offline_0088,"Peyva ""îro"" ""bugün"" anlamına gelir.",Question has duplicate options.,2bfd3a89705c5a16818ca950db373874
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,90,offline_0089,"Peyva ""îro"" ""yarın"" anlamına gelir.",Question has duplicate options.,bfc1f1c5ddf20cff46afdc3d4164fcf5
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,94,offline_0093,"Peyva ""duh"" ""dün"" anlamına gelir.",Question has duplicate options.,9fad097dc80f479fb4a1a0c171f60a2f
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,95,offline_0094,"Peyva ""duh"" ""zaman"" anlamına gelir.",Question has duplicate options.,3da1bcf121380cc6de46a5b592e8d8cc
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,99,offline_0098,"Peyva ""nav"" ""ad/isim"" anlamına gelir.",Question has duplicate options.,56f6a4cee622d021f1ed4c1ca4748ab5
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,100,offline_0099,"Peyva ""nav"" ""söz"" anlamına gelir.",Question has duplicate options.,295fb4a247154ec83787c7a742973c18
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,104,offline_0103,"Peyva ""zarok"" ""çocuk"" anlamına gelir.",Question has duplicate options.,62f149f86a8254c00cb3e9f9cf8ee044
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,105,offline_0104,"Peyva ""zarok"" ""öğretmen"" anlamına gelir.",Question has duplicate options.,91c067599ecc085c78c5e26e64ce0ec7
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,109,offline_0108,"Peyva ""xwendekar"" ""öğrenci"" anlamına gelir.",Question has duplicate options.,363ae39f7d81af26c01de35396c81a34
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,110,offline_0109,"Peyva ""xwendekar"" ""grup"" anlamına gelir.",Question has duplicate options.,f64a3c61f43badb08027e968b25a0867
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,114,offline_0113,"Peyva ""rast"" ""doğru"" anlamına gelir.",Question has duplicate options.,83056d6e0fad7de50be9287903617914
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,115,offline_0114,"Peyva ""rast"" ""yanlış"" anlamına gelir.",Question has duplicate options.,4f18c3ec53d64a76f849faf59e6de4aa
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,119,offline_0118,"Peyva ""pir"" ""çok"" anlamına gelir.",Question has duplicate options.,93d4ed38bad1f998bacd5bf97fe53428
blocker,duplicate_option,high,active_import_ready,supabase/questions_import_ready.csv,120,offline_0119,"Peyva ""pir"" ""az"" anlamına gelir.",Question has duplicate options.,60114d17229d26d03a5ca4e60b03cd97
