issueFingerprint,checkId,severity,sourceId,sourceRole,gateIncluded,productionLike,sourcePath,sourceRow,sourceRecordId,runtimeId,canonicalId,prompt,options,rawCorrectValue,parsedCorrectIndex,parsedCorrectText,explanation,category,difficulty,parserName,parserRule,originalSourceLocated,runtimeReachable,duplicateSourceCount,crossSourceDifference,adjudication,confidence,evidence,factualVerificationNeeded,KurmanciEditorNeeded,recommendedAction,safeForAutomaticFix
b53fdcef17289de486dbf9975497c46d,answer_leak,critical,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,116,offline_0115,offline_0115,"id:offline_0115|prompt:görsel etiketi ""rast"" kavramını gösteriyor. doğru anlam hangisidir","Görsel etiketi ""rast"" kavramını gösteriyor. Doğru anlam hangisidir?",doğru | zarok | Siyah | were!,A,0,doğru,"Görsel soru ""rast"" kelimesini pekiştirir.",Ziman,3,csv,letter_A_to_D,true,import_active_not_runtime,2,none,parser_false_positive,high,"prompt=Görsel etiketi ""rast"" kavramını gösteriyor. Doğru anlam hangisidir?; correct=doğru; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=2.",false,false,Retain the natural context and suppress only through a separately tested auditor rule.,false
5f08371b68b978b9e80d6a12c40721cd,answer_leak,critical,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,149,offline_2023,offline_2023,"id:offline_2023|prompt:di hevoka ""ez diçim malê"" de lêker (fiil) kîjan e","Di hevoka ""Ez diçim malê"" de lêker (fiil) kîjan e?",diçim | ez | malê | tu yek,A,0,diçim,"""diçim"" (gidiyorum) cümlenin çekimli fiilidir.",Ziman,3,csv,letter_A_to_D,true,import_active_not_runtime,2,none,parser_false_positive,high,"prompt=Di hevoka ""Ez diçim malê"" de lêker (fiil) kîjan e?; correct=diçim; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=2.",false,false,Retain the natural context and suppress only through a separately tested auditor rule.,false
6c8c715c40d1cfcbe1c7d3cd61f47db5,answer_leak,critical,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,2633,offline_2611,offline_2611,id:offline_2611|prompt:mahabad cumhuriyeti hangi şehir merkezliydi,Mahabad Cumhuriyeti hangi şehir merkezliydi?,Mahabad | Bağdat | Tahran | Şam,A,0,Mahabad,"Mahabad Cumhuriyeti, adını merkezi olan Mahabad şehrinden alır.",Dîrok,3,csv,letter_A_to_D,true,import_active_not_runtime,2,none,factual_verification_required,medium,prompt=Mahabad Cumhuriyeti hangi şehir merkezliydi?; correct=Mahabad; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=2.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
b5ee276bfdeae671fc91bf58e2a6ae80,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,327,offline_0115,offline_0115,"id:offline_0115|prompt:bu görsel hangi kavramı hatırlatır: ""rast"" — doğru anlamı seçin","Bu görsel hangi kavramı hatırlatır: ""rast"" — doğru anlamı seçin.",doğru | zarok | Siyah | were!,doğru,0,doğru,Doğru yanıt: doğru.,Ziman,3,dart_quiz_question,exact_option_text,true,runtime_active,1,none,parser_false_positive,high,"prompt=Bu görsel hangi kavramı hatırlatır: ""rast"" — doğru anlamı seçin.; correct=doğru; rawCorrect=doğru; standalone normalized match was reviewed against context; physicalCopies=1.",false,false,Retain the natural context and suppress only through a separately tested auditor rule.,false
a6bf5e7fd7f3b4ca7077b05fc17e746b,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,396,offline_0379,offline_0379,id:offline_0379|prompt:'newroz' görseli çand içinde hangi kategoriye girer,'Newroz' görseli Çand içinde hangi kategoriye girer?,Çand | Cografya | Ziman | Muzîk,Çand,0,Çand,Newroz Kürt kültürü kategorisinde ele alınır.,Çand,1,dart_quiz_question,exact_option_text,true,runtime_active,1,none,confirmed_data_defect,high,prompt='Newroz' görseli Çand içinde hangi kategoriye girer?; correct=Çand; rawCorrect=Çand; standalone normalized match was reviewed against context; physicalCopies=1.,false,true,Human editor should rewrite the prompt or replace the distractor set in a separately approved data-fix branch.,false
a9a3e8fb4c79eba91ba32188bc754cff,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,494,offline_0409,offline_0409,id:offline_0409|prompt:bu görseldeki 'ağıt' çand bağlamında nereye yakındır,Bu görseldeki 'ağıt' Çand bağlamında nereye yakındır?,Çand | Cografya | Ziman | Muzîk,Çand,0,Çand,ağıt Kürt kültürü kategorisinde ele alınır.,Çand,3,dart_quiz_question,exact_option_text,true,runtime_active,1,none,confirmed_data_defect,high,prompt=Bu görseldeki 'ağıt' Çand bağlamında nereye yakındır?; correct=Çand; rawCorrect=Çand; standalone normalized match was reviewed against context; physicalCopies=1.,false,true,Human editor should rewrite the prompt or replace the distractor set in a separately approved data-fix branch.,false
d7366abb7afbd7b3bab1af615be4ec3d,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,593,offline_0533,offline_0533,id:offline_0533|prompt:bu görseldeki 'sözlü tarih' dîrok bağlamında nereye yakındır,Bu görseldeki 'sözlü tarih' Dîrok bağlamında nereye yakındır?,Dîrok | Muzîk | Spor | Kimya,Dîrok,0,Dîrok,sözlü tarih Kürt ve Kürdistan tarihi kategorisindeki kavramlardan biridir.,Dîrok,2,dart_quiz_question,exact_option_text,true,runtime_active,1,none,confirmed_data_defect,high,prompt=Bu görseldeki 'sözlü tarih' Dîrok bağlamında nereye yakındır?; correct=Dîrok; rawCorrect=Dîrok; standalone normalized match was reviewed against context; physicalCopies=1.,false,true,Human editor should rewrite the prompt or replace the distractor set in a separately approved data-fix branch.,false
70ade47b252fc54eb562039ca6df91e7,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,634,offline_0541,offline_0541,id:offline_0541|prompt:'arkeoloji' görseli dîrok içinde hangi kategoriye girer,'arkeoloji' görseli Dîrok içinde hangi kategoriye girer?,Dîrok | Muzîk | Spor | Kimya,Dîrok,0,Dîrok,arkeoloji Kürt ve Kürdistan tarihi kategorisindeki kavramlardan biridir.,Dîrok,4,dart_quiz_question,exact_option_text,true,runtime_active,1,none,confirmed_data_defect,high,prompt='arkeoloji' görseli Dîrok içinde hangi kategoriye girer?; correct=Dîrok; rawCorrect=Dîrok; standalone normalized match was reviewed against context; physicalCopies=1.,false,true,Human editor should rewrite the prompt or replace the distractor set in a separately approved data-fix branch.,false
df5f576bc1e94a8ac1f4a28fe70e2724,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,703,offline_0553,offline_0553,id:offline_0553|prompt:'yerleşik yaşam' görseli dîrok içinde hangi kategoriye girer,'yerleşik yaşam' görseli Dîrok içinde hangi kategoriye girer?,Dîrok | Muzîk | Spor | Kimya,Dîrok,0,Dîrok,yerleşik yaşam Kürt ve Kürdistan tarihi kategorisindeki kavramlardan biridir.,Dîrok,2,dart_quiz_question,exact_option_text,true,runtime_active,1,none,confirmed_data_defect,high,prompt='yerleşik yaşam' görseli Dîrok içinde hangi kategoriye girer?; correct=Dîrok; rawCorrect=Dîrok; standalone normalized match was reviewed against context; physicalCopies=1.,false,true,Human editor should rewrite the prompt or replace the distractor set in a separately approved data-fix branch.,false
755befe5540b36d8e36927d5b6eb2e0a,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,727,offline_0561,offline_0561,id:offline_0561|prompt:'kültürel etkileşim' görseli dîrok içinde hangi kategoriye girer,'kültürel etkileşim' görseli Dîrok içinde hangi kategoriye girer?,Dîrok | Muzîk | Spor | Kimya,Dîrok,0,Dîrok,kültürel etkileşim Kürt ve Kürdistan tarihi kategorisindeki kavramlardan biridir.,Dîrok,4,dart_quiz_question,exact_option_text,true,runtime_active,1,none,confirmed_data_defect,high,prompt='kültürel etkileşim' görseli Dîrok içinde hangi kategoriye girer?; correct=Dîrok; rawCorrect=Dîrok; standalone normalized match was reviewed against context; physicalCopies=1.,false,true,Human editor should rewrite the prompt or replace the distractor set in a separately approved data-fix branch.,false
6edde87ff474ec52860e2e7ab090fe28,answer_leak,critical,offline_runtime_bank,runtime_primary,true,true,lib/src/data/offline_question_bank.dart,1096,offline_0887,offline_0887,id:offline_0887|prompt:bu görseldeki 'def' muzîk bağlamında nereye yakındır,Bu görseldeki 'def' Muzîk bağlamında nereye yakındır?,Muzîk | Dîrok | Cografya | Ziman,Muzîk,0,Muzîk,def Kürt müziği kategorisinde ele alınır.,Muzîk,5,dart_quiz_question,exact_option_text,true,runtime_active,1,none,confirmed_data_defect,high,prompt=Bu görseldeki 'def' Muzîk bağlamında nereye yakındır?; correct=Muzîk; rawCorrect=Muzîk; standalone normalized match was reviewed against context; physicalCopies=1.,false,true,Human editor should rewrite the prompt or replace the distractor set in a separately approved data-fix branch.,false
