id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
wikidata_translated_3_0001,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Tanzanya re tê girêdan?,English,Dogon,Bobo,Spanish,A,"Li gorî daneyên strukturî yên Wikidata, English yek ji zimanên ku bi Tanzanya re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0601
wikidata_translated_3_0002,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Iraq re tê girêdan?,Dogon,Bobo,Spanish,Arabic,D,"Li gorî daneyên strukturî yên Wikidata, Arabic yek ji zimanên ku bi Iraq re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0602
wikidata_translated_3_0003,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Sri Lanka re tê girêdan?,Bobo,Spanish,Tamil,Dogon,C,"Li gorî daneyên strukturî yên Wikidata, Tamil yek ji zimanên ku bi Sri Lanka re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0606
wikidata_translated_3_0004,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Malî re tê girêdan?,Spanish,Senufo,Dogon,Bobo,B,"Li gorî daneyên strukturî yên Wikidata, Senufo yek ji zimanên ku bi Malî re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0608
wikidata_translated_3_0005,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Myanmar re tê girêdan?,Burmese,Dogon,Bobo,Spanish,A,"Li gorî daneyên strukturî yên Wikidata, Burmese yek ji zimanên ku bi Myanmar re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0611
wikidata_translated_3_0006,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Tacikistan re tê girêdan?,Dogon,Bobo,Spanish,Tajik,D,"Li gorî daneyên strukturî yên Wikidata, Tajik yek ji zimanên ku bi Tacikistan re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0614
wikidata_translated_3_0007,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Îsraîl re tê girêdan?,Bobo,Spanish,Hebrew,Dogon,C,"Li gorî daneyên strukturî yên Wikidata, Hebrew yek ji zimanên ku bi Îsraîl re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0618
wikidata_translated_3_0008,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Afganistan re tê girêdan?,Spanish,Dari,Dogon,Bobo,B,"Li gorî daneyên strukturî yên Wikidata, Dari yek ji zimanên ku bi Afganistan re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0619
wikidata_translated_3_0009,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Tûnis re tê girêdan?,Arabic,Dogon,Bobo,Spanish,A,"Li gorî daneyên strukturî yên Wikidata, Arabic yek ji zimanên ku bi Tûnis re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0625
wikidata_translated_3_0010,Ziman,ku-kmr,Kîjan ziman wekî zimanekî fermî an neteweyî bi Antigua û Barbuda re tê girêdan?,Dogon,Bobo,Spanish,English,D,"Li gorî daneyên strukturî yên Wikidata, English yek ji zimanên ku bi Antigua û Barbuda re tê girêdan e; pirs îdîa nake ku ew tenê zimanê welatê ye.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; peywendiya zimanî divê di kontrola dawî de bê rastkirin.,wikidata_0626
