canonical_fingerprint,copy_count,source_paths,record_ids
d1bd81ad1d84332b0c1673a24d01c08a,2,supabase/2026-07-14_all_generated_questions_master.csv:97|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:97,movement7_0012|movement7_0012
2f7e1e9eafd77bdd0e0875b23758d434,2,supabase/2026-07-14_all_generated_questions_master.csv:3|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:3,handcrafted_0002|handcrafted_0002
e059a78751f47f4ac918ea78012d631e,2,supabase/2026-07-14_all_generated_questions_master.csv:4|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:4,handcrafted_0003|handcrafted_0003
b75e572f60b3583f5052b7524b44dfbf,2,supabase/2026-07-14_all_generated_questions_master.csv:5|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:5,handcrafted_0004|handcrafted_0004
d16c24b824387efb84d84efecc0787e8,2,supabase/2026-07-14_all_generated_questions_master.csv:6|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:6,handcrafted_0005|handcrafted_0005
f9ab2291c56e2672bdd9e2f0be0a9bd8,2,supabase/2026-07-14_all_generated_questions_master.csv:7|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:7,handcrafted_0006|handcrafted_0006
02de088f8ac8edbe3859d27636ec94ae,2,supabase/2026-07-14_all_generated_questions_master.csv:8|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:8,handcrafted_0007|handcrafted_0007
d362460be2d1962cfa92564a0e34a812,2,supabase/2026-07-14_all_generated_questions_master.csv:9|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:9,handcrafted_0008|handcrafted_0008
022b0c3eb14f12865b602bf30b7dba4d,2,supabase/2026-07-14_all_generated_questions_master.csv:10|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:10,handcrafted_0009|handcrafted_0009
633f44d5f09fd427f3ebd20baed740fe,2,supabase/2026-07-14_all_generated_questions_master.csv:11|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:11,handcrafted_0010|handcrafted_0010
11be9fb2228f184837a873f51ef75d78,2,supabase/2026-07-14_all_generated_questions_master.csv:12|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:12,handcrafted_0011|handcrafted_0011
e0518ebbdd29af2c6f48d5c49e91a7ba,2,supabase/2026-07-14_all_generated_questions_master.csv:13|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:13,handcrafted_0012|handcrafted_0012
ffef927e13672b821b6beda8a374f8b2,2,supabase/2026-07-14_all_generated_questions_master.csv:14|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:14,handcrafted_0013|handcrafted_0013
b8ac2692709ca8b826f04fc68d0f67af,2,supabase/2026-07-14_all_generated_questions_master.csv:15|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:15,handcrafted_0014|handcrafted_0014
cd110dc53ae3643ed0412bc5d99cb660,2,supabase/2026-07-14_all_generated_questions_master.csv:16|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:16,handcrafted_0015|handcrafted_0015
352a48a7916545f5522a6d35706d9437,2,supabase/2026-07-14_all_generated_questions_master.csv:17|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:17,handcrafted_0016|handcrafted_0016
484cb0e59a27fdab7117f3097024f209,2,supabase/2026-07-14_all_generated_questions_master.csv:18|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:18,movement_00001|movement_00001
a22af2e9e0138fb1d4a759becd91d084,2,supabase/2026-07-14_all_generated_questions_master.csv:19|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:19,movement_00002|movement_00002
813cb5f44bbd07fc17043867ab3ba6ac,2,supabase/2026-07-14_all_generated_questions_master.csv:20|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:20,movement_00003|movement_00003
bd7b337a4c194ef3b8f2f434ae67f9d9,2,supabase/2026-07-14_all_generated_questions_master.csv:21|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:21,movement_00004|movement_00004
18efdcfcf869edc1f730a552727685ba,2,supabase/2026-07-14_all_generated_questions_master.csv:22|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:22,movement_00005|movement_00005
e892f06489bd75d4b2d30896076f05ca,2,supabase/2026-07-14_all_generated_questions_master.csv:23|supabase/2026-07-14_chat_all_kurmanci_questions_live.csv:23,movement_00006|movement_00006
