id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_cografya_0001,ku-kmr,Cografya,Çiyayê Agirî li kîjan welatî ye?,Tirkiye,Îran,Iraq,Sûriye,A,"Çiyayê Agirî, ango Ararat, li bakurê rojhilatê Tirkiyeyê ye û bilindtirîn çiyayê Tirkiyeyê ye.",1,verified,https://en.wikipedia.org/wiki/Mount_Ararat,approved,0.95,
ds_cografya_0002,ku-kmr,Cografya,Kîjan çem ji Çiyayê Zagrosê diherike û dikeve Derya Qezwînê?,Çemê Dîcleyê,Çemê Firatê,Çemê Seyhanê,Çemê Ceyhanê,B,"Çemê Firatê ji Çiyayê Zagrosê derdikeve û ber bi Derya Qezwînê ve diherike, her çend di nav Kurdistanê re jî derbas dibe.",2,verified,https://en.wikipedia.org/wiki/Euphrates,approved,0.95,
ds_cografya_0003,ku-kmr,Cografya,Kîjan bajarê Kurdistanê navenda parêzgeha Dihokê ye?,Hewlêr,Silêmanî,Dihok,Kerkûk,C,Dihok bajarê sereke yê parêzgeha Dihokê ye û yek ji bajarên mezin ên Başûrê Kurdistanê ye.,1,verified,https://en.wikipedia.org/wiki/Duhok,approved,0.95,
ds_cografya_0004,ku-kmr,Cografya,Di navbera çemê Dîcleyê û çemê Firatê de kîjan herêm dimîne?,Anadolu,Azerbaycan,Xorasan,Mezopotamya,D,"Mezopotamya, ango navbera du çeman, di navbera Dîcleyê û Firatê de ye û dîroka wê ya kevn a şaristaniyê heye.",1,verified,https://en.wikipedia.org/wiki/Mesopotamia,approved,0.95,
ds_cografya_0005,ku-kmr,Cografya,Çiyayê Qendîlê li kîjan devera Kurdistanê ye?,Başûr,Bakur,Rojava,Rojhilat,A,"Çiyayê Qendîlê li başûrê Kurdistanê, li ser sînorê Iraq û Îranê ye û navenda xwe ya çiyayî ya dîrokî ye.",2,verified,https://en.wikipedia.org/wiki/Qandil_Mountains,approved,0.95,
ds_cografya_0006,ku-kmr,Cografya,Kîjan gol li rojhilatê Kurdistanê ye û navê wê bi kurdî tê wateya 'gola sor'?,Gola Wanê,Gola Urmiyê,Gola Hezarê,Gola Nemrûdê,B,"Gola Urmiyê li rojhilatê Kurdistanê ye û navê wê ji rengê sor ê ava wê tê, ji ber ku tê de xwê zêde ye.",2,verified,https://en.wikipedia.org/wiki/Lake_Urmia,approved,0.95,
ds_cografya_0007,ku-kmr,Cografya,Kîjan çem di nav bajarê Amedê re derbas dibe?,Çemê Firatê,Çemê Muratê,Çemê Dîcleyê,Çemê Zapê,C,Çemê Dîcleyê di nav Amedê re derbas dibe û bajêr li ser perava wî hatiye avakirin.,1,verified,https://en.wikipedia.org/wiki/Tigris,approved,0.95,
ds_cografya_0008,ku-kmr,Cografya,Kîjan çiyayê herî bilind ê Rojavayê Kurdistanê ye?,Çiyayê Cûdî,Çiyayê Sîpanê Xelatê,Çiyayê Nemrûdê,Çiyayê Kurmênc,D,Çiyayê Kurmênc li Rojavayê Kurdistanê bilindtirîn çiyayê herêmê ye û li bakurê Sûriyeyê ye.,3,verified,https://en.wikipedia.org/wiki/Kurd_Mountain,approved,0.95,
ds_cografya_0009,ku-kmr,Cografya,Kîjan çem ji Çiyayê Zagrosê derdikeve û bi çemê Dîcleyê ve girêdide?,Çemê Zapê,Çemê Muratê,Çemê Karûnê,Çemê Arasê,A,"Çemê Zapê, ango Zapê Mezin, ji Zagrosê derdikeve û li başûrê Kurdistanê dikeve Dîcleyê.",2,verified,https://en.wikipedia.org/wiki/Great_Zab,approved,0.95,
ds_cografya_0010,ku-kmr,Cografya,Li kîjan bajarê Kurdistanê çiyayê Nemrûdê ye?,Sêrt,Wan,Xarpêt,Mûş,B,Çiyayê Nemrûdê li parêzgeha Wanê ye û bi serê xwe yê volkanîk û golên xwe yên kraterê tê naskirin.,1,verified,https://en.wikipedia.org/wiki/Mount_Nemrut,approved,0.95,
