id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
general3_0001,Cografya,ku-kmr,"Di pergala rojê de, kîjan gerstêrk herî germ e, her çend Merkûr ji Rojê re nêzîktir be?",Venûs.,Merkûr.,Erd.,Mars.,A,"NASA dibêje Venûs gerstêrka herî germ a pergala rojê ye, her çend Merkûr ji Rojê re nêzîktir be.",1,Solar System Facts – NASA,https://science.nasa.gov/solar-system/solar-system-facts/,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0002,Cografya,ku-kmr,"Di pergala rojê de, kîjan gerstêrk herî mezin e?",Jupiter.,Saturn.,Erd.,Neptûn.,A,"Li gorî NASA, Jupiter gerstêrka herî mezin a pergala rojê ye.",1,About the Planets – NASA,https://science.nasa.gov/solar-system/planets/,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0003,Cografya,ku-kmr,"Di nav gerstêrkên pergala rojê de, kîjan çar gerstêrk wekî gerstêrkên zexm tên binavkirin?","Merkûr, Venûs, Erd û Mars.","Jupiter, Saturn, Uranus û Neptûn.","Erd, Jupiter, Saturn û Pluto.","Venûs, Mars, Uranus û Erîs.",A,"NASA çar gerstêrkên nêzîkî Rojê wekî gerstêrkên zexm dide naskirin: Merkûr, Venûs, Erd û Mars.",2,About the Planets – NASA,https://science.nasa.gov/solar-system/planets/,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0004,Cografya,ku-kmr,Rûyê Erdê bi qasî çend ji sedî ji aliyê okyanûsan ve tê nixumandin?,70 ji sedî.,10 ji sedî.,30 ji sedî.,95 ji sedî.,A,UNESCO dibêje okyanûs nêzîkî 70 ji sedî rûyê gerstêrka Erdê nixumîne.,2,Ocean Biodiversity – UNESCO,https://www.unesco.org/en/query-list/o/ocean-biodiversity,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0005,Ziman,ku-kmr,"Li gorî UNESCO, çima amûrên teknolojiyê yên zimanî dikarin zimanên kêm-bikarhatî alîkar bikin?",Ji ber ku dikarin gihiştina agahiyê bi zimanên xwecihî û beşdarbûna dîjîtal zêde bikin.,Ji ber ku hemû zimanên kêm-bikarhatî ji internetê derdixin.,Ji ber ku tenê yek ziman ji bo teknolojiyê qebûl dikin.,Ji ber ku zimanê axaftinê ji nivîsê bi tevahî cuda dikin.,A,UNESCO dibêje teknolojiyên zimanî dikarin gihiştina agahiyê bi zimanên xwecihî û beşdarbûna wekhev di qada dîjîtal de zêde bikin.,2,Multilingualism and Linguistic Diversity – UNESCO,https://www.unesco.org/en/multilingualism-linguistic-diversity?hub=67103,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0006,Ziman,ku-kmr,"Li gorî NASA, peyva «exoplanet» çi dide naskirin?",Gerstêrkek ku li derveyî pergala rojê li dora stêrkekî din digere.,Gerstêrkek ku tenê di nav rojekê de ye.,Navê din ê gerstêrka Erdê ye.,Asteroîdek ku li dora Mêjûyê digere.,A,NASA exoplanetan wekî gerstêrkên li derveyî pergala rojê dide pênasekirin ku bi gelemperî li dora stêrkên din digerin.,3,Planetary Systems – NASA,https://science.nasa.gov/universe/stars/planetary-system/,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0007,Ziman,ku-kmr,"Li gorî WHO, vaksîn çawa pergala berevaniyê ya laşê perwerde dike?",Bi naskirina antîjenê û çêkirina antîbodiyan ku laş ji bo pêşerojê amade dikin.,Bi rakirina hemû hucreyên laşê.,Bi şertê ku nexweşî bi temamî were dayîn.,Bi guhertina zimanê laşê.,A,"WHO dibêje vaksîn pergala berevaniyê perwerde dike ku antîjenê nas bike, antîbodi çêbike û bîr bîne ka li dijî enfeksiyonê çawa berevanî bike.",2,What is Vaccination? – WHO,https://www.who.int/news-room/questions-and-answers/item/vaccines-and-immunization-what-is-vaccination,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0008,Çand,ku-kmr,"Li gorî UNESCO, cûrbecûrbûna jiyana di okyanûsan de çi dihewîne?","Cûrbecûrbûna di nav cûreyan, di hundirê cûreyan û di ekosîsteman de.",Tenê hejmarên masiyan di yek deryayê de.,Tenê şiklên kevirên li binê avê.,Tenê rengên avê di demsalê de.,A,"UNESCO biodiversîteya okyanûsê bi cûrbecûrbûna di nav cûreyan, di hundirê cûreyan û di ekosîsteman de pênase dike.",2,Ocean Biodiversity – UNESCO,https://www.unesco.org/en/query-list/o/ocean-biodiversity,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0009,Çand,ku-kmr,"Di peyzajên çandî de, çima têkiliya mirov û hawirdorê wekî beşeke çandê tê dîtin?","Ji ber ku jiyana civakî, karên erdê û bawerî dikarin li ser hawirdorê şop û wate bihêlin.",Ji ber ku çand tenê di muzeyê de tê dîtin.,Ji ber ku mirov qet hawirdorê naguherînin.,Ji ber ku peyzajên çandî tenê bi avahiyên mezin ve têne pênasekirin.,A,"UNESCO peyzajên çandî wekî karê hevparê mirov û xwezayê dide pênasekirin ku tê de karên erdê, civak û bawerî dikarin xuya bibin.",3,Cultural Landscapes – UNESCO World Heritage Centre,https://whc.unesco.org/en/culturallandscape,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
general3_0010,Çand,ku-kmr,"Di dema veguhastina mirasa devkî de, çima çîrok dikare di her performansê de hinekî biguhere?","Ji ber ku vegotin têkeliya dubarekirin, afirandin û improvîzasyonê dihewîne.",Ji ber ku çîrok divê her tim bê deng were nivîsandin.,Ji ber ku civak çîrokan qet naguhere.,Ji ber ku performans ji çîrokê cuda ye.,A,"UNESCO dibêje kevneşopiyên devkî di veguhastinê de dikarin dubarekirin, afirandin û improvîzasyonê bi hev re dihewînin.",2,Oral Traditions and Expressions – UNESCO,https://ich.unesco.org/en/oral-traditions-and-expressions-00053,PENDING_EDITORIAL_APPROVAL,"Bilim ve gündelik yaşam genel kültüründen, kapsayıcı ve kaynaklı biçimde elle yazıldı; ikinci editoryal kontrol bekliyor."
