candidate_id,source,license,source_category,difficulty,prompt_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,translation_status,editorial_status
opentdb_0001,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Where did the pineapple plant originate?,South America,Hawaii,Europe,Asia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0002,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,What was the destination of the missing flight MH370?,Beijing,Kuala Lumpur,Singapore,Tokyo,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0003,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,What do the Dutch call their language?,Nederlands,Dansk,Deutsch,Hollander,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0004,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,The Quran is the holy book of which Abrahamic religion?,Islam,Christianity,Judaism,Rastafarianism,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0005,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,"In ""Shrek"", what comedic actor voices Donkey?",Eddie Murphy,Chris Rock,Richard Pryor,Bernie Mac,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0006,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Which logical fallacy means to attack the character of your opponent rather than their arguments?,Ad hominem,Post hoc ergo propter hoc,Tu quoque,Argumentum ad populum,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0007,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,"What type of animal was Harambe, who was shot after a child fell into it's enclosure at the Cincinnati Zoo?",Gorilla,Tiger,Panda,Crocodile,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0008,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,Shogun,Ninja,Samurai,Shinobi,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0009,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,"De Eemhof, Port Zelande and Het Heijderbos are holiday villas owned by what company?",Center Parcs,Yelloh Village,Keycamp,Villa Plus,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0010,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,The architect known as Le Corbusier was an important figure in what style of architecture?,Modernism,Neoclassical,Baroque,Gothic Revival,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0011,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Which country has the most Trappist breweries?,Belgium,Netherlands,France,USA,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0012,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,What geometric shape is generally used for stop signs?,Octagon,Hexagon,Circle,Triangle,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0013,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,The Flag of the European Union has how many stars on it?,12,10,14,16,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0014,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,"What is the Spanish word for ""donkey""?",Burro,Caballo,Toro,Perro,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0015,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,How many furlongs are there in a mile?,Eight,Two,Four,Six,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0016,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,"According to the BBPA, what is the most common pub name in the UK?",Red Lion,Royal Oak,White Hart,King's Head,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0017,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,Electronic music producer Kygo's popularity skyrocketed after a certain remix. Which song did he remix?,Ed Sheeran - I See Fire,Marvin Gaye - Sexual Healing,Coldplay - Midnight,a-ha - Take On Me,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0018,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,"Located in Chile, El Teniente is the world's largest underground mine for what metal?",Copper,Iron,Nickel,Silver,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0019,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Only 9% of US Households owned a television in ,1950,1965,1913,1969,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0020,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Who invented Pastafarianism?,Bobby Henderson,Eric Tignor,Bill Nye,Zach Soldi,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0021,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,What is the first book of the Old Testament?,Genesis,Exodus,Leviticus,Numbers,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0022,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Which of the following correctly describes Japanese word order?,Subject Object Verb,Subject Verb Object,Verb Subject Object,Verb Object Subject,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0023,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,"In the Morse code, which letter is indicated by 3 dots? ",S,O,A,C,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0024,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,"What is the romanized Chinese word for ""airplane""?",Feiji,Qiche,Zongxian,Huojian,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
