id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_teknoloji_0001,ku-kmr,Teknolojî,"Ji bo gihîştina malperekê, kîjan protokol tê bikaranîn?",HTTP,FTP,SMTP,SSH,A,"HTTP (Hypertext Transfer Protocol) ji bo veguhestina pelên malperê tê bikaranîn. FTP ji bo pelan, SMTP ji bo e-nameyê û SSH ji bo têketina dûr e.",1,verified,https://en.wikipedia.org/wiki/HTTP,approved,0.95,
ds_teknoloji_0002,ku-kmr,Teknolojî,Kîjan amûr ji bo girêdana du torên cuda tê bikaranîn?,Switch,Router,Hub,Modem,B,Router (rêker) du torên cuda bi hev ve girêdide û daneyan di navbera wan de rê dike. Switch tenê di nav tora herêmî de girêdanê çêdike.,1,verified,https://en.wikipedia.org/wiki/Router_(computing),approved,0.95,
ds_teknoloji_0003,ku-kmr,Teknolojî,"Di navnîşana IP-ê de, kîjan rêje pîvana veguhestina daneyan di torê de nîşan dide?",Latency,Packet loss,Bandwidth,Jitter,C,"Bandwidth (firehiya bandê) rêjeya herî zêde ya veguhestina daneyan di torê de ye. Latency derengiya veguhestinê ye, packet loss windabûna pakêtan e û jitter guherîna derengiyê ye.",2,verified,https://en.wikipedia.org/wiki/Bandwidth_(computing),approved,0.95,
ds_teknoloji_0004,ku-kmr,Teknolojî,Kîjan teknolojî ji bo şîfrekirina daneyan di navbera du aliyan de tê bikaranîn?,HTML,CSS,JavaScript,SSL/TLS,D,"SSL/TLS protokolên şîfrekirinê ne ku daneyên di navbera server û klîentê de diparêzin. HTML, CSS û JavaScript zimanên avakirina malperê ne, ne protokolên şîfrekirinê ne.",2,verified,https://en.wikipedia.org/wiki/Transport_Layer_Security,approved,0.95,
ds_teknoloji_0005,ku-kmr,Teknolojî,Kîjan protokol ji bo veguhestina e-nameyan tê bikaranîn?,SMTP,HTTP,FTP,DNS,A,"SMTP (Simple Mail Transfer Protocol) ji bo şandina e-nameyan tê bikaranîn. HTTP ji bo malperan, FTP ji bo pelan û DNS ji bo navnîşankirina domênan e.",1,verified,https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol,approved,0.95,
ds_teknoloji_0006,ku-kmr,Teknolojî,Kîjan amûr navnîşana IP-ê ya malperekê ji navê domênê peyda dike?,Web server,DNS server,Mail server,Proxy server,B,"DNS (Domain Name System) server navê domênê (mînak: wikipedia.org) vediguherîne navnîşana IP-ê ya ku komputer dikare tê bigihîje. Web server malperan dişîne, mail server e-nameyan birêve dibe û proxy server daneyan di navbera klîent û serverê de derbas dike.",2,verified,https://en.wikipedia.org/wiki/Domain_Name_System,approved,0.95,
ds_teknoloji_0007,ku-kmr,Teknolojî,Kîjan protokol ji bo gihîştina pelan ji ser dûr ve tê bikaranîn?,HTTP,SMTP,FTP,POP3,C,"FTP (File Transfer Protocol) ji bo veguhestina pelan di navbera komputeran de tê bikaranîn. HTTP ji bo malperan, SMTP ji bo e-nameyê û POP3 ji bo wergirtina e-nameyan e.",1,verified,https://en.wikipedia.org/wiki/File_Transfer_Protocol,approved,0.95,
ds_teknoloji_0008,ku-kmr,Teknolojî,"Di torê de, kîjan cîhaz ji bo girêdana gelek komputeran di nav tora herêmî de tê bikaranîn?",Router,Modem,Firewall,Switch,D,"Switch (guhêzker) di nav tora herêmî (LAN) de gelek komputeran bi hev ve girêdide û daneyan di navbera wan de rê dike. Router ji bo girêdana toran, modem ji bo girêdana înternetê û firewall ji bo parastinê ye.",1,verified,https://en.wikipedia.org/wiki/Network_switch,approved,0.95,
ds_teknoloji_0009,ku-kmr,Teknolojî,Kîjan protokol ji bo wergirtina e-nameyan ji serverê tê bikaranîn?,POP3,SMTP,HTTP,FTP,A,"POP3 (Post Office Protocol 3) ji bo wergirtina e-nameyan ji serverê tê bikaranîn. SMTP ji bo şandina e-nameyan e, HTTP ji bo malperan û FTP ji bo pelan e.",1,verified,https://en.wikipedia.org/wiki/Post_Office_Protocol,approved,0.95,
ds_teknoloji_0010,ku-kmr,Teknolojî,Kîjan teknolojî ji bo girêdana bêtêl a înternetê tê bikaranîn?,Ethernet,Wi-Fi,Fiber optic,Coaxial cable,B,"Wi-Fi teknolojiyek bêtêl e ku ji bo girêdana înternetê bi pêlên radyoyê tê bikaranîn. Ethernet, fiber optic û kabloya koaksiyal hemû girêdanên bi têl in.",1,verified,https://en.wikipedia.org/wiki/Wi-Fi,approved,0.95,
