id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_ziman_0001,ku-kmr,Ziman,Di kurmancî de izafeya nêr çawa tê nivîsandin?,-ê,-a,-ên,-î,A,"Di kurmancî de, ji bo navdêrên nêr ên yekjimar, izafe bi '-ê' tê nîşankirin. Mînak: 'kurê min' (kur -ê min).",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0002,ku-kmr,Ziman,Kîjan peyv di kurmancî de bi awayekî rast bi izafeya mê hatiye nivîsandin?,dîya min,dêya min,dîha min,dêha min,B,"Ji bo navdêrên mê yên ku bi dengdarekê diqedin, izafe '-ya' ye. 'Dê' bi 'ya' ve dibe 'dêya'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0003,ku-kmr,Ziman,"Di kurmancî de, ji bo pirjimara nêr û mê, kîjan izafe tê bikaranîn?",-a,-ê,-ên,-î,C,"Ji bo pirjimara hemû navdêran, izafe '-ên' e. Mînak: 'zarokên min' (zarok -ên min).",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0004,ku-kmr,Ziman,"Di kurmancî de, navdêrên mê yên ku bi dengdarekê diqedin, izafe çawa digirin?",-a,-ê,-yê,-ya,D,"Navdêrên mê yên ku bi dengdarekê (a, e, i, o, u) diqedin, izafeya wan '-ya' ye. Mînak: 'bavê min' ne, lê 'dêya min' rast e.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0005,ku-kmr,Ziman,"Di kurmancî de, navdêrên nêr ên ku bi dengdarekê diqedin, izafe çawa digirin?",-yê,-ê,-a,-ya,A,"Navdêrên nêr ên ku bi dengdarekê diqedin, izafeya wan '-yê' ye. Mînak: 'bavê min' ne, lê 'bavê min' rast e. (Bav bi konsonantê diqede, lê mînakên bi dengdar: 'şehrê'?)",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0006,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'kitêb' (mê) rast e?",kitêbê min,kitêba min,kitêbên min,kitêbî min,B,"'Kitêb' navdêreke mê ye, ji ber vê yekê izafeya wê '-a' ye. 'Kitêba min' tê wateya 'my book'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0007,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'mêr' (nêr) rast e?",mêra min,mêrên min,mêrê min,mêri min,C,"'Mêr' navdêreke nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Mêrê min' tê wateya 'my husband'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0008,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'zarok' (nêr/mê) rast e?",zaroka min,zarokê min,zarokî min,zarokên min,D,"'Zarok' dikare nêr an mê be, lê di pirjimarê de izafe '-ên' e. 'Zarokên min' tê wateya 'my children'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0009,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'dê' (mê) rast e?",dêya min,dêa min,dêê min,dêyê min,A,"'Dê' bi dengdarekê diqede, ji ber vê yekê izafeya wê '-ya' ye. 'Dêya min' tê wateya 'my mother'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0010,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'bav' (nêr) rast e?",bava min,bavê min,bavên min,bavî min,B,"'Bav' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Bavê min' tê wateya 'my father'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0011,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'xwişk' (mê) rast e?",xwişkê min,xwişkên min,xwişka min,xwişkî min,C,"'Xwişk' navdêreke mê ye, ji ber vê yekê izafeya wê '-a' ye. 'Xwişka min' tê wateya 'my sister'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0012,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'bira' (nêr) rast e?",biraa min,biraê min,biraî min,birayê min,D,"'Bira' bi dengdarekê diqede û nêr e, ji ber vê yekê izafeya wê '-yê' ye. 'Birayê min' tê wateya 'my brother'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0013,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'mal' (mê) rast e?",mala min,malê min,malên min,malî min,A,"'Mal' navdêreke mê ye, ji ber vê yekê izafeya wê '-a' ye. 'Mala min' tê wateya 'my house'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0014,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'derî' (nêr) rast e?",derîa min,deriyê min,derîê min,derîî min,B,"'Derî' bi dengdarekê diqede û nêr e, ji ber vê yekê izafeya wê '-yê' ye. 'Deriyê min' tê wateya 'my door'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0015,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'nav' (nêr) rast e?",nava min,navên min,navê min,navî min,C,"'Nav' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Navê min' tê wateya 'my name'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0016,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'derd' (nêr) rast e?",derda min,derdên min,derdî min,derdê min,D,"'Derd' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Derdê min' tê wateya 'my problem'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0017,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'dil' (nêr) rast e?",dilê min,dila min,dilên min,dilî min,A,"'Dil' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Dilê min' tê wateya 'my heart'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0018,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'rû' (nêr) rast e?",rûa min,rûyê min,rûê min,rûî min,B,"'Rû' bi dengdarekê diqede û nêr e, ji ber vê yekê izafeya wê '-yê' ye. 'Rûyê min' tê wateya 'my face'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0019,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'stran' (mê) rast e?",stranê min,stranên min,strana min,stranî min,C,"'Stran' navdêreke mê ye, ji ber vê yekê izafeya wê '-a' ye. 'Strana min' tê wateya 'my song'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0020,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'çîrok' (mê) rast e?",çîrokê min,çîrokên min,çîrokî min,çîroka min,D,"'Çîrok' navdêreke mê ye, ji ber vê yekê izafeya wê '-a' ye. 'Çîroka min' tê wateya 'my story'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0021,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'bajar' (nêr) rast e?",bajarê min,bajara min,bajarên min,bajarî min,A,"'Bajar' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Bajarê min' tê wateya 'my city'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0022,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'gund' (nêr) rast e?",gunda min,gundê min,gundên min,gundî min,B,"'Gund' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Gundê min' tê wateya 'my village'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0023,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'çiya' (nêr) rast e?",çiyaa min,çiyaê min,çiyayê min,çiyaî min,C,"'Çiya' bi dengdarekê diqede û nêr e, ji ber vê yekê izafeya wê '-yê' ye. 'Çiyayê min' tê wateya 'my mountain'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0024,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'ziman' (nêr) rast e?",zimana min,zimanên min,zimanî min,zimanê min,D,"'Ziman' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Zimanê min' tê wateya 'my language'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0025,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'kitêb' (mê) ya pirjimar rast e?",kitêbên min,kitêba min,kitêbê min,kitêbî min,A,"'Kitêb' navdêreke mê ye, lê di pirjimarê de izafe '-ên' e. 'Kitêbên min' tê wateya 'my books'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0026,ku-kmr,Ziman,"Ji bo kiryarekê ku niha diqewime, em kîjan demê bi kar tînin?",Dema borî,Dema niha,Dema bê,Dema dûdar,B,"Dema ku kiryar niha diqewime, wek 'ez dixwim' an 'ew diçe', em dema niha bi kar tînin. Dema borî ji bo kiryarên qediyayî ye, dema bê jî ji bo kiryarên ku dê biqewimin e.",1,verified,https://en.wikipedia.org/wiki/Present_tense,approved,0.95,
