id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
general7_0001,Ziman,ku-kmr,"Li gorî Neteweyên Yekbûyî, çima Roj a Navneteweyî ya Zimanên Îşaretan tê pîroz kirin?",Ji bo bal kişandina ser girîngiya zimanên îşaretan di temamkirina mafên mirovan ên kesên kerr de.,Ji bo ku zimanên îşaretan ji perwerdehiyê bên rakirin.,Ji bo ku hemû zimanên îşaretan bi zimanekî yekane bên guhartin.,Ji bo ku zimanên axaftinê ji jiyana giştî bên dûrxistin.,A,Neteweyên Yekbûyî vê rojê ji bo bilindkirina hişyariya li ser girîngiya zimanên îşaretan û mafên mirovan ên kesên kerr hatine pêk anîn.,1,International Day of Sign Languages – United Nations,https://www.un.org/en/observances/sign-languages-day,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0002,Ziman,ku-kmr,Kîjan nêrîn li ser zimanên îşaretan rast e?,"Ew zimanên rastîn in ku dikarin ji bo derbirîn, têgihiştin û pêwendiyên civakî bên bikaranîn.",Ew tenê şîfreyên ku ji bo peyamên kurt tên bikaranîn in.,Ew li hemû welatan bi heman rêzimanê tên bikaranîn.,Ew tenê alîkarên zimanên axaftinê ne û xwedî rêziman nînin.,A,"UNESCO zimanên îşaretan di nav cûrbecûrbûna zimanî de dide naskirin; ew serişteyên pêwendiyê ne, ne tenê îşaretên alîkar.",2,Sign languages – UNESCO Vocabularies,https://vocabularies.unesco.org/unesco/en/page/concept17050,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0003,Ziman,ku-kmr,"Di perwerdeya pirzimanî de, çima gihiştina xwendekaran bi zimanekî ku ew fam dikin girîng e?",Ji ber ku têgihiştinê hêsan dike û dikare beşdarbûn û encamên fêrbûnê baştir bike.,Ji ber ku divê xwendekar ji hemû zimanên din dûr bikeve.,Ji ber ku zimanê ku xwendekar fam dike di dibistanê de ne girîng e.,Ji ber ku fêrbûn tenê bi pîvanên yek zimanî pêkan e.,A,UNESCO mafê xwendekaran bi zimanên ku ew fam dikin bi fêrbûn û beşdarbûna berfireh re girêdide.,2,Languages Matter – UNESCO,https://www.unesco.org/en/articles/languages-matter-global-guidance-multilingual-education?hub=370,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0004,Ziman,ku-kmr,Çima parastina zimanên îşaretan dikare bi gihiştina agahiyê re têkildar be?,"Ji ber ku gihiştina perwerde, karûbarên giştî û naveroka dîjîtal bi zimanê xwe beşdarbûna wekhev hêsan dike.",Ji ber ku zimanên îşaretan divê tenê di malê de bên bikaranîn.,Ji ber ku agahî divê ji kesên kerr re bêne veşartin.,Ji ber ku teknolocî nikare zimanê îşaretan piştgirî bike.,A,UNESCO mafê azadiya derbirînê bi zimanê hilbijartî û gihiştina agahiyê bi zimanên cuda re girêdide.,3,Multilingualism and Linguistic Diversity – UNESCO,https://www.unesco.org/en/multilingualism-linguistic-diversity?hub=418,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0005,Çand,ku-kmr,"Li gorî UNESCO, kîjan ji van dikare bibe pratîkeke civakî, ayînî an festîvalî?","Merasîma zewacê, lîstikên kevneşopî, cejnên demsalî û pratîkên civakî.",Tenê berhemeke ku di depoyê de bê parastin.,Tenê avahiyek ku qet nayê bikaranîn.,Tenê belgeyek bê pêwendî bi civakê re.,A,"UNESCO di nav qada pratîkên civakî, ayînî û festîvalî de merasîm, lîstik, cejnên demsalî û gelek pratîkên din dihesibîne.",1,"Social Practices, Rituals and Festive Events – UNESCO",https://ich.unesco.org/en/social-practices-rituals-and-00055,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0006,Çand,ku-kmr,Çima koçberiya ciwanan dikare hin pratîkên mîrasa bê-maddî bixe xeterê?,"Ji ber ku dema hildêrên pratîkê ji civakê dûr dibin, veguhastina zanîn û jêhatîbûnê dikare qels bibe.",Ji ber ku koçberî her tim mîrasê bi lez zêde dike.,Ji ber ku pratîkên mîrasê tenê ji bo ciwanan in.,Ji ber ku civak nikare mîrasê ji nifşekê re bigihîne.,A,UNESCO balê dikişîne ku koçberiya ciwanan dikare kesên pratîkê ji civaka xwe dûr bixe û domandina hin pratîkan zehmet bike.,2,"Social Practices, Rituals and Festive Events – UNESCO",https://ich.unesco.org/en/social-practices-rituals-and-00055,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0007,Çand,ku-kmr,"Di parastina cejnekê de, kîjan rêbaz bi wateya mîrasa zindî re li hev tê?",Pratîkê bi beşdariya civakê bidomîne û rê bide ku ew bi şertên nû re biguheze.,Pratîkê wekî tiştekî cemidî ji jiyana civakê veqetîne.,Hemû guhertinên ku civak dixwaze bike qedexe bike.,Cejnê tenê wekî berhemeke turîstîk biparêze.,A,Mîrasa bê-maddî di jiyana civakan de zindî ye; parastin dikare domandinê piştgirî bike bê ku pratîkê ji hildêrên wê veqetîne.,2,What is Intangible Cultural Heritage? – UNESCO,https://ich.unesco.org/en/what-is-intangible-heritage-00003?lang=en,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0008,Çand,ku-kmr,Çima di naskirina pratîkeke çandî de divê tu bi pirsê 'kî wê mîrasê nas dike?' dest pê bikî?,"Ji ber ku mîras bi wateya ku civak, kom an kesên hildêr didin wê ve tê pênasekirin.",Ji ber ku tenê saziyên navneteweyî dikarin mîrasê pênase bikin.,Ji ber ku mîras her tim bi heman awayî ji derveyî tê dîtin.,Ji ber ku wateya pratîkê bi hildêrên wê re têkildar nîne.,A,"UNESCO mîrasa bê-maddî wek pratîk, zanîn û jêhatîbûnên ku civak û kom wek beşeke mîrasa xwe nas dikin dide pênasekirin.",3,What is Intangible Cultural Heritage? – UNESCO,https://ich.unesco.org/en/what-is-intangible-heritage-00003?lang=en,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0009,Paradigma,ku-kmr,"Li gorî UNESCO, çar aliyên bingehîn ên çarçoveya jêhatîbûna AI ya xwendekaran kîjan in?","Ramana mirov-navend, etîka AI, teknîk û sepanên AI, û sêwirana pergala AI.","Tenê kodkirin, reklâm, bazirganiyê û lîstik.","Tenê matematîk, sport, muzîk û dîrok.","Tenê bikaranîna telefon, çapkirin, wêne û deng.",A,"UNESCO çar aliyên çarçoveyê wek ramana mirov-navend, etîka AI, teknîk û sepanên AI, û sêwirana pergala AI nîşan dide.",1,AI Competency Framework for Students – UNESCO,https://www.unesco.org/en/articles/ai-competency-framework-students?hub=66973,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general7_0010,Paradigma,ku-kmr,Çima UNESCO di hînkirina AI de li ser 'dadweriya rexneyî' raweste?,"Ji bo ku xwendekar karibe encamên AI bi delîl, sînor, bandor û armancên wan re binirxîne.",Ji bo ku xwendekar hemû encamên AI bê pirsîn rast qebûl bike.,Ji bo ku AI ji hemû pêvajoyên biryardan bê derxistin.,Ji bo ku tenê lez û hêsaniya sepanê bê pîvan.,A,Çarçoveya UNESCO xwendekaran wek bikarhênerên berpirsiyar û afirîner dibîne ku divê encam û bandorên AI bi nêrînekî rexneyî binirxînin.,2,AI Competency Framework for Students – UNESCO,https://www.unesco.org/en/articles/ai-competency-framework-students?hub=66973,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
