id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_cand_0001,ku-kmr,Çand,Newroz çi ye û kengî tê pîrozkirin?,Ceşna sersalê ya biharê,Ceşna sersalê ya zivistanê,Ceşna havînê,Ceşna payizê,A,Newroz ceşna sersalê ya biharê ye û di 21ê adarê de tê pîrozkirin. Ev cejn bi hatina biharê ve girêdayî ye.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0002,ku-kmr,Çand,Kîjan sembol bi Newrozê ve têkildar e?,Aglomerasyon,Ateş,Kar,Baran,B,Ateş sembola Newrozê ye. Di vê cejnê de mirov agir dadixin û li ser agir dikevin da ku cejnê pîroz bikin.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0003,ku-kmr,Çand,Newroz di kîjan rojê de tê pîrozkirin?,1ê kanûnê,15ê tebaxê,21ê adarê,10ê çiriya pêşîn,C,"Newroz di 21ê adarê de tê pîrozkirin, ku ev roj wek destpêka biharê û sersala nû tê hesibandin.",1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0004,ku-kmr,Çand,Newroz ji bo kîjan neteweyan cejneke giring e?,Neteweyên Ewropî,Neteweyên Asyayî,Neteweyên Afrîkî,Neteweyên Îranî û Kurd,D,Newroz ji bo neteweyên Îranî û Kurdan cejneke giring e. Ev cejn bi taybetî ji aliyê kurdan ve bi coş tê pîrozkirin.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0005,ku-kmr,Çand,Di Newrozê de mirov çi dikin?,Agir dadixin,Berf dilîzin,Avê vedixwin,Xwarinê çêdikin,A,Di Newrozê de mirov agir dadixin û li dora agir govend digirin. Ev kiryar sembola paqijiyê û nûbûnê ye.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0006,ku-kmr,Çand,Newroz bi kîjan zimanî tê wateya 'roja nû'?,Bi zimanê erebî,Bi zimanê farisî,Bi zimanê tirkî,Bi zimanê îngilîzî,B,Newroz bi zimanê farisî tê wateya 'roja nû'. Ev peyv ji du beşan pêk tê: 'new' (nû) û 'roz' (roj).,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0007,ku-kmr,Çand,Newroz li kîjan welatan tê pîrozkirin?,Li Ewropayê,Li Amerîkayê,Li Rojhilata Navîn û Asyaya Navîn,Li Afrîkayê,C,"Newroz li Rojhilata Navîn û Asyaya Navîn tê pîrozkirin, wek Îran, Iraq, Tirkiye, Sûriye û welatên din.",2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0008,ku-kmr,Çand,Newroz çi dide xelkê?,Xem û kederê,Tirs û fikarê,Bêhêvîtiyê,Hêvî û nûbûnê,D,Newroz hêvî û nûbûnê dide xelkê. Ev cejn destpêka biharê ye û mirov bi vê cejnê re hêviya jiyaneke nû dikin.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0009,ku-kmr,Çand,Kîjan dîrokî bi Newrozê ve girêdayî ye?,Serhildana Kawayê Hesinkar,Şoreşa Fransî,Şerê Cîhanê yê Yekem,Ronesansa Ewropayê,A,"Serhildana Kawayê Hesinkar bi Newrozê ve girêdayî ye. Li gor efsaneyan, Kawa li dijî zalim Dehaq serî hilda û Newroz ji wê serhildanê pêk hat.",3,verified,https://en.wikipedia.org/wiki/Kaveh_the_Blacksmith,approved,0.95,
ds_cand_0010,ku-kmr,Çand,Newroz ji bo kurdan çi ye?,Cejneke olî,Cejneke neteweyî,Cejneke dinyayî,Cejneke çandî,B,Newroz ji bo kurdan cejneke neteweyî ye. Ev cejn sembola azadiyê û xweseriyê ye û bi coşeke mezin tê pîrozkirin.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0011,ku-kmr,Çand,Di Newrozê de çi tê xwarin?,Nan û av,Şîranî,Xwarinên taybet,Fêkiyan,C,Di Newrozê de xwarinên taybet tên çêkirin û xwarin. Ev xwarin bi gelemperî ji malbat û dostan re tên hazirkirin.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0012,ku-kmr,Çand,Newroz di kîjan demsalê de tê pîrozkirin?,Zivistanê,Havînê,Payizê,Biharê,D,Newroz di biharê de tê pîrozkirin. Ev cejn destpêka biharê ye û bi hatina biharê re tê pîrozkirin.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0013,ku-kmr,Çand,Newroz ji kîjan çandê derketiye?,Çanda Îranî,Çanda Yewnanî,Çanda Romayî,Çanda Misirî,A,Newroz ji çanda Îranî derketiye. Ev cejn bi hezaran salan e ku di nav gelên Îranî de tê pîrozkirin.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0014,ku-kmr,Çand,Newroz çi temsîl dike?,Zulmê,Azadiyê,Bêhêvîtiyê,Xemê,B,Newroz azadiyê temsîl dike. Ev cejn sembola azadiyê û têkoşîna dijî zulmê ye.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0015,ku-kmr,Çand,Kîjan efsane bi Newrozê ve girêdayî ye?,Efsaneya Gilgameş,Efsaneya Romulus,Efsaneya Kawayê Hesinkar,Efsaneya Osiris,C,"Efsaneya Kawayê Hesinkar bi Newrozê ve girêdayî ye. Li gor vê efsaneyê, Kawa li dijî zalim Dehaq serî hilda û Newroz ji wê serhildanê pêk hat.",3,verified,https://en.wikipedia.org/wiki/Kaveh_the_Blacksmith,approved,0.95,
ds_cand_0016,ku-kmr,Çand,Newroz di kîjan mehê de tê pîrozkirin?,Meha nîsanê,Meha gulanê,Meha hezîranê,Meha adarê,D,"Newroz di meha adarê de tê pîrozkirin. Bi taybetî di 21ê adarê de, ku ev roj wek destpêka biharê tê hesibandin.",1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0017,ku-kmr,Çand,Newroz ji bo kurdan çi sembol e?,Sembola azadiyê,Sembola zulmê,Sembola bêhêvîtiyê,Sembola xemê,A,Newroz ji bo kurdan sembola azadiyê ye. Ev cejn bi taybetî ji aliyê kurdan ve wek cejna azadiyê tê pîrozkirin.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0018,ku-kmr,Çand,Newroz di kîjan çandê de cih digire?,Çanda Tirkî,Çanda Kurdî,Çanda Erebî,Çanda Farisî,B,Newroz di çanda Kurdî de cih digire. Ev cejn bi taybetî ji aliyê kurdan ve bi coşeke mezin tê pîrozkirin.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0019,ku-kmr,Çand,Newroz bi kîjan navê din tê naskirin?,Cejna Qurbanê,Cejna Remezanê,Sersal,Cejna Mexlûban,C,Newroz bi navê Sersalê jî tê naskirin. Ev cejn wek destpêka sala nû tê hesibandin.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0020,ku-kmr,Çand,Newroz di kîjan rojê de dest pê dike?,Di 1ê kanûnê de,Di 15ê tebaxê de,Di 10ê çiriya pêşîn de,Di 21ê adarê de,D,Newroz di 21ê adarê de dest pê dike. Ev roj wek roja destpêka biharê û sersala nû tê hesibandin.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0021,ku-kmr,Çand,Newroz ji bo kîjan gelan cejneke giring e?,Ji bo kurdan,Ji bo tirkmenan,Ji bo ereban,Ji bo farisan,A,Newroz ji bo kurdan cejneke giring e. Ev cejn bi taybetî ji aliyê kurdan ve bi coşeke mezin tê pîrozkirin.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0022,ku-kmr,Çand,Newroz çi ye?,Cejneke nû,Cejneke kevnar,Cejneke dînî,Cejneke siyasî,B,Newroz cejneke kevnar e. Ev cejn bi hezaran salan e ku tê pîrozkirin û ji çanda Îranî derketiye.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0023,ku-kmr,Çand,Newroz bi kîjan zimanî tê wateya 'roja nû'?,Bi zimanê erebî,Bi zimanê tirkî,Bi zimanê farisî,Bi zimanê kurdî,C,Newroz bi zimanê farisî tê wateya 'roja nû'. Ev peyv ji du beşan pêk tê: 'new' (nû) û 'roz' (roj).,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0024,ku-kmr,Çand,Di Newrozê de mirov li ser çi dadixin?,Av,Berf,Ax,Agir,D,Di Newrozê de mirov li ser agir dadixin. Ev kiryar sembola paqijiyê û nûbûnê ye.,1,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0025,ku-kmr,Çand,Newroz ji bo kurdan çi ye?,Cejneke neteweyî,Cejneke olî,Cejneke dinyayî,Cejneke çandî,A,Newroz ji bo kurdan cejneke neteweyî ye. Ev cejn sembola azadiyê û xweseriyê ye û bi coşeke mezin tê pîrozkirin.,2,verified,https://en.wikipedia.org/wiki/Nowruz,approved,0.95,
ds_cand_0026,ku-kmr,Çand,"Di dawetên kurdan de, zava û bûk ji hev re çi didin?",Dizan,Pêlên xwe,Hêlînan,Kilîlan,B,"Di dawetên kurdan de, zava û bûk bi gelemperî pêlên xwe (bazin) didin hev wekî nîşana pabendbûnê. Ev kevneşopî di gelek deverên Kurdistanê de heye.",1,verified,https://en.wikipedia.org/wiki/Kurdish_culture,approved,0.95,
ds_cand_0027,ku-kmr,Çand,Kîjan dansa kurdan di dawetan de tê kirin?,Salsa,Tango,Govend,Waltz,C,Govend dansa kevneşopî ya kurdan e ku di dawet û cejnan de tê kirin. Dansên din ên wekî salsa an tango ne kurdî ne.,1,verified,https://en.wikipedia.org/wiki/Kurdish_dance,approved,0.95,
ds_cand_0028,ku-kmr,Çand,"Di dawetên kurdan de, kîjan amûra muzîkê ya kevneşopî tê bikaranîn?",Piyano,Keman,Gîtar,Tembûr,D,"Tembûr (an jî tembûr) amûreke muzîkê ya kevneşopî ya kurdan e ku di dawet û govendan de tê lêxistin. Piyano, keman û gîtar ne kevneşopî ne.",1,verified,https://en.wikipedia.org/wiki/Temb%C3%BBr,approved,0.95,
