id,kategori,zorluk,soru,secenek_a,secenek_b,secenek_c,secenek_d,dogru_secenek,dogru_cevap,aciklama,etiketler,kaynak
ZK001,Coğrafya,Kolay,Kürdistan coğrafyası en genel anlamıyla hangi iki büyük dağ sistemiyle birlikte anılır?,Alpler ve Karpatlar,Taurus/Toros ve Zagros,Himalaya ve Pamir,Atlas ve Rif,B,Taurus/Toros ve Zagros,"Kürt nüfusun yoğunlaştığı tarihsel alan, Toroslar ile Zagroslar çevresindeki dağlık kuşakla yakından ilişkilendirilir.","Kürdistan, dağlar, Toros, Zagros",https://www.britannica.com/place/Kurdistan
ZK002,Coğrafya,Kolay,Irak Kürdistan Bölgesi’nin başkenti hangi şehir olarak kabul edilir?,Hewlêr / Erbil,Duhok,Kerkük,Musul,A,Hewlêr / Erbil,"KRG kaynaklarında bölgesel başkent Erbil, Kürtçede Hewlêr/Hawler olarak verilir.","KRG, Hewlêr, Erbil",https://gov.krd/boi-en/why-kurdistan/region/facts-figures/
ZK003,Coğrafya,Kolay,Amed adı Kürtçe kullanımda en çok hangi şehirle ilişkilendirilir?,Mardin,Van,Diyarbakır,Urfa,C,Diyarbakır,"Amed, Kürtçe siyasal ve kültürel kullanımda Diyarbakır için yaygın kullanılan addır.","Amed, Diyarbakır, yer adları",https://whc.unesco.org/en/list/1488/
ZK004,Coğrafya,Orta,UNESCO Dünya Mirası listesinde yer alan Erbil Kalesi hangi kenttedir?,Hewlêr / Erbil,Sine / Sanandaj,Kobanê,Mahabad,A,Hewlêr / Erbil,"Erbil Kalesi, Hewlêr/Erbil merkezinde yükselen tarihsel bir höyük yerleşimi olarak UNESCO listesindedir.","Erbil Kalesi, UNESCO, miras",https://whc.unesco.org/en/list/1437/
ZK005,Coğrafya,Orta,Diyarbakır Surları ve Hevsel Bahçeleri hangi nehir havzasıyla birlikte tanımlanır?,Fırat,Dicle,Aras,Kızılırmak,B,Dicle,"UNESCO tanımında alan, Yukarı Dicle Nehri Havzası üzerindeki bir kültürel peyzajdır.","Dicle, Hevsel, UNESCO",https://whc.unesco.org/en/list/1488/
ZK006,Coğrafya,Kolay,KRG’nin resmi tanıtımında bölgenin komşu olduğu ülkelerden biri hangisidir?,İtalya,Türkiye,Mısır,Hindistan,B,Türkiye,"KRG’nin yatırım/tanıtım sayfasında bölgenin Türkiye, İran ve Suriye ile sınır ilişkisi vurgulanır.","KRG, sınırlar, Türkiye",https://gov.krd/boi-en/why-kurdistan/region/facts-figures/
ZK007,Coğrafya,Orta,Rojhilat ifadesi Kürt siyasal-kültürel terminolojisinde genellikle hangi bölgeyi anlatır?,İran’daki Kürt bölgesi,Suriye’deki Kürt bölgesi,Irak’taki Kürt bölgesi,Avrupa diasporası,A,İran’daki Kürt bölgesi,Rojhilat “doğu” anlamıyla İran Kürdistanı için kullanılan Kürtçe bölgesel adlandırmadır.,"Rojhilat, İran Kürdistanı, yön adları",https://www.britannica.com/place/Kurdistan
ZK008,Coğrafya,Orta,Başûr ifadesi Kürtçe bölgesel adlandırmada çoğunlukla nereyi anlatır?,Kuzey Kürdistan,Güney Kürdistan / Irak Kürdistanı,Batı Kürdistan,Kafkasya diasporası,B,Güney Kürdistan / Irak Kürdistanı,Başûr “güney” demektir ve yaygın politik-kültürel kullanımda Irak Kürdistanı’nı belirtir.,"Başûr, Irak Kürdistanı, Kürtçe yönler",https://www.britannica.com/place/Kurdistan
ZK009,Coğrafya,Orta,Bakur ifadesi Kürtçe bölgesel adlandırmada hangi alan için kullanılır?,Türkiye’deki Kürt bölgesi,İran’daki Kürt bölgesi,Suriye’deki Kürt bölgesi,Lübnan’daki Kürt diasporası,A,Türkiye’deki Kürt bölgesi,Bakur “kuzey” anlamındadır ve Türkiye’deki Kürt coğrafyası için yaygın bir addır.,"Bakur, Türkiye Kürdistanı, yön adları",https://www.britannica.com/place/Kurdistan
ZK010,Coğrafya,Orta,Rojava ifadesi en çok hangi ülkenin kuzeyindeki Kürt bölgeleriyle ilişkilidir?,Suriye,Irak,İran,Ermenistan,A,Suriye,Rojava “batı” anlamına gelir ve Suriye’nin kuzeyindeki Kürt bölgeleri için kullanılır.,"Rojava, Suriye, Batı Kürdistan",https://rojavainformationcenter.org/2023/12/aanes-social-contract-2023-edition/
ZK011,Coğrafya,Zor,2025 itibarıyla Halepçe’nin Irak idari yapısındaki statüsüne dair en güncel doğru ifade hangisidir?,Irak’ın 19. vilayeti/gubernatorluğu olarak ayrı statü kazandı,Bağdat’ın ilçesi oldu,KRG’den tamamen çıkarıldı,Suriye’ye bağlandı,A,Irak’ın 19. vilayeti/gubernatorluğu olarak ayrı statü kazandı,2025 başlarında Halepçe’nin Irak’ın 19. vilayeti olarak ayrıldığı raporlandı; KRG kültürel-siyasal anlatısında da dört ana vilayet arasında anılır.,"Halepçe, 2025, idari statü",https://www.euaa.europa.eu/country-origin-information-report/148-kurdistan-region-iraq-erbil-dohuk-sulaymaniyah
ZK012,Coğrafya,Kolay,Mahabad kenti günümüzde hangi ülkededir?,Irak,İran,Suriye,Türkiye,B,İran,"Mahabad, İran’ın batısında Kürt tarihi açısından sembolik önemi olan bir kenttir.","Mahabad, İran, Rojhilat",https://www.britannica.com/place/Kurdistan
ZK013,Tarih,Kolay,Selahaddin Eyyubi hangi hanedanın kurucusu olarak bilinir?,Eyyubi Hanedanı,Safevi Hanedanı,Osmanlı Hanedanı,Abbasi Hanedanı,A,Eyyubi Hanedanı,"Britannica, Selahaddin’i Eyyubi hanedanının kurucusu ve Mısır-Suriye merkezli bir hükümdar olarak tanımlar.","Selahaddin, Eyyubiler, tarih",https://www.britannica.com/biography/Saladin
ZK014,Tarih,Orta,Eyyubi Hanedanı hangi dönemlerde Ortadoğu’da etkili olmuştur?,12.-13. yüzyıllar,5.-6. yüzyıllar,18.-19. yüzyıllar,20. yüzyılın sonu,A,12.-13. yüzyıllar,"Eyyubiler, 12. yüzyıl sonu ve 13. yüzyıl başlarında Mısır, Suriye ve çevresinde hüküm sürdü.","Eyyubiler, Ortaçağ, Selahaddin",https://www.britannica.com/topic/Ayyubid-dynasty
