id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_edebiyat_0062,ku-kmr,Edebiyat,Kîjan nivîskarê Kurd bi romanên xwe yên li ser jiyana bajaran tê naskirin?,Mehmed Uzun,Azad Zal,Yaşar Kemal,Orhan Pamuk,B,"Azad Zal bi romanên xwe yên li ser jiyana bajaran tê naskirin. Ew di warê romana Kurdî de cihekî taybet digire. Mehmed Uzun bi romanên dîrokî tê nasîn, Yaşar Kemal Tirk e û Orhan Pamuk jî Tirk e. Ji ber vê yekê bersiva rast D ye.",3,verified,https://en.wikipedia.org/wiki/Azad_Zal,approved,0.95,
ds_edebiyat_0076,ku-kmr,Edebiyat,"Di destana Gilgameş de, Gilgameş ji bo çi li riya nemiriyê digere?",Ji bo ku bibe padîşah,Ji bo ku cîhanê bigire,Ji bo ku xwedayan bibîne,Ji bo ku hevalê xwe Enkîdu vejîne,D,"Di destana Gilgameş de, piştî mirina hevalê xwe Enkîdu, Gilgameş ji ber xema mirinê li riya nemiriyê digere da ku hevalê xwe vejîne û ji mirinê bireve.",2,verified,https://en.wikipedia.org/wiki/Epic_of_Gilgamesh,approved,0.95,
ds_edebiyat_0078,ku-kmr,Edebiyat,"Di destana Îlyadayê de, kîjan lehenga yekem car tê nasîn?",Hektor,Aşîl,Odîseus,Agamemnon,B,"Di destana Îlyadayê de, Aşîl lehenga navendî ye, ku bi hêrs û şerê xwe yê li dijî Troyayê tê naskirin.",2,verified,https://en.wikipedia.org/wiki/Iliad,approved,0.95,
ds_edebiyat_0079,ku-kmr,Edebiyat,Kîjan çîrok di nav 'Hezar û Yek Şev' de derbas dibe?,Çîroka Gilgameş,Çîroka Beowulf,Çîroka Sindbad,Çîroka Kalevala,C,"Di nav 'Hezar û Yek Şev' de, çîroka Sindbadê Deryavan yek ji çîrokên herî navdar e, ku der barê serpêhatiyên wî yên deryayî de ye.",1,verified,https://en.wikipedia.org/wiki/One_Thousand_and_One_Nights,approved,0.95,
ds_edebiyat_0081,ku-kmr,Edebiyat,Kîjan kesayet di destana 'Şahname' ya Fîrdewsî de cih digire?,Rustem,Gilgameş,Aşîl,Beowulf,A,"Rustem lehenga navendî ya destana 'Şahname' ya Fîrdewsî ye, ku bi hêz û mêraniya xwe tê naskirin.",2,verified,https://en.wikipedia.org/wiki/Shahnameh,approved,0.95,
ds_edebiyat_0082,ku-kmr,Edebiyat,"Di destana 'Beowulf' de, Beowulf bi kîjan dijmin re şer dike?",Aşîl,Grendel,Rustem,Odîseus,B,"Di destana 'Beowulf' de, Beowulf bi dijminê xwe Grendel re şer dike, ku wekî cinawirekî tê nasîn.",1,verified,https://en.wikipedia.org/wiki/Beowulf,approved,0.95,
ds_edebiyat_0084,ku-kmr,Edebiyat,"Di destana 'Odîseya' de, Odîseus çi demê vedigere malê?",Piştî mirina xwe,Piştî ku bibe padîşah,Piştî ku cîhanê bigire,Piştî şerê Troyayê,D,"Di destana 'Odîseya' de, Odîseus piştî şerê Troyayê vedigere malê, lê rêwîtiya wî bi gelek serpêhatiyan re derbas dibe.",2,verified,https://en.wikipedia.org/wiki/Odyssey,approved,0.95,
ds_edebiyat_0085,ku-kmr,Edebiyat,Kîjan berhem destaneke neteweyî ya Îraniyan e?,Şahname,Kalevala,İlyada,Beowulf,A,"Şahname destaneke neteweyî ya Îraniyan e, ku ji hêla Fîrdewsî ve hatiye nivîsandin.",2,verified,https://en.wikipedia.org/wiki/Shahnameh,approved,0.95,
ds_edebiyat_0086,ku-kmr,Edebiyat,"Di destana 'Gilgameş' de, Enkîdu kî ye?",Dijminê Gilgameş,Hevalê Gilgameş,Padîşahê Urukê,Xwedayekî,B,"Enkîdu hevalê Gilgameş e, ku ji hêla xwedayan ve hatiye afirandin da ku Gilgameş kontrol bike, lê paşê dibe hevalê wî.",2,verified,https://en.wikipedia.org/wiki/Enkidu,approved,0.95,
ds_edebiyat_0088,ku-kmr,Edebiyat,"Di destana 'Îlyadayê' de, kîjan lehenga yekem car tê nasîn?",Hektor,Odîseus,Agamemnon,Aşîl,D,"Di destana 'Îlyadayê' de, Aşîl lehenga navendî ye, ku bi hêrs û şerê xwe yê li dijî Troyayê tê naskirin.",2,verified,https://en.wikipedia.org/wiki/Iliad,approved,0.95,
