severity,check_id,confidence,source_id,source_path,source_row,record_id,prompt,message,issue_fingerprint
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,87,offline_0086,"Di Kurmancî de peyva ""îro"" bi Tirkî çi ye?",Potentially time-sensitive fact requires source and review date.,06061fd1242a3da9cb0d77ee0f44aafa
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,88,offline_0087,"""bugün"" anlamına gelen Kurmancî kelime hangisidir?",Potentially time-sensitive fact requires source and review date.,1509597fcd6587e4377d9109946129a9
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,89,offline_0088,"Peyva ""îro"" ""bugün"" anlamına gelir.",Potentially time-sensitive fact requires source and review date.,e18d74273ceee47d8bf8513f72db1ccf
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,90,offline_0089,"Peyva ""îro"" ""yarın"" anlamına gelir.",Potentially time-sensitive fact requires source and review date.,949068c4b9565b082d11f09be40fd90a
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,91,offline_0090,"Görsel etiketi ""îro"" kavramını gösteriyor. Doğru anlam hangisidir?",Potentially time-sensitive fact requires source and review date.,2889a85462a0cfe2742d1c2eca9aed35
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,143,offline_2017,"Peyva ""îro"" bi Tirkî çi ye?",Potentially time-sensitive fact requires source and review date.,ffdf4f492ec235991bed84363c0c67d7
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,150,offline_2024,Dema niha (şimdiki zaman) bi kîjan pêşgirê çêdibe?,Potentially time-sensitive fact requires source and review date.,55b62a2d68567c4c8c890b69cdf159a9
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,329,offline_5022,"Peyva ""kevin"" ""bugün"" anlamına gelir.",Potentially time-sensitive fact requires source and review date.,b3d19468dac65ba5b4e0b493df3521b5
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,353,offline_5046,"Di Kurmancî de peyva ""îro"" bi Tirkî çi ye?",Potentially time-sensitive fact requires source and review date.,e6496fa77540052cff1fc8185a7581d7
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,390,offline_5083,"Di Kurmancî de peyva ""îro"" bi Tirkî çi ye?",Potentially time-sensitive fact requires source and review date.,e65704a7754b8cb7ff124b185a6a2314
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,451,offline_5144,"""bugün"" anlamına gelen Kurmancî kelime hangisidir?",Potentially time-sensitive fact requires source and review date.,28b2b39a0f85338f645706f12a10e1a6
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,674,offline_5367,"Peyva ""îro"" ""dün"" anlamına gelir.",Potentially time-sensitive fact requires source and review date.,1a43c058b8959308d21cc4727279c14c
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,686,offline_5379,"Peyva ""îro"" ""bugün"" anlamına gelir.",Potentially time-sensitive fact requires source and review date.,db2db7fd9c355b2163367115bebb066b
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,793,offline_5486,"Di Kurmancî de peyva ""îro"" bi Tirkî çi ye?",Potentially time-sensitive fact requires source and review date.,c41ddba76207fc44dca2a41846f82d17
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,887,offline_5580,"Peyva ""îro"" ""bugün"" anlamına gelir.",Potentially time-sensitive fact requires source and review date.,ed6496fda6c729a7513cac15b45d1231
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,967,offline_5660,"Peyva ""îro"" ""dün"" anlamına gelir.",Potentially time-sensitive fact requires source and review date.,33c5c058c6e572caa6f684725a150f4e
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,1210,offline_5903,"""bugün"" anlamına gelen Kurmancî kelime hangisidir?",Potentially time-sensitive fact requires source and review date.,6d32809a3617afd2a943d9f1510039fb
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,1215,offline_5908,"""bugün"" anlamına gelen Kurmancî kelime hangisidir?",Potentially time-sensitive fact requires source and review date.,6d32879a3617bbb7a943d2f151002e16
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,1302,offline_2051,Cejna Newrozê di kîjan rojê de tê pîrozkirin?,Potentially time-sensitive fact requires source and review date.,7bf3b3cf31bc8127e935090fc217b8af
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,1309,offline_2058,Çîrokbêj çi dike?,Potentially time-sensitive fact requires source and review date.,8058b6825bd1fb8addec3b13d6b64f2e
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,1382,offline_2424,"""Çîrokbêj"" kimdir?",Potentially time-sensitive fact requires source and review date.,c346882c364a18d7c27f3558057ed9e6
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,1437,offline_2810,"""Dengbêjlik"" ve ""çîrokbêjlik"" hangi ortak özelliği paylaşır?",Potentially time-sensitive fact requires source and review date.,13d59f13d38c3ec5c60f8e1ee46719a8
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2550,offline_2088,Şerefname dîroka mîrgehên Kurdan vedibêje.,Potentially time-sensitive fact requires source and review date.,f9c1b330b493e4c8af6fcae8e2138825
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2597,offline_2426,Kürtlerin yaşadığı tarihî bölge bugün ağırlıkla hangi dört ülkeye yayılır?,Potentially time-sensitive fact requires source and review date.,e8acc832c11c40aa77a68866711f5f37
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2620,offline_2547,Mesud Barzani uzun süre hangi bölgenin başkanlığını yapmıştır?,Potentially time-sensitive fact requires source and review date.,2f27ef32ef163bae8189cf73d364b55d
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2646,offline_2698,"""Dîrok"" sözcüğü ne demek?",Potentially time-sensitive fact requires source and review date.,e9ae3063a7c500a243f37a9a629e1b16
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2664,offline_7008,'Dîrok' alanı yalnızca 'Mela Mahmude Bayazidi' dışındaki konuları inceler.,Potentially time-sensitive fact requires source and review date.,476d6e83fc2a146021432e1b697b4431
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2666,offline_7010,"'Barzani hareketi', dîrok araştırmalarında geçerli bir kavramdır.",Potentially time-sensitive fact requires source and review date.,5a64493b78fc10f2ff0a38ae10a3b646
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2668,offline_7012,Geleneksel dîrok birikiminde 'Barzani Hareketi' kavramının izlerine rastlanır.,Potentially time-sensitive fact requires source and review date.,df2c3a17c5127a682fffee202f0dbb63
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2669,offline_7013,'Anfal operasyonu' kavramının dîrok ile hiçbir bağı bulunmamaktadır.,Potentially time-sensitive fact requires source and review date.,792976d98229552ebe92fc6dea539bf1
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2671,offline_7015,Dîrok bağlamında 'Kürdistan Eyaleti' en çok hangi alanla veya tanımla ilişkilidir?,Potentially time-sensitive fact requires source and review date.,de6e49381ef681d508b07dd3412662fc
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2672,offline_7016,Geleneksel dîrok birikiminde 'Mezopotamya' kavramının izlerine rastlanır.,Potentially time-sensitive fact requires source and review date.,b412103976a3445825b0d3f5d2218c94
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2673,offline_7017,'Dîrok' çalışmalarında 'Mezopotamya' kavramı hangi konuyu aydınlatır?,Potentially time-sensitive fact requires source and review date.,ce5ded33b2c3016af42050507fd3a61a
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2674,offline_7018,Dîrok bağlamında 'ticaret yolu' en çok hangi alanla veya tanımla ilişkilidir?,Potentially time-sensitive fact requires source and review date.,6c531618e75671f152ef43dc35488749
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2676,offline_7020,Geleneksel dîrok birikiminde 'Mustafa Barzani' kavramının izlerine rastlanır.,Potentially time-sensitive fact requires source and review date.,915fcdf233b2ca2538a85b51f46f3c0d
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2678,offline_7022,"'Kültürel etkileşim', dîrok araştırmalarında geçerli bir kavramdır.",Potentially time-sensitive fact requires source and review date.,4bb28c52197c110dcdb04ec0983c04e7
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2680,offline_7024,'Leyla qasim' kavramı tarihsel süreçte dîrok gelişimine katkı sağlamıştır.,Potentially time-sensitive fact requires source and review date.,9ab56eca38598f827a0520b396c32a3d
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2681,offline_7025,'Dîrok' alanı yalnızca 'Kürt Teali Cemiyeti' dışındaki konuları inceler.,Potentially time-sensitive fact requires source and review date.,e05681c33c5e79ca38f0a5c40d3c8fc7
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2683,offline_7027,'Ticaret yolu' teriminin dîrok alanı dışındaki bilimlerde kullanımı çok daha yaygındır.,Potentially time-sensitive fact requires source and review date.,66952cf50b9408b9b3620fc10077f0e3
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2684,offline_7028,'Bitlis Prensliği' denildiğinde dîrok açısından ne anlaşılmalıdır?,Potentially time-sensitive fact requires source and review date.,fc378501d1556d9ed8243da72f5b0bf9
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2685,offline_7029,'İhsan nuri paşa' teriminin dîrok alanı dışındaki bilimlerde kullanımı çok daha yaygındır.,Potentially time-sensitive fact requires source and review date.,920eee0521b4e64fbc2da4b6e46f9642
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2687,offline_7031,'Celadet bedirxan' terimi modern dîrok literatüründe kullanılmaz.,Potentially time-sensitive fact requires source and review date.,bb1ba1e7ca197719711092b78dc3bee5
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2691,offline_7035,'Şerefname' kavramı dîrok açısından neyi ifade eder?,Potentially time-sensitive fact requires source and review date.,78f411e3c4502722fcbd2cf60463470b
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2694,offline_7038,'kültürel etkileşim' kavramı dîrok açısından neyi ifade eder?,Potentially time-sensitive fact requires source and review date.,d5c043ed04f1e95cf638cf005e7fd7b4
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2695,offline_7039,'Dîrok' çalışmalarında 'İhsan Nuri Paşa' kavramı hangi konuyu aydınlatır?,Potentially time-sensitive fact requires source and review date.,7c02b0cedaa657e9c61247bd1fe110a5
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2696,offline_7040,Gelişmiş dîrok teorilerinde 'Hawar dergisi' kavramına sıkça başvurulur.,Potentially time-sensitive fact requires source and review date.,bae5ee68b0d8319aaff240ae207e0838
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2697,offline_7041,'Dîrok' bağlamında 'Hawar dergisi' tamamen uydurma bir terimdir.,Potentially time-sensitive fact requires source and review date.,a67c597a77334121d76a0bdbf23bf5d6
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2698,offline_7042,'Dîrok' bağlamında 'Mela Mahmude Bayazidi' tamamen uydurma bir terimdir.,Potentially time-sensitive fact requires source and review date.,2b7d7079dfbc1ff129347c435785f892
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2699,offline_7043,'Mahabad Cumhuriyeti' denildiğinde dîrok açısından ne anlaşılmalıdır?,Potentially time-sensitive fact requires source and review date.,8b21b51e2f6f08614c6f126543628711
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2700,offline_7044,'Dîrok' çalışmalarında 'kronoloji' kavramı hangi konuyu aydınlatır?,Potentially time-sensitive fact requires source and review date.,404fe6830bdff82dc0b61f569d07d8b7
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2701,offline_7045,'Leyla qasim' kavramı Dîrok alanıyla doğrudan ilişkilidir.,Potentially time-sensitive fact requires source and review date.,74bbcbd0c76dff62d37f3ee9a11a14d7
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2702,offline_7046,'Sözlü tarih' terimi dîrok kavramsal çerçevesinde yer alır.,Potentially time-sensitive fact requires source and review date.,36e3f11142d748caf266076822873944
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2704,offline_7048,'Mîrê kor' teriminin dîrok alanı dışındaki bilimlerde kullanımı çok daha yaygındır.,Potentially time-sensitive fact requires source and review date.,6ad1fb91c2e5520a8c93ac4d102d4c5c
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2706,offline_7050,'Sözlü tarih' teriminin dîrok alanı dışındaki bilimlerde kullanımı çok daha yaygındır.,Potentially time-sensitive fact requires source and review date.,cd39cbed89a9ca093fc999a54a00853a
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2707,offline_7051,'Dîrok' alanı yalnızca 'Mustafa Barzani' dışındaki konuları inceler.,Potentially time-sensitive fact requires source and review date.,30c37d833ceb5613247a89b74b378798
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2708,offline_7052,Dîrok bağlamında 'yerleşik yaşam' sadece teknik veya önemsiz bir detaydır.,Potentially time-sensitive fact requires source and review date.,bf5025ddb0945feb80876ba99af2e186
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2710,offline_7054,'Kültürel etkileşim' teriminin dîrok alanı dışındaki bilimlerde kullanımı çok daha yaygındır.,Potentially time-sensitive fact requires source and review date.,63eb56b63047360acc82f65527226522
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2711,offline_7055,'Dîrok' alanı yalnızca 'Kürdistan Eyaleti' dışındaki konuları inceler.,Potentially time-sensitive fact requires source and review date.,a2541b79f461edc7b3f993fbb34b27c4
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2713,offline_7057,'Dîrok' araştırmalarında 'tarihsel yorum' neyi açıklar?,Potentially time-sensitive fact requires source and review date.,20c05e2752c30e48523b215985ed7aca
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2715,offline_7059,'Şengal' kavramı Dîrok alanıyla doğrudan ilişkilidir.,Potentially time-sensitive fact requires source and review date.,4e7d6e08962ec954bb2dd3bffa0c6234
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2716,offline_7060,'Hakkari emirliği' kavramı Dîrok çalışmalarında önemli bir başlık olarak kabul edilir.,Potentially time-sensitive fact requires source and review date.,54e92604c83e8c6c5130df6f665640f7
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2717,offline_7061,'Dîrok' araştırmalarında 'Bohtan Emirliği' neyi açıklar?,Potentially time-sensitive fact requires source and review date.,22af5916b5a373192793ff2ecdf66cf6
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2718,offline_7062,'Koçgiri i̇syanı' kavramı tarihsel süreçte dîrok gelişimine katkı sağlamıştır.,Potentially time-sensitive fact requires source and review date.,4d80f433decbd9e331afcf24d1921996
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2719,offline_7063,"'Ağrı i̇syanları', dîrok araştırmalarında geçerli bir kavramdır.",Potentially time-sensitive fact requires source and review date.,2777ee5f63dac438bb695bb561286079
critical,dynamic_fact,medium,active_import_ready,supabase/questions_import_ready.csv,2721,offline_7065,'Ehmedê Xanî' kavramı dîrok açısından neyi ifade eder?,Potentially time-sensitive fact requires source and review date.,893ff92919c0d38cd7380f95e8d42481
