id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_ziman_0001,ku-kmr,Ziman,Di kurmancî de izafeya nêr çawa tê nivîsandin?,-ê,-a,-ên,-î,A,"Di kurmancî de, ji bo navdêrên nêr ên yekjimar, izafe bi '-ê' tê nîşankirin. Mînak: 'kurê min' (kur -ê min).",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0002,ku-kmr,Ziman,Kîjan peyv di kurmancî de bi awayekî rast bi izafeya mê hatiye nivîsandin?,dîya min,dêya min,dîha min,dêha min,B,"Ji bo navdêrên mê yên ku bi dengdarekê diqedin, izafe '-ya' ye. 'Dê' bi 'ya' ve dibe 'dêya'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0003,ku-kmr,Ziman,"Di kurmancî de, ji bo pirjimara nêr û mê, kîjan izafe tê bikaranîn?",-a,-ê,-ên,-î,C,"Ji bo pirjimara hemû navdêran, izafe '-ên' e. Mînak: 'zarokên min' (zarok -ên min).",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0004,ku-kmr,Ziman,"Di kurmancî de, navdêrên mê yên ku bi dengdarekê diqedin, izafe çawa digirin?",-a,-ê,-yê,-ya,D,"Navdêrên mê yên ku bi dengdarekê (a, e, i, o, u) diqedin, izafeya wan '-ya' ye. Mînak: 'bavê min' ne, lê 'dêya min' rast e.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0005,ku-kmr,Ziman,"Di kurmancî de, navdêrên nêr ên ku bi dengdarekê diqedin, izafe çawa digirin?",-yê,-ê,-a,-ya,A,"Navdêrên nêr ên ku bi dengdarekê diqedin, izafeya wan '-yê' ye. Mînak: 'bavê min' ne, lê 'bavê min' rast e. (Bav bi konsonantê diqede, lê mînakên bi dengdar: 'şehrê'?)",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0006,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'kitêb' (mê) rast e?",kitêbê min,kitêba min,kitêbên min,kitêbî min,B,"'Kitêb' navdêreke mê ye, ji ber vê yekê izafeya wê '-a' ye. 'Kitêba min' tê wateya 'my book'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0007,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'mêr' (nêr) rast e?",mêra min,mêrên min,mêrê min,mêri min,C,"'Mêr' navdêreke nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Mêrê min' tê wateya 'my husband'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0008,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'zarok' (nêr/mê) rast e?",zaroka min,zarokê min,zarokî min,zarokên min,D,"'Zarok' dikare nêr an mê be, lê di pirjimarê de izafe '-ên' e. 'Zarokên min' tê wateya 'my children'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0009,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'dê' (mê) rast e?",dêya min,dêa min,dêê min,dêyê min,A,"'Dê' bi dengdarekê diqede, ji ber vê yekê izafeya wê '-ya' ye. 'Dêya min' tê wateya 'my mother'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0010,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'bav' (nêr) rast e?",bava min,bavê min,bavên min,bavî min,B,"'Bav' bi konsonantekê diqede û nêr e, ji ber vê yekê izafeya wê '-ê' ye. 'Bavê min' tê wateya 'my father'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0011,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'xwişk' (mê) rast e?",xwişkê min,xwişkên min,xwişka min,xwişkî min,C,"'Xwişk' navdêreke mê ye, ji ber vê yekê izafeya wê '-a' ye. 'Xwişka min' tê wateya 'my sister'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0012,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'bira' (nêr) rast e?",biraa min,biraê min,biraî min,birayê min,D,"'Bira' bi dengdarekê diqede û nêr e, ji ber vê yekê izafeya wê '-yê' ye. 'Birayê min' tê wateya 'my brother'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0025,ku-kmr,Ziman,"Di kurmancî de, kîjan rêzika izafeyê ji bo 'kitêb' (mê) ya pirjimar rast e?",kitêbên min,kitêba min,kitêbê min,kitêbî min,A,"'Kitêb' navdêreke mê ye, lê di pirjimarê de izafe '-ên' e. 'Kitêbên min' tê wateya 'my books'.",1,verified,https://en.wikipedia.org/wiki/Kurmanji,approved,0.95,
ds_ziman_0028,ku-kmr,Ziman,"Ji bo kiryarekê ku dê di pêşerojê de biqewime, em kîjan demê bi kar tînin?",Dema borî,Dema niha,Dema raborî,Dema bê,D,"Dema bê ji bo kiryarên ku dê di pêşerojê de biqewimin tê bikaranîn. Di kurmancî de ev dem bi alîkariya 'ê' an 'dê' û raderê tê avakirin, wek 'ez ê biçim' an 'ew dê bê'.",1,verified,https://en.wikipedia.org/wiki/Future_tense,approved,0.95,
ds_ziman_0029,ku-kmr,Ziman,"Di kurmancî de, kîjan forma lêkerê ji bo dema niha ya berdewam e?",Ez diçim,Ez çûm,Ezê biçim,Ez çûbûm,A,"Forma 'ez diçim' dema niha ya berdewam e, ku kiryara niha nîşan dide. 'Ez çûm' dema borî ye, 'ezê biçim' dema bê ye, û 'ez çûbûm' jî dema dûdar a borî ye.",1,verified,https://en.wikipedia.org/wiki/Present_continuous,approved,0.95,
ds_ziman_0031,ku-kmr,Ziman,"Di kurmancî de, dema bê bi kîjan alîkariyê tê avakirin?",Bi lêkera 'bûn',Bi lêkera 'kirin',Bi lêkera 'dê' an 'ê',Bi lêkera 'hatin',C,"Dema bê di kurmancî de bi alîkariya lêkera 'dê' an 'ê' û radera lêkerê tê avakirin, wek 'ez ê bixwim' an 'ew dê bêje'. Lêkerên 'bûn', 'kirin' û 'hatin' ji bo avakirinên din tên bikaranîn.",2,verified,https://en.wikipedia.org/wiki/Future_tense,approved,0.95,
ds_ziman_0034,ku-kmr,Ziman,"Ji bo kiryarekê ku dê biqewime, kîjan hevok rast e?",Ez hatim,Ez ê werim,Ez tême,Ez hatibûm,B,"Hevoka 'ez ê werim' dema bê ye, ji ber ku bi alîkariya 'ê' û radera lêkerê hatiye avakirin. 'Ez hatim' dema borî ye, 'ez tême' dema niha ye, û 'ez hatibûm' jî dema dûdar a borî ye.",1,verified,https://en.wikipedia.org/wiki/Future_tense,approved,0.95,
ds_ziman_0036,ku-kmr,Ziman,Kîjan hevok di dema bê de ye?,Me xwar,Em dixwin,Me xwariye,Em ê bixwin,D,"Hevoka 'em ê bixwin' dema bê ye, ji ber ku bi alîkariya 'ê' û radera lêkerê hatiye avakirin. 'Me xwar' dema borî ye, 'em dixwin' dema niha ye, û 'me xwariye' jî dema borî ya temam e.",1,verified,https://en.wikipedia.org/wiki/Future_tense,approved,0.95,
ds_ziman_0038,ku-kmr,Ziman,"Ji bo kiryarekê ku berê qediyaye û hê jî bandora wê heye, em kîjan demê bi kar tînin?",Dema borî ya sade,Dema borî ya temam,Dema niha ya berdewam,Dema bê ya berdewam,B,"Dema borî ya temam (an jî dema dûdar) ji bo kiryarên ku berê qediyane lê bandora wan hê jî heye tê bikaranîn. Di kurmancî de, ev bi paşgira '-îye' an '-iye' tê avakirin, wek 'ez hatime' an 'ew çûye'.",2,verified,https://en.wikipedia.org/wiki/Present_perfect,approved,0.95,
ds_ziman_0044,ku-kmr,Ziman,"Di kurmancî de, dema bê ya lêkera 'kirin' çawa ye?",Ez dikim,Ez kirim,Ez kiribûm,Ez ê bikim,D,"Dema bê ya lêkera 'kirin' bi forma 'ez ê bikim' tê nîşankirin. 'Ez dikim' dema niha ye, 'ez kirim' dema borî ye, û 'ez kiribûm' jî dema dûdar a borî ye.",1,verified,https://en.wikipedia.org/wiki/Future_tense,approved,0.95,
ds_ziman_0045,ku-kmr,Ziman,Kîjan hevok di dema borî ya temam de ye?,Me xwariye,Me dixwar,Me xwar,Em ê bixwin,A,"Hevoka 'me xwariye' dema borî ya temam e, ku kiryara qediyayî û bandora wê nîşan dide. 'Me dixwar' dema borî ya berdewam e, 'me xwar' dema borî ya sade ye, û 'em ê bixwin' dema bê ye.",2,verified,https://en.wikipedia.org/wiki/Present_perfect,approved,0.95,
ds_ziman_0047,ku-kmr,Ziman,"Ji bo kiryarekê ku dê di pêşerojê de berdewam be, kîjan hevok rast e?",Ez ê diçim,Ez diçim,Ez ê biçim,Ez çûm,C,"Hevoka 'ez ê biçim' dema bê ye, ku kiryara pêşerojê nîşan dide. 'Ez ê diçim' ne rast e, 'ez diçim' dema niha ye, û 'ez çûm' dema borî ye.",2,verified,https://en.wikipedia.org/wiki/Future_tense,approved,0.95,
ds_ziman_0051,ku-kmr,Ziman,"Di kurmancî de, ji bo ku em bibêjin ""min kitêb xwend"", kîjan awayê rast e?",Min kitêb xwend.,Ez kitêbê dixwînim.,Min kitêbê xwend.,Ez kitêbê xwendim.,C,"Di kurmancî de, dema borî ya ergatîf bi kirdeya oblik (min) û lêkera gerguhêz re tê bikaranîn. Lêker bi kirdeyê re nahevdeng e; ew bi bireserê re hevdeng e. Ji ber vê yekê ""min kitêb xwend"" rast e, ne ""min kitêbê xwend"".",1,verified,https://en.wikipedia.org/wiki/Ergative_case,approved,0.95,
