severity,check_id,confidence,source_id,source_path,source_row,record_id,prompt,message,issue_fingerprint
critical,answer_leak,high,active_import_ready,supabase/questions_import_ready.csv,2633,offline_2611,Mahabad Cumhuriyeti hangi şehir merkezliydi?,Prompt contains the correct answer.,6c8c715c40d1cfcbe1c7d3cd61f47db5
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,555,opentdb_remaining_0254,"Who is the main character in ""The Stanley Parable""?",Prompt contains the correct answer.,67ab27d48b48e5324072f1ddc7344f1a
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,579,opentdb_remaining_0278,Carcassonne is based on which French town?,Prompt contains the correct answer.,5d9c7b1e28af059d8db837150fdd8d84
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,586,opentdb_remaining_0285,Europa Universalis is a strategy video game based on which French board game?,Prompt contains the correct answer.,b8b297bc612ee487e4b037a1790273e1
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1138,wikidata_0012,What is the capital city of Monaco?,Prompt contains the correct answer.,e7caa653dca580bf3d529e3227e9ea9a
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1153,wikidata_0027,What is the capital city of Singapore?,Prompt contains the correct answer.,9d71a936f7e0b2d646628ebc7e7d26c0
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1207,wikidata_0081,What is the capital city of Luxembourg?,Prompt contains the correct answer.,fcefc959a8219d600217edbfa438ac75
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1219,wikidata_0093,What is the capital city of San Marino?,Prompt contains the correct answer.,1405869c2dafc4a9b81bd3def6176d84
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1220,wikidata_0094,What is the capital city of Vatican City?,Prompt contains the correct answer.,35cc39260f2ba7bd791e6d66bae13f22
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1230,wikidata_0104,What is the capital city of Muscat and Oman?,Prompt contains the correct answer.,f1127de56dd25fd31ef246224932d71b
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1232,wikidata_0106,What is the capital city of Sultanate of Muscat?,Prompt contains the correct answer.,6952eba9b27b7b9dcd46400fa144dc29
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1240,wikidata_0114,What is the capital city of Maragheh Khanate?,Prompt contains the correct answer.,e708bb5f7eefdc581915e287931b539f
critical,answer_leak,high,open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,1248,wikidata_0122,What is the capital city of Principality of Waldeck?,Prompt contains the correct answer.,1c55998bf945da2e9e3abc0aab5c940e
