severity,check_id,confidence,source_id,source_path,source_row,record_id,prompt,message,issue_fingerprint
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,308,offline_5001,"Peyva ""kevin"" ""eski"" anlamına gelir.",Exact normalized duplicate.,f6ba1aa05564de74656e9357731d5ce5
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,314,offline_5007,"Peyva ""xwendekar"" ""öğrenci"" anlamına gelir.",Exact normalized duplicate.,8ad889bf8450bb0b3862cc8b9967f6af
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,322,offline_5015,"Di Kurmancî de peyva ""dil"" bi Tirkî çi ye?",Exact normalized duplicate.,91d81922424e73e1a5df935a3d4dbfae
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,324,offline_5017,"Di Kurmancî de peyva ""xwendekar"" bi Tirkî çi ye?",Exact normalized duplicate.,037094c31e42a20125a5ee76ba92c834
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,325,offline_5018,"Di Kurmancî de peyva ""pir"" bi Tirkî çi ye?",Exact normalized duplicate.,15e35702b4bda737fe3aa5b377dc172c
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,327,offline_5020,"Di Kurmancî de peyva ""zarok"" bi Tirkî çi ye?",Exact normalized duplicate.,4c936df0c5cd23bf88eea94f7e59c406
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,338,offline_5031,"Di Kurmancî de peyva ""av"" bi Tirkî çi ye?",Exact normalized duplicate.,79b96c81529b2329000b1fbb5bc05683
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,340,offline_5033,"Di Kurmancî de peyva ""pir"" bi Tirkî çi ye?",Exact normalized duplicate.,15e35702b4bda737fe3aa5b377dc172c
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,343,offline_5036,"""çocuk"" anlamına gelen Kurmancî kelime hangisidir?",Exact normalized duplicate.,6846dc3612c4f4fb9ddeb7847316ecc8
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,347,offline_5040,"Peyva ""nanxane"" ""okul/akademi"" anlamına gelir.",Exact normalized duplicate.,580dfdb4515d2b8456f5abfc6e54eb2b
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,351,offline_5044,"Di Kurmancî de peyva ""mal"" bi Tirkî çi ye?",Exact normalized duplicate.,bdfb2f7f47bb55020e87beaf21f7da1d
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,353,offline_5046,"Di Kurmancî de peyva ""îro"" bi Tirkî çi ye?",Exact normalized duplicate.,ea9825d0f06acee8d0f54f678e86b03d
critical,exact_duplicate,high,active_import_ready,supabase/questions_import_ready.csv,354,offline_5047,"Di Kurmancî de peyva ""dê"" bi Tirkî çi ye?",Exact normalized duplicate.,82cc44049a0a3a81187061286d6cf45b
