id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
wikidata_translated_1_0001,Cografya,ku-kmr,Paytexta Awustralya kîjan bajar e?,Canberra,Cairo,Budapest,Asunción,A,"Li gorî daneyên strukturî yên Wikidata, paytexta Awustralya Canberra e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0001
wikidata_translated_1_0002,Cografya,ku-kmr,Paytexta Misir kîjan bajar e?,Canberra,Budapest,Asunción,Cairo,D,"Li gorî daneyên strukturî yên Wikidata, paytexta Misir Cairo e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0002
wikidata_translated_1_0003,Cografya,ku-kmr,Paytexta Macaristan kîjan bajar e?,Cairo,Asunción,Budapest,Canberra,C,"Li gorî daneyên strukturî yên Wikidata, paytexta Macaristan Budapest e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0003
wikidata_translated_1_0004,Cografya,ku-kmr,Paytexta Paraguay kîjan bajar e?,Budapest,Asunción,Canberra,Cairo,B,"Li gorî daneyên strukturî yên Wikidata, paytexta Paraguay Asunción e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0004
wikidata_translated_1_0005,Cografya,ku-kmr,Paytexta Belarûs kîjan bajar e?,Minsk,Canberra,Cairo,Budapest,A,"Li gorî daneyên strukturî yên Wikidata, paytexta Belarûs Minsk e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0005
wikidata_translated_1_0006,Cografya,ku-kmr,Paytexta Qazaxistan kîjan bajar e?,Canberra,Cairo,Budapest,Astana,D,"Li gorî daneyên strukturî yên Wikidata, paytexta Qazaxistan Astana e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0006
wikidata_translated_1_0007,Cografya,ku-kmr,Paytexta Kanada kîjan bajar e?,Cairo,Budapest,Ottawa,Canberra,C,"Li gorî daneyên strukturî yên Wikidata, paytexta Kanada Ottawa e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0007
wikidata_translated_1_0008,Cografya,ku-kmr,Paytexta Bosna û Herzegovina kîjan bajar e?,Budapest,Sarajevo,Canberra,Cairo,B,"Li gorî daneyên strukturî yên Wikidata, paytexta Bosna û Herzegovina Sarajevo e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0008
wikidata_translated_1_0009,Cografya,ku-kmr,Paytexta Ukrayna kîjan bajar e?,Kyiv,Canberra,Cairo,Budapest,A,"Li gorî daneyên strukturî yên Wikidata, paytexta Ukrayna Kyiv e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0009
wikidata_translated_1_0010,Cografya,ku-kmr,Paytexta Spanya kîjan bajar e?,Canberra,Cairo,Budapest,Madrid,D,"Li gorî daneyên strukturî yên Wikidata, paytexta Spanya Madrid e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên cografî divê di kontrola dawî de bêne rastkirin.,wikidata_0010
