id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_cand_0009,ku-kmr,Çand,Kîjan dîrokî bi Newrozê ve girêdayî ye?,Serhildana Kawayê Hesinkar,Şoreşa Fransî,Şerê Cîhanê yê Yekem,Ronesansa Ewropayê,A,"Serhildana Kawayê Hesinkar bi Newrozê ve girêdayî ye. Li gor efsaneyan, Kawa li dijî zalim Dehaq serî hilda û Newroz ji wê serhildanê pêk hat.",3,verified,https://en.wikipedia.org/wiki/Kaveh_the_Blacksmith,approved,0.95,
ds_cand_0015,ku-kmr,Çand,Kîjan efsane bi Newrozê ve girêdayî ye?,Efsaneya Gilgameş,Efsaneya Romulus,Efsaneya Kawayê Hesinkar,Efsaneya Osiris,C,"Efsaneya Kawayê Hesinkar bi Newrozê ve girêdayî ye. Li gor vê efsaneyê, Kawa li dijî zalim Dehaq serî hilda û Newroz ji wê serhildanê pêk hat.",3,verified,https://en.wikipedia.org/wiki/Kaveh_the_Blacksmith,approved,0.95,
ds_cand_0028,ku-kmr,Çand,"Di dawetên kurdan de, kîjan amûra muzîkê ya kevneşopî tê bikaranîn?",Piyano,Keman,Gîtar,Tembûr,D,"Tembûr (an jî tembûr) amûreke muzîkê ya kevneşopî ya kurdan e ku di dawet û govendan de tê lêxistin. Piyano, keman û gîtar ne kevneşopî ne.",1,verified,https://en.wikipedia.org/wiki/Temb%C3%BBr,approved,0.95,
ds_cand_0036,ku-kmr,Çand,"Di dawetên kurdan de, kîjan amûra muzîkê bi gelemperî tê lêxistin?",Piyano,Keman,Gîtar,Def,D,Def (dahol) amûreke muzîkê ya kevneşopî ye ku di dawetên kurdan de tê lêxistin. Ew bi gelemperî bi tembûrê re tê bikaranîn.,1,verified,https://en.wikipedia.org/wiki/Kurdish_music,approved,0.95,
ds_cand_0041,ku-kmr,Çand,"Di dawetên kurdan de, kîjan amûra muzîkê bi gelemperî bi tembûrê re tê lêxistin?",Def,Piyano,Keman,Gîtar,A,Def (dahol) bi gelemperî bi tembûrê re tê lêxistin ji ber ku ew rîtma govendê zêde dike. Amûrên din ne kevneşopî ne.,2,verified,https://en.wikipedia.org/wiki/Kurdish_music,approved,0.95,
ds_cand_0077,ku-kmr,Çand,Kîjan amûra muzîkê bi gelemperî di govendê de tê bikaranîn?,Tembûr,Piyano,Gîtar,Keman,A,Tembûr amûreke muzîkê ya kevneşopî ye ku di govendê de pir tê bikaranîn. Ew bi taybetî di muzîka kurdî de cihekî giring digire.,1,verified,https://en.wikipedia.org/wiki/Tembur,approved,0.95,
ds_cand_0086,ku-kmr,Çand,"Di govendê de, kîjan amûra muzîkê ya biçûk bi gelemperî tê lêxistin?",Def,Erbane,Tembûr,Bilûr,B,Erbane amûreke muzîkê ya biçûk e ku di govendê de tê lêxistin. Ew bi gelemperî ji bo rîtmê tê bikaranîn û bi destan tê lêxistin.,2,verified,https://en.wikipedia.org/wiki/Daf,approved,0.95,
ds_cand_0090,ku-kmr,Çand,Kîjan amûra muzîkê ya ku ji qamîşan tê çêkirin di govendê de tê bikaranîn?,Tembûr,Bilûr,Def,Erbane,B,Bilûr amûreke muzîkê ye ku ji qamîşan tê çêkirin û di govendê de tê bikaranîn. Ew bi dengê xwe yê xweş û xemilandî tê nasîn.,2,verified,https://en.wikipedia.org/wiki/Kaval,approved,0.95,
ds_cand_0096,ku-kmr,Çand,Kîjan amûra muzîkê ya ku bi têlan tê lêxistin di govendê de tê bikaranîn?,Bilûr,Def,Erbane,Tembûr,D,Tembûr amûreke muzîkê ye ku bi têlan tê lêxistin û di govendê de tê bikaranîn. Ew bi dengê xwe yê kûr û xemilandî tê nasîn.,1,verified,https://en.wikipedia.org/wiki/Tembur,approved,0.95,
ds_cand_0157,ku-kmr,Çand,Kîjan amûra muzîkê di govenda kurdî de zêdetir tê bikaranîn?,Tembûr,Keman,Pîyano,Gîtar,A,Tembûr di govenda kurdî de amûra muzîkê ya sereke ye. Ew bi têlan tê lêxistin û dengê wê bi tevgerên govendê re li hev dike.,1,verified,https://en.wikipedia.org/wiki/Tembur,approved,0.95,
