id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
movement3_0001,Ziman,ku-kmr,Ronahî di têkiliya xwe ya bi Hawarê re çawa tê pênasekirin?,Wekî pêvekeke wêneyî ya kovara Hawarê.,Wekî rojnameyekê ku li Qahîreyê di sala 1898an de dest pê kir.,Wekî kovareke ku tenê li ser muzîka klasîk a Kurdî nivîsî.,Wekî pirtûkxaneya fermî ya Kongra Star.,A,Katalogên pirtûkxaneyê Ronahî wekî pêveka wêneyî ya kovara Kurdî Hawarê nîşan didin; weşandina wê li Şamê di 1942–1945an de hatiye tomar kirin.,2,Ronahî – CiNii Journals,https://ci.nii.ac.jp/ncid/AB00048098,PENDING_EDITORIAL_APPROVAL,Kısa bir yayın ilişkisini tarih ve tür bilgisiyle birlikte ölçüyor.
movement3_0002,Ziman,ku-kmr,"Di pênaseya Pirtûkxaneya Jinên Kurdistanê de, pirtûka destpêkê ya Jineolojî bi çi awayî tê naskirin?","Wekî danasîna kurt a Jineolojî, zanista jinê û jiyanê.",Wekî ferhengoka erebî-Kurmancî ya Ehmedê Xanî.,Wekî arşîva kovara Hawarê ya di Şamê de.,Wekî pirtûka rêzimanê ji bo xwendekarên zaravayê Soranî.,A,"Pirtûkxane û navenda arşîvê pirtûkê wekî danasîna kurt a Jineolojî, ku bi zanista jinê û jiyanê tê naskirin, pêşkêş dike.",3,Kurdish Women’s Library – What is Jineolojî,https://pirtukxaneyajinenkurdistan.com/en/post/what-is-jineoloji/,PENDING_EDITORIAL_APPROVAL,"Hareketin kendi eğitim materyalini, başka bir klasik eserle karıştırmadan ölçüyor."
movement3_0003,Edebiyat,ku-kmr,Pirtûka Revolution in Rojava: Democratic Autonomy and Women’s Liberation li ser kîjan du mijarên sereke raweste?,Xweseriya demokratîk û azadiya jinan li Kurdistana Sûriyê.,Rêzimanê Hawarê û dîroka Mem û Zînê.,Tenê muzîka dengbêjan û stranên Newrozê.,Tenê dîroka aborî ya Zagrosê û çiyayên Bahtiyarî.,A,Nav û danasîna pirtûkê dîroka ceribandina Rojava bi xweseriya demokratîk û azadiya jinan ve girê dide.,3,Revolution in Rojava – Pluto Press / David Graeber,https://davidgraeber.org/books/revolution-in-rojava/,PENDING_EDITORIAL_APPROVAL,Kitap başlığını iki kavramın ilişkisi üzerinden ölçüyor; hareket propagandası gibi yazılmadı.
movement3_0004,Edebiyat,ku-kmr,"Pirtûka Women in the Kurdish Movement: Mothers, Comrades, Goddesses kîjan perspektîfê dide pêş?",Lêkolînek femînîst li ser jinên ku rolên li ser wan hatine ferz kirin diguherînin û dikevin pêşiya tevgera siyasî.,Lêkolînek tenê li ser avakirina çiyayên Zagrosê.,Ferhengokeke ku peyvên Hawarê bi erebî rave dike.,Pirtûka stranên olî ya ku bi dengbêjî ve têkildar nîne.,A,Danasîna Springer pirtûkê wekî lêkolînek rexneyî-femînîst dide naskirin ku li ser jinên di tevgera Kurdî de û guherîna nasnameyên wan raweste.,3,Women in the Kurdish Movement – Springer,https://link.springer.com/book/10.1007/978-3-030-24744-7,PENDING_EDITORIAL_APPROVAL,"Kitabın konu alanını, başlıktaki üç metafora indirgemeden açıklıyor."
movement3_0005,Dîrok,ku-kmr,Ronahî li gorî katalogê di kîjan demê de li Şamê hatiye çapkirin?,1942–1945,1932–1935,1898–1902,1960–1963,A,Katalogê CiNii Ronahî wekî weşanek li Şamê di navbera 1942 û 1945an de dide tomar kirin.,2,Ronahî – CiNii Journals,https://ci.nii.ac.jp/ncid/AB00048098,PENDING_EDITORIAL_APPROVAL,Hawar dönemiyle karıştırılabilecek yakın tarihler çeldirici olarak kullanıldı.
movement3_0006,Dîrok,ku-kmr,"Li gorî lêkolîna Cambridge, kovara Jineolojî ji kîjan salê ve hatiye weşandin?",Ji sala 2016an ve.,Ji sala 1932an ve.,Ji sala 1898an ve.,Ji sala 2022an ve.,A,Chaptersa Cambridge dibêje ku kovara Jineolojî ji sala 2016an ve tê weşandin û di nav çalakiyên hilberîna zanîna tevgera jinan de cih digire.,3,The Kurdish Women’s Freedom Movement – Cambridge,https://www.cambridge.org/core/books/kurdish-womens-freedom-movement/pkk-a-womans-party/A154F270788B30BB87C8705A5C3E794C,PENDING_EDITORIAL_APPROVAL,Yayın başlangıcını Hawar ve Kurdistan gazetesiyle karıştırmayan bir tarih sorusu.
movement3_0007,Cografya,ku-kmr,Pirtûka Revolution in Rojava li ser kîjan herêmê di nav sernavê xwe de raweste?,Li Kurdistana Sûriyê.,Li ser giravên Egeyê.,Li bakurê Afrîkayê.,Li navenda deşta Hindistanê.,A,Sernavê pirtûkê bi awayekî eşkere xweseriya demokratîk û azadiya jinan li Kurdistana Sûriyê dide nîşandan.,2,Revolution in Rojava – David Graeber,https://davidgraeber.org/books/revolution-in-rojava/,PENDING_EDITORIAL_APPROVAL,"Coğrafya sorusu, kitabın başlığındaki bölgesel bağlamı ölçüyor."
movement3_0008,Cografya,ku-kmr,"Li gorî lêkolîna Cambridge, komîteyên Jineolojî ji qadeke herêmî wêdetir li ku deran hatine avakirin?","Li çar parçeyên Kurdistanê, Ewropayê û paşê li Amerîkaya Latîn.",Tenê li Şamê û Qahîreyê.,Tenê li navendên akademîk ên Ewropayê.,Tenê li bajarên ku Hawar lê abonî bû.,A,Lêkolînê dibêje ku komîteyên Jineolojî li çar parçeyên Kurdistanê û Ewropayê hatine avakirin û paşê li Amerîkaya Latîn jî belav bûne.,3,The Kurdish Women’s Freedom Movement – Cambridge,https://www.cambridge.org/core/books/kurdish-womens-freedom-movement/pkk-a-womans-party/A154F270788B30BB87C8705A5C3E794C,PENDING_EDITORIAL_APPROVAL,Hareketin ulus-aşırı ağını tek bir merkezle sınırlandırmıyor.
movement3_0009,Çand,ku-kmr,"Di 10 salên yekem ên Jineolojî Dergisî de, li gorî dîroka kovarê, çend dosyayên tematik hatine amadekirin?",33 dosya.,10 dosya.,57 dosya.,100 dosya.,A,"Dîroka kovarê dibêje ku di 10 salên yekem de 33 dosyayên tematik hatine amadekirin, ji krîza zanistên civakî heta konfederalîzma jinan.",2,Jineolojî Magazine at 10 Years Old,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Sayıyı ezberletmek yerine dergi dosyalarının kapsamını da açıklamada veriyor.
movement3_0010,Çand,ku-kmr,"Di dîroka Jineolojî Dergisî de, kîjan mijar wekî dosyaya tematik hatiye lîstekirin?","Ziman, kirin û teorîya baş û xweş di çarçoveya etîk û estetîkê de.",Tenê hesabkirina bacên bazirganiyê.,Tenê nexşeya rêyên hesinî yên Ewropayê.,Tenê teknîka çêkirina amûrên avjeniyê.,A,"Di lîsteya dosyayan de dosyaya etîk-estetîk mijarên ziman, kirin û teorîya baş û xweş bi hev re dide naskirin.",3,Jineolojî Magazine at 10 Years Old,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Kültür/estetik başlığını hareket dergisinin gerçek dosya listesine bağladı.
