candidate_id,source,license,source_category,question_en,answer_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,source_entity,translation_status,editorial_status
wikidata_0001,Wikidata SPARQL,CC0,Geography,What is the capital city of Australia?,Canberra,Canberra,Cairo,Budapest,Asunción,A,http://www.wikidata.org/entity/Q408,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0002,Wikidata SPARQL,CC0,Geography,What is the capital city of Egypt?,Cairo,Cairo,Canberra,Budapest,Asunción,A,http://www.wikidata.org/entity/Q79,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0003,Wikidata SPARQL,CC0,Geography,What is the capital city of Hungary?,Budapest,Budapest,Canberra,Cairo,Asunción,A,http://www.wikidata.org/entity/Q28,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0004,Wikidata SPARQL,CC0,Geography,What is the capital city of Paraguay?,Asunción,Asunción,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q733,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0005,Wikidata SPARQL,CC0,Geography,What is the capital city of Belarus?,Minsk,Minsk,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q184,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0006,Wikidata SPARQL,CC0,Geography,What is the capital city of Kazakhstan?,Astana,Astana,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q232,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0007,Wikidata SPARQL,CC0,Geography,What is the capital city of Canada?,Ottawa,Ottawa,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q16,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0008,Wikidata SPARQL,CC0,Geography,What is the capital city of Bosnia and Herzegovina?,Sarajevo,Sarajevo,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q225,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0009,Wikidata SPARQL,CC0,Geography,What is the capital city of Ukraine?,Kyiv,Kyiv,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q212,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
wikidata_0010,Wikidata SPARQL,CC0,Geography,What is the capital city of Spain?,Madrid,Madrid,Canberra,Cairo,Budapest,A,http://www.wikidata.org/entity/Q29,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
