id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
handcrafted_0001,Ziman,ku-kmr,"Di kovara Hawarê de, piştî jimareya 23an çi guherî?",Kovara Hawarê bi tevahî rawestiya.,Hemû nivîs tenê bi alfabeya erebî hatin çapkirin.,Kovara Hawarê ji Şamê birêve çû Stenbolê.,Nivîsa Kurmancî tenê bi alfabeya latînî hate çapkirin.,D,"Li gorî arşîva Hawarê, 23 jimareyên ewil bi her du alfabeyan hatin çapkirin; ji jimareya 24an ve kovar tenê alfabeya latînî bi kar anî.",2,Hawar Archive – NYKCC,https://nykcc.org/langauge/hawar-archive/,PENDING_EDITORIAL_APPROVAL,"Soru, tek bir tarih yerine yayının alfabe geçişini sorgular; şıklar aynı olayın olası ama yanlış yorumlarıdır."
handcrafted_0002,Ziman,ku-kmr,"Li gorî lêkolîna li ser wêjeya nivîskî ya Kurdî, dibistana Kurmancî ya klasîk bi taybetî bi kîjan herêmê ve tê girêdan?",Herêma Jazira û Botan,Herêma Farsê ya navîn,Geliyê Nilê ya li Misrê,Giravên Egeyê,A,"Lêkolîn dibêje ku dibistana Kurmancî ya klasîk zimanê edebî yê Jazira û Botan bikar aniye û navên wekî Melayê Cizîrî, Feqiyê Teyran û Ehmedê Xanî di nav pêşengên wê de ne.",3,Kurdish Written Literature – Encyclopaedia Iranica,https://www.iranicaonline.org/articles/kurdish-written-literature/,PENDING_EDITORIAL_APPROVAL,Şıklar coğrafi olarak aynı türden tutuldu; doğru cevap yalnızca isim eşleştirmesiyle bulunmuyor.
handcrafted_0003,Edebiyat,ku-kmr,Kîjan taybetmendî forma helbestê ya Feqiyê Teyran girîng dike?,Ew yekem helbestvanê naskirî yê Kurdî ye ku ji bo helbestên vegotinê forma mesnewî bikar aniye.,Ew tenê nivîsarên rêzimanî di kovara Hawarê de diweşand.,Ew romana Mem û Zîn nivîsî.,Ew yekem nivîskarê Kurdî ye ku hemû berhemên xwe bi latînî nivîsî.,A,Encyclopaedia Iranica Feqiyê Teyran wekî yekem helbestvanê naskirî yê Kurdî dide nasîn ku forma mesnewî ji bo helbestên vegotinê bikar aniye.,3,Kurdish Written Literature – Encyclopaedia Iranica,https://www.iranicaonline.org/articles/kurdish-written-literature/,PENDING_EDITORIAL_APPROVAL,Çeldiriciler aynı edebiyat alanından seçildi; yanlışlar başka isim ve dönemleri karıştırıyor.
handcrafted_0004,Edebiyat,ku-kmr,Berhema Nûbihara Biçûkan a Ehmedê Xanî bi çi awayî tê pênasekirin?,Destanek dirêj a li ser evîna Mem û Zînê,Ferhengokek bi helbestê ku peyvên erebî bi wateyên Kurmancî re dide hev.,Kovarek siyasî ya ku li Şamê dihat weşandin.,Dîwanek tenê ji gazelên Melayê Cizîrî pêkhatî.,B,Nûbihara Biçûkan ferhengokeke erebî-Kurmancî ye ku bi helbestê hatiye nivîsandin û ji bo xwendekarên dibistanê hatiye armanc kirin.,2,Ahmad-e Khani – Encyclopaedia Iranica,https://www.iranicaonline.org/articles/ahmad-e-kani/,PENDING_EDITORIAL_APPROVAL,"Soru, Xanî'yi yalnızca Mem û Zîn ile sınırlamayan tamamlayıcı bir bilgi ölçüyor."
handcrafted_0005,Dîrok,ku-kmr,Dîroka weşandina Hawarê kîjan rêzê rast nîşan dide?,"1932–1935, paşê 1941–1943","1898–1902, paşê 1910–1912","1946–1950, paşê 1960–1963",1919–1923 bê rawestan,A,"Hawar li Şamê di navbera 1932 û 1935an de, û piştî navberekê dîsa di navbera 1941 û 1943an de hate weşandin.",2,Hawar Archive – NYKCC,https://nykcc.org/langauge/hawar-archive/,PENDING_EDITORIAL_APPROVAL,Tarih seçenekleri yakın tutuldu; tek bir yıl ezberinden çok yayın dönemini ölçüyor.
handcrafted_0006,Dîrok,ku-kmr,"Rojnameya Kurdistanê ya ku di sala 1898an de dest pê kir, li ku derê hat weşandin û kî wê damezrand?","Li Qahîreyê, ji aliyê Mîqdat Midhat Bedirxan ve","Li Şamê, ji aliyê Celadet Bedirxan ve","Li Silêmaniyê, ji aliyê Pîremêrd ve","Li Stenbolê, ji aliyê Melayê Cizîrî ve",A,Rojnameya Kurdistanê di sala 1898an de li Qahîreyê ji aliyê Mîqdat Midhat Bedirxan ve hate destpêkirin.,3,The First Kurdish Newspaper – Kurdshop,https://kurdshop.net/en/history/3014,PENDING_EDITORIAL_APPROVAL,Benzer Bedirxan isimleri ve farklı şehirler bilinçli çeldirici olarak kullanıldı.
handcrafted_0007,Cografya,ku-kmr,"Di dîroka erdnîgariya îslamî de, navê Jibal bi kîjan herêmê re zêdetir tê girêdan?","Bi beşa navîn a zincîra Zagrosê, ku Kurdistan û Luristan dihewîne",Bi deşta Nilê ya li bakurê Afrîkayê,Bi herêma peravê ya li rojhilatê Deryaya Reş,Bi giravên ku li navbera Hindistan û Sri Lanka ne,A,"Di bikaranîna dîrokî de Jibal navê herêmeke çiyayî û newalî bû ku beşa navîn a Zagrosê, di nav de Kurdistan û Luristan, dihewand.",3,Jebal – Encyclopaedia Iranica,https://www.iranicaonline.org/articles/jebal/,PENDING_EDITORIAL_APPROVAL,"Soru, eski coğrafi adlandırmayı günümüz sınırlarıyla eşitleme hatasını azaltacak biçimde yazıldı."
handcrafted_0008,Cografya,ku-kmr,Kîjan agahî li ser Çiyayên Bahtiyarî rast e?,Ew beşek navîn a zincîra Zagrosê ne û Zardkûh li wan e.,Ew li navenda deşta Mezopotamyayê ne û çiyayên Zagrosê ji wan dûr in.,Ew navê çemekî ye ku ji Deryaya Reş derdikeve.,Ew zincîra çiyayên li bakurê Ewropayê ye.,A,Çiyayên Bahtiyarî beşa navîn û herî bilind a pergala Zagrosê pêk tînin; Zardkûh jî li vê pergala çiyayî ye.,3,Bakhtiyari Mountains – Encyclopaedia Iranica,https://www.iranicaonline.org/articles/baktiari-mountains-of-the-zagros-range/,PENDING_EDITORIAL_APPROVAL,"Doğru şık iki coğrafi ilişkiyi birlikte kuruyor; yanlışlar farklı coğrafi nesne türleriyle karıştırmıyor, fakat anlamlı alternatifler sunuyor."
handcrafted_0009,Çand,ku-kmr,"Di çîroka populer a Memê Alan de, çima tê gotin ku wê çîrokê bi taybetî li herêmên Kurmancîaxê re têkildar e?",Ji ber ku gelek guhertoyên devkî yên çîrokê li wan herêman hatine tomarkirin.,Ji ber ku çîrok tenê di kovara Hawarê de hatiye nivîsandin.,Ji ber ku Memê Alan navê yek ji çiyayên Zagrosê ye.,Ji ber ku çîrok bi eslê xwe ferhengokeke erebî ye.,A,Lêkolînên li ser Memê Alan dibêjin ku di forma populer de ev romans bi taybetî bi herêmên Kurmancîaxê re tê girêdan; ew tenê berhemeke nivîskî nîne.,3,Mem-e Alan – Encyclopaedia Iranica,https://www.iranicaonline.org/articles/meme-alan/,PENDING_EDITORIAL_APPROVAL,"Soru, sözlü ve yazılı aktarım ayrımını ölçüyor; 'tek bir metin' yanılgısını özellikle engelliyor."
handcrafted_0010,Çand,ku-kmr,Dengbêjî di çanda devkî de bi kîjan erkê herî baş tê şirovekirin?,"Bi veguhastina çîrok, destan, stran û bîranînan bi deng û gotinê",Bi nivîsandina hemû berhemên edebî bi yek alfabeyê,Bi amadekirina nexşeyên erdnîgarî ji bo rêwîtiyê,Bi komkirina tenê amûrên muzîkê yên kevn,A,"Dengbêjî kevneşopiyeke devkî ye ku çîrok, destan, stran û bîranîn bi deng, vegotin û tomarkirina hafîzeyê digihîne nifşên din.",2,Kurdish Art and Identity – Kurdipedia,https://www.kurdipedia.org/docviewer.aspx?book=20220816235906428748&lng=3,PENDING_EDITORIAL_APPROVAL,Şıklar aynı kültürel alan çevresinde tutuldu; doğru cevap geleneğin işlevini anlatıyor.
