id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_dirok_0001,ku-kmr,Dîrok,Şerefname ji aliyê kê ve hatiye nivîsandin?,Şerefxanê Bidlîsî,Ehmedê Xanî,Melayê Cizîrî,Feqiyê Teyran,A,"Şerefname, dîroknasê kurd Şerefxanê Bidlîsî (Şeref Xan) tarafından sala 1597an de hatiye nivîsandin. Ev pirtûk dîroka kurdan a berfireh vedibêje.",1,verified,https://en.wikipedia.org/wiki/Sharafkhan_Bidlisi,approved,0.95,
ds_dirok_0002,ku-kmr,Dîrok,Şerefname bi zimanê çi hatiye nivîsandin?,Kurmancî,Farisî,Soranî,Erebî,B,"Şerefname bi zimanê farisî hatiye nivîsandin, ji ber ku di wê serdemê de farisî zimanê dîrok û edebiyatê yê herêmê bû. Şerefxanê Bidlîsî ev pirtûk bi farisî nivîsiye.",1,verified,https://en.wikipedia.org/wiki/Sharafname,approved,0.95,
ds_dirok_0003,ku-kmr,Dîrok,Şerefxanê Bidlîsî di sala çendan de Şerefname nivîsiye?,1497,1697,1597,1797,C,Şerefxanê Bidlîsî Şerefname di navbera salên 1596 û 1597an de nivîsiye. Ev pirtûk wek yek ji çavkaniyên herî girîng ên dîroka kurdan tê zanîn.,1,verified,https://en.wikipedia.org/wiki/Sharafname,approved,0.95,
ds_dirok_0004,ku-kmr,Dîrok,Şerefname li ser çi ye?,Dîroka ereban,Dîroka farisan,Dîroka tirkan,Dîroka kurdan,D,"Şerefname pirtûkek dîrokî ye ku dîroka kurdan, eşîr û mîrekiyên kurdan vedibêje. Ew ji bo dîroka kurdan çavkaniyeke bingehîn e.",1,verified,https://en.wikipedia.org/wiki/Sharafname,approved,0.95,
ds_dirok_0005,ku-kmr,Dîrok,Şerefxanê Bidlîsî di kîjan mîrektiyê de hatiye dinyayê?,Mîrektiya Bidlîsê,Mîrektiya Cizîrê,Mîrektiya Hekarîyê,Mîrektiya Botanê,A,"Şerefxanê Bidlîsî di mîrektiya Bidlîsê de hatiye dinyayê. Navê wî jî ji vê mîrektiyê tê, û ew ji malbata mîrên Bidlîsê bû.",2,verified,https://en.wikipedia.org/wiki/Sharafkhan_Bidlisi,approved,0.95,
ds_dirok_0006,ku-kmr,Dîrok,Şerefname di kîjan sedsalê de hatiye nivîsandin?,Sedsala 15an,Sedsala 16an,Sedsala 17an,Sedsala 18an,B,"Şerefname di sedsala 16an de, bi taybetî di sala 1597an de hatiye nivîsandin. Ev serdem di dîroka kurdan de serdemeke girîng bû.",1,verified,https://en.wikipedia.org/wiki/Sharafname,approved,0.95,
ds_dirok_0007,ku-kmr,Dîrok,Şerefxanê Bidlîsî çi bû?,Helbestvan,Fîlozof,Dîroknas,Bijîşk,C,"Şerefxanê Bidlîsî dîroknas û mîrekî kurd bû. Ew bi pirtûka xwe ya Şerefnameyê tê nasîn, ku dîroka kurdan a berfireh vedibêje.",1,verified,https://en.wikipedia.org/wiki/Sharafkhan_Bidlisi,approved,0.95,
ds_dirok_0008,ku-kmr,Dîrok,Şerefname ji bo dîroka kurdan çi ye?,Çavkaniyeke hindik,Çavkaniyeke nû,Çavkaniyeke nezanîn,Çavkaniyeke sereke,D,Şerefname ji bo dîroka kurdan çavkaniyeke sereke û bingehîn e. Ew agahiyên berfireh li ser eşîr û mîrekiyên kurdan dide.,1,verified,https://en.wikipedia.org/wiki/Sharafname,approved,0.95,
ds_dirok_0009,ku-kmr,Dîrok,Şerefname di sala çendan de hatiye qedandin?,1597,1595,1596,1598,A,Şerefname di sala 1597an de hatiye qedandin. Şerefxanê Bidlîsî ev pirtûk di dema xwe de li gorî çavkaniyên berdest nivîsiye.,2,verified,https://en.wikipedia.org/wiki/Sharafname,approved,0.95,
ds_dirok_0010,ku-kmr,Dîrok,Şerefxanê Bidlîsî ji kîjan dînî bû?,Şîa,Sunnî,Elewî,Yarsan,B,Şerefxanê Bidlîsî misilmanekî sunnî bû. Ew di pirtûka xwe de behsa dîn û baweriya kurdan jî dike.,2,verified,https://en.wikipedia.org/wiki/Sharafkhan_Bidlisi,approved,0.95,
