id,category,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,is_approved,question_type,image_url,source_url
offline_0001,Ziman,ku-kmr,"Di Kurmancî de peyva ""av"" bi Tirkî çi ye?",Su,ev,su,te,C,"""av"" kelimesi ""su"" anlamına gelir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0002,Ziman,ku-kmr,"""su"" anlamına gelen Kurmancî kelime hangisidir?",te,su,El,av,D,"""su"" için doğru karşılık ""av""tir.",1,true,multiple_choice,,zankurd_seed_rich_v2
offline_0003,Ziman,ku-kmr,"Peyva ""av"" ""su"" anlamına gelir.",Rast,Şaş,-,-,A,"""av"" için doğru anlam ""su""tir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0004,Ziman,ku-kmr,"Peyva ""av"" ""ateş"" anlamına gelir.",Rast,Şaş,-,-,B,"""av"" ""su"" demektir; ""agir"" ise ""ateş"" anlamına gelir.",1,true,true_false,,zankurd_seed_rich_v2
offline_0005,Ziman,ku-kmr,"Görsel etiketi ""av"" kavramını gösteriyor. Doğru anlam hangisidir?",te,Sen,su,ev,C,"Görsel soru ""av"" kelimesini pekiştirir.",1,true,visual,asset://assets/question_images/av.webp,zankurd_seed_rich_v2
offline_0006,Ziman,ku-kmr,"Di Kurmancî de peyva ""roj"" bi Tirkî çi ye?",Nasılsın?,Pazartesi,gün/güneş,Sekiz (8),C,"""roj"" kelimesi ""gün/güneş"" anlamına gelir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0007,Ziman,ku-kmr,"""gün/güneş"" anlamına gelen Kurmancî kelime hangisidir?",duh,mal,Köy,roj,D,"""gün/güneş"" için doğru karşılık ""roj""tir.",2,true,multiple_choice,,zankurd_seed_rich_v2
offline_0008,Ziman,ku-kmr,"Peyva ""roj"" ""gün/güneş"" anlamına gelir.",Rast,Şaş,-,-,A,"""roj"" için doğru anlam ""gün/güneş""tir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0009,Ziman,ku-kmr,"Peyva ""roj"" ""gece"" anlamına gelir.",Rast,Şaş,-,-,B,"""roj"" ""gün/güneş"" demektir; ""şev"" ise ""gece"" anlamına gelir.",2,true,true_false,,zankurd_seed_rich_v2
offline_0010,Ziman,ku-kmr,"Görsel etiketi ""roj"" kavramını gösteriyor. Doğru anlam hangisidir?",Yüz (100),gün/güneş,Kürtçenin,Duygu/his,B,"Görsel soru ""roj"" kelimesini pekiştirir.",2,true,visual,asset://assets/question_images/roj.webp,zankurd_seed_rich_v2
