candidate_id,source,license,source_category,difficulty,prompt_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,source_entity,translation_status,editorial_status,controlled_disposition,controlled_note
opentdb_0001,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Where did the pineapple plant originate?,South America,Hawaii,Europe,Asia,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0002,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,What was the destination of the missing flight MH370?,Beijing,Kuala Lumpur,Singapore,Tokyo,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0003,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,What do the Dutch call their language?,Nederlands,Dansk,Deutsch,Hollander,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0004,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,The Quran is the holy book of which Abrahamic religion?,Islam,Christianity,Judaism,Rastafarianism,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0005,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,"In ""Shrek"", what comedic actor voices Donkey?",Eddie Murphy,Chris Rock,Richard Pryor,Bernie Mac,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0006,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,Which logical fallacy means to attack the character of your opponent rather than their arguments?,Ad hominem,Post hoc ergo propter hoc,Tu quoque,Argumentum ad populum,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0007,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,easy,"What type of animal was Harambe, who was shot after a child fell into it's enclosure at the Cincinnati Zoo?",Gorilla,Tiger,Panda,Crocodile,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0008,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,Shogun,Ninja,Samurai,Shinobi,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0009,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,hard,"De Eemhof, Port Zelande and Het Heijderbos are holiday villas owned by what company?",Center Parcs,Yelloh Village,Keycamp,Villa Plus,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
opentdb_0010,Open Trivia Database API,CC BY-SA 4.0,General Knowledge,medium,The architect known as Le Corbusier was an important figure in what style of architecture?,Modernism,Neoclassical,Baroque,Gothic Revival,A,,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY,TRANSLATION_AND_EDITORIAL_REVIEW,"User-contributed CC BY-SA question; translate, verify, rewrite distractors and retain attribution."
