id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
opentdb_translated_4_0001,Cografya,ku-kmr,Çend eyaletên Dewletên Yekbûyî bi tîpa K dest pê dikin?,Du.,Yek.,Sê.,Tu yek.,A,Kansas û Kentucky du eyaletên Dewletên Yekbûyî ne ku bi tîpa K dest pê dikin.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0109
opentdb_translated_4_0002,Cografya,ku-kmr,Paytexta Bermudayê kîjan bajar e?,Santo Domingo.,San Juan.,Havana.,Hamilton.,D,Hamilton paytexta Bermudayê ye.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0114
opentdb_translated_4_0003,Cografya,ku-kmr,Bajarê Portsmouthê di kîjan wîlayeta Îngilîstanê de ye?,Buckinghamshire.,Surrey.,Hampshire.,Oxfordshire.,C,Portsmouth di wîlayeta Hampshire ya Îngilîstanê de ye.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0117
opentdb_translated_4_0004,Dîrok,ku-kmr,"Di 1845-an de, li Zelanda Nû rêze şerên navê kîjan gelê xwecihî li ser wan bû dest pê kir?",Polînezî.,Māori.,Papua.,Aborîjen.,B,Şerên Zelanda Nû yên ku di 1845-an de dest pê kirin bi gelê Māori re hatine navandin.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0159
opentdb_translated_4_0005,Dîrok,ku-kmr,Kîjan welat ne beşek ji Yekîtiya Sovyetê bû?,Afganistan.,Turkmenistan.,Qazaxistan.,Uzbekistan.,A,Afganistan beşek ji Yekîtiya Sovyetê nebû; sê welatên din di nav komarên Sovyetê de bûn.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0160
opentdb_translated_4_0006,Dîrok,ku-kmr,Kîjan şer gelek caran wek destpêka ketina Împaratoriya Romaya Rojava tê dîtin?,Şerê Thessalonica.,Şerê Pollentia.,Şerê Constantinople.,Şerê Adrianople.,D,Şerê Adrianople ya 378-an gelek caran wek bûyereka nîşander di qelsbûna Împaratoriya Romaya Rojava de tê dîtin.,3,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0165
opentdb_translated_4_0007,Dîrok,ku-kmr,"Di Şerê Cîhanê yê Yekem de, padîşahên kîjan welatan bi xwînê bi hev re girêdayî bûn?","Serbistan, Rûsya û Xirwatistan.","Almanya, Spanya û Awûstûrya.","Îngilîstan, Almanya û Rûsya.","Fransa, Rûsya û Almanya.",C,"Malbatên padîşahî yên Îngilîstan, Almanya û Rûsya di destpêka Şerê Cîhanê yê Yekem de bi têkiliyên malbatî ve girêdayî bûn.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0166
opentdb_translated_4_0008,Çand,ku-kmr,Wêneyê Mona Lisa di kîjan salê de hate qedandin?,1511.,1504.,1487.,1523.,B,Mona Lisa bi gelemperî bi sala 1504-an re tê girêdan.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0261
opentdb_translated_4_0009,Çand,ku-kmr,Albrecht Durer wêneyê 'The Young Hare' di kîjan salê de çêkir?,1502.,1702.,1402.,1602.,A,Albrecht Durer The Young Hare di 1502-an de çêkir.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0264
opentdb_translated_4_0010,Paradigma,ku-kmr,"Di zanîna biyolojiyê de, XYY çi cure guhertina genetîkî nîşan dide?",Kêm bûna kromozomeke X.,Hebûna du kromozomên X yên zêde.,Hebûna kromozomeke M ya zêde.,Hebûna kromozomeke Y ya zêde.,D,Di pirsê OpenTDB de bersiva rast hebûna kromozomeke Y ya zêde ye; ev pirs divê bi zimanekî agahdar û ne-stigmatîzekar bê bikaranîn.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0064
