severity,check_id,confidence,source_id,source_path,source_row,record_id,prompt,message,issue_fingerprint
critical,answer_leak,high,active_import_ready,supabase/questions_import_ready.csv,116,offline_0115,"Görsel etiketi ""rast"" kavramını gösteriyor. Doğru anlam hangisidir?",Prompt contains the correct answer.,b53fdcef17289de486dbf9975497c46d
critical,answer_leak,high,active_import_ready,supabase/questions_import_ready.csv,149,offline_2023,"Di hevoka ""Ez diçim malê"" de lêker (fiil) kîjan e?",Prompt contains the correct answer.,5f08371b68b978b9e80d6a12c40721cd
critical,answer_leak,high,active_import_ready,supabase/questions_import_ready.csv,2633,offline_2611,Mahabad Cumhuriyeti hangi şehir merkezliydi?,Prompt contains the correct answer.,6c8c715c40d1cfcbe1c7d3cd61f47db5
critical,answer_leak,high,offline_runtime_bank,lib/src/data/offline_question_bank.dart,327,offline_0115,"Bu görsel hangi kavramı hatırlatır: ""rast"" — doğru anlamı seçin.",Prompt contains the correct answer.,b5ee276bfdeae671fc91bf58e2a6ae80
critical,answer_leak,high,offline_runtime_bank,lib/src/data/offline_question_bank.dart,396,offline_0379,'Newroz' görseli Çand içinde hangi kategoriye girer?,Prompt contains the correct answer.,a6bf5e7fd7f3b4ca7077b05fc17e746b
critical,answer_leak,high,offline_runtime_bank,lib/src/data/offline_question_bank.dart,494,offline_0409,Bu görseldeki 'ağıt' Çand bağlamında nereye yakındır?,Prompt contains the correct answer.,a9a3e8fb4c79eba91ba32188bc754cff
critical,answer_leak,high,offline_runtime_bank,lib/src/data/offline_question_bank.dart,593,offline_0533,Bu görseldeki 'sözlü tarih' Dîrok bağlamında nereye yakındır?,Prompt contains the correct answer.,d7366abb7afbd7b3bab1af615be4ec3d
critical,answer_leak,high,offline_runtime_bank,lib/src/data/offline_question_bank.dart,634,offline_0541,'arkeoloji' görseli Dîrok içinde hangi kategoriye girer?,Prompt contains the correct answer.,70ade47b252fc54eb562039ca6df91e7
critical,answer_leak,high,offline_runtime_bank,lib/src/data/offline_question_bank.dart,703,offline_0553,'yerleşik yaşam' görseli Dîrok içinde hangi kategoriye girer?,Prompt contains the correct answer.,df5f576bc1e94a8ac1f4a28fe70e2724
critical,answer_leak,high,offline_runtime_bank,lib/src/data/offline_question_bank.dart,727,offline_0561,'kültürel etkileşim' görseli Dîrok içinde hangi kategoriye girer?,Prompt contains the correct answer.,755befe5540b36d8e36927d5b6eb2e0a
