severity,check_id,confidence,source_id,source_path,source_row,record_id,prompt,message,issue_fingerprint
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,3,offline_0002,"""su"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,bcfa7cc687e18b6f95bd2e2535ca0911
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,4,offline_0003,"Peyva ""av"" ""su"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,b439c2055fd13ce51ade230a8d8c4a87
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,5,offline_0004,"Peyva ""av"" ""ateş"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,58f8cf0dd76b63a416a7b17b3bfede94
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,6,offline_0005,"Görsel etiketi ""av"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,bca37309826bf02cddb395f41a753d7c
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,8,offline_0007,"""gün/güneş"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,0fdf613824230b402e94a693d6b161d5
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,9,offline_0008,"Peyva ""roj"" ""gün/güneş"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,a721fe6cb6b65f22a591a3314fc5d538
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,10,offline_0009,"Peyva ""roj"" ""gece"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,7d639937aa4eb32d198f412ffb84fa00
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,11,offline_0010,"Görsel etiketi ""roj"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,2b898cec1937f66cea43d8a4b8c8e99d
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,13,offline_0012,"""ev"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,7a59bd88aa7b27618aa5d8ae9237ef73
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,14,offline_0013,"Peyva ""mal"" ""ev"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,a60b7c6e1b543c7e9235beda76f6f549
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,15,offline_0014,"Peyva ""mal"" ""okul"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,ba4457a421dfe80bb2913de51a68aa26
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,16,offline_0015,"Görsel etiketi ""mal"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,6db01de033712f2863fdecd2369f5a69
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,18,offline_0017,"""kitap"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,238ffa9f21b7dd24bbb58113318cb573
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,19,offline_0018,"Peyva ""pirtûk"" ""kitap"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,ad590f69a2c99ae14504e9e82b265b5a
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,20,offline_0019,"Peyva ""pirtûk"" ""yazı"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,d7e4f170edf782085137cef817b44a4c
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,21,offline_0020,"Görsel etiketi ""pirtûk"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,13adaffb2d2f0212c4211865bf150986
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,23,offline_0022,"""bilmek"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,6a1c32aabbb6ed7751419d6cdc632c75
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,24,offline_0023,"Peyva ""zanîn"" ""bilmek"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,05f0309ee065f39e0fa8b60eda641fb1
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,25,offline_0024,"Peyva ""zanîn"" ""gitmek"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,237a889a135ccaf6c290e3d22c884ab5
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,26,offline_0025,"Görsel etiketi ""zanîn"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,b8f4678a12fb365512eb13bc8e8621a0
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,28,offline_0027,"""gelmek"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,ec7a813d8f91e5558a8cbd85b3ab2793
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,29,offline_0028,"Peyva ""hatin"" ""gelmek"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,ee3e1dde17bf67606fa7326073e8aded
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,30,offline_0029,"Peyva ""hatin"" ""okumak"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,56df913b7d0a7ec01e829b261598eca5
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,31,offline_0030,"Görsel etiketi ""hatin"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,1a9ffa96c32099ad241579e59fea11de
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,33,offline_0032,"""dağ"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,21f134f56c0d631a547487842d554ec1
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,34,offline_0033,"Peyva ""çiya"" ""dağ"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,7a448351cc99d53264398561f9c12e9b
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,35,offline_0034,"Peyva ""çiya"" ""ova"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,a356523c4c4408fd566d4f30fbda266a
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,36,offline_0035,"Görsel etiketi ""çiya"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,0f070bd2403528010f35889a5c7c5ef7
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,38,offline_0037,"""kalp/dil"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,67a0c3084d606a996bb8d8d1e02fccc5
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,39,offline_0038,"Peyva ""dil"" ""kalp/dil"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,ffc0bd70f80ae2619df6345117a1c014
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,40,offline_0039,"Peyva ""dil"" ""el"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,3bf1c7d07d3fc4b9cbf5496e38b2645e
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,41,offline_0040,"Görsel etiketi ""dil"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,8c093b9bc215783f3834d3a15aa7a22a
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,43,offline_0042,"""arkadaş"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,76e7f237a4b2d4bbc2628f60bf0ad718
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,44,offline_0043,"Peyva ""heval"" ""arkadaş"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,0c1af37995d150c831e42509ad9337b6
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,45,offline_0044,"Peyva ""heval"" ""aile"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,ad63806869bbba6063d7003a78f469eb
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,46,offline_0045,"Görsel etiketi ""heval"" kavramını gösteriyor. Doğru anlam hangisidir?",High-confidence Turkish template in Kurmancî content.,c182fa5ae3186db1b9c3b3d075367bf2
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,48,offline_0047,"""şehir"" anlamına gelen Kurmancî kelime hangisidir?",High-confidence Turkish template in Kurmancî content.,7d40e060c1beb4cada741fc83b809abf
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,49,offline_0048,"Peyva ""bajar"" ""şehir"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,f489113a3877dc6b96e7df99ffdff0d7
critical,turkish_template,high,active_import_ready,supabase/questions_import_ready.csv,50,offline_0049,"Peyva ""bajar"" ""köy"" anlamına gelir.",High-confidence Turkish template in Kurmancî content.,dc42f4df3b4aa841e6979b7a2e1e6297
