id,category,difficulty,sorun,prompt,answers,correct,explanation
offline_0005,Ziman,1,answers,"Di wêneya ku têgiha ""av"" nîşan dide de, wateya rast kîjan e?",ateş | ben | su | ev,su,"""av"" ""su"" demektir."
offline_0010,Ziman,2,answers,"Nîşana wêneyê: ""roj"". Wateya wê çi ye?",Yüz | gün/güneş | sözcük | Duygu/his,gün/güneş,"""roj"" ""gün/güneş"" demektir."
offline_0014,Ziman,3,answers,"Wateya Tirkî ya ""mal"" ""okul"" e?",Rast | Şaş,Şaş,"""mal"" ""ev"" demektir; ""dibistan"" ise ""okul"" anlamına gelir."
offline_0020,Ziman,4,answers,"Wêneya ""pirtûk"" tê çi wateyê?",Beyaz | zanîn | kitap | soğuk,kitap,"""pirtûk"" ""kitap"" demektir."
offline_0030,Ziman,1,answers,"Wêneya ""hatin"" tê çi wateyê?",Yoğurt | were! | gelmek | Yukarı,gelmek,"""hatin"" ""gelmek"" demektir."
offline_0035,Ziman,2,answers,"Ev wêne ji bo ""çiya"" e: berambera rast kîjan e?",İyi | Kar | dağ | yol,dağ,"""çiya"" ""dağ"" demektir."
offline_0040,Ziman,3,answers,"Wêneya ""dil"" tê çi wateyê?",kalp/dil | Teşekkür | Nasılsın? | su içmek,kalp/dil,"""dil"" ""kalp/dil"" demektir."
offline_0045,Ziman,4,answers,"Wêneya ""heval"": berambera Tirkî ya rast kîjan e?",şehir | arkadaş | kitap | yol,arkadaş,"""heval"" ""arkadaş"" demektir."
offline_0050,Ziman,5,answers,"Wêneya ""bajar"" tê çi wateyê?",su | ev | kitap | şehir,şehir,"""bajar"" ""şehir"" demektir."
offline_0055,Ziman,1,answers,"Wêne ""nan"" dibêje — wateya rast kîjan e?",su | yol | ekmek | dağ,ekmek,"""nan"" ""ekmek"" demektir."
offline_0060,Ziman,2,answers,"Ev wêne ji bo ""rê"" e: berambera rast kîjan e?",dağ | nan | ben | yol,yol,"""rê"" ""yol"" demektir."
offline_0065,Ziman,3,answers,"Wêneya ""spas"" tê çi wateyê?",teşekkür | Dört | öğrenmek | Yumurta,teşekkür,"""spas"" ""teşekkür"" demektir."
offline_0067,Ziman,4,answers,"Hevwateya ""güzel/iyi"" bi Kurmancî çi ye?",sar | hatin | nan | xweş,xweş,'güzel/iyi' → xweş.
offline_0070,Ziman,4,answers,"Wêne ""xweş"" dibêje — wateya rast kîjan e?",soğuk | güzel/iyi | gelmek | ekmek,güzel/iyi,"""xweş"" ""güzel/iyi"" demektir."
offline_0075,Ziman,5,answers,"Di wêneyê de ""sar"" tê çi wateyê?",sıcak | soğuk | arkadaş | dağ,soğuk,"""sar"" ""soğuk"" demektir."
offline_0076,Ziman,1,answers,"Peyva Kurmancî ""biçûk"" bi Tirkî çi tê gotin?",heval | Aşağı | Siyah | küçük,küçük,"Kurmancî ""biçûk"" ≈ ""küçük""."
offline_0080,Ziman,1,answers,"Wêne ""biçûk"" dibêje — wateya rast kîjan e?",Kitap | were! | küçük | heval,küçük,"""biçûk"" ""küçük"" demektir."
offline_0083,Ziman,2,answers,"Rast e an şaş e: Kurmancî ""kevin"" = ""eski"".",Rast | Şaş,Rast,"""kevin"" için doğru anlam ""eski""tir."
offline_0085,Ziman,2,answers,"Di wêneya ku têgiha ""kevin"" nîşan dide de, wateya rast kîjan e?",Elma | rast | eski | xweş,eski,"""kevin"" ""eski"" demektir."
offline_0090,Ziman,3,answers,"Di wêneya ku têgiha ""îro"" nîşan dide de, wateya rast kîjan e?",biçûk | soğuk | bugün | kitap,bugün,"""îro"" ""bugün"" demektir."
offline_0095,Ziman,4,answers,"Nîşana wêneyê: ""duh"". Wateya wê çi ye?",dağ | İyi | dün | duh,dün,"""duh"" ""dün"" demektir."
offline_0100,Ziman,5,answers,"Wêne ""nav"" dibêje — wateya rast kîjan e?",ergatîf | renkler | ad/isim | Kırmızı,ad/isim,"""nav"" ""ad/isim"" demektir."
offline_0105,Ziman,1,answers,"Wêneya ""zarok"": berambera Tirkî ya rast kîjan e?",zarok | çocuk | soğuk | Büyük,çocuk,"""zarok"" ""çocuk"" demektir."
offline_0110,Ziman,2,answers,"Wêneya ""xwendekar"" tê çi wateyê?",öğrenci | ergatîf | Üç | Bir,öğrenci,"""xwendekar"" ""öğrenci"" demektir."
offline_0111,Ziman,3,answers,"Wateya Tirkî ya peyva ""rast"" kîjan e?",kitap | Siyah | Büyük | doğru,doğru,"Kurmancî ""rast"" ≈ ""doğru""."
offline_0115,Ziman,3,answers,"Ev wêne kîjan têgihê tîne bîra we: ""rast"" — wateya rast hilbijêrin.",doğru | zarok | Siyah | were!,doğru,"""rast"" ""doğru"" demektir."
offline_0120,Ziman,4,answers,"Di wêneya ku têgiha ""pir"" nîşan dide de, wateya rast kîjan e?",duh | dün | min | çok,çok,"""pir"" ""çok"" demektir."
offline_0121,Ziman,5,answers,"Peyva Kurmancî ""destpêk"" bi Tirkî çi tê gotin?",Ben iyiyim | Nasılsın? | Dokuz | başlangıç,başlangıç,"Kurmancî ""destpêk"" ≈ ""başlangıç""."
offline_0125,Ziman,5,answers,"Ev wêne ji bo ""destpêk"" e: berambera rast kîjan e?",başlangıç | güzel/iyi | Duygu/his | Ben iyiyim,başlangıç,"""destpêk"" ""başlangıç"" demektir."
offline_0376,Çand,1,answers,Di çanda Kurdî de Newroz herî zêde bi kîjan qadê re têkildar e?,Halka biçiminde toplu dans | baharın gelişi ve yenilenme | toplumsal bağları güçlendirme | Sırayla kilam/anlatı söylerdi,baharın gelişi ve yenilenme,"Newroz, Kürt kültüründe 21 Adar bağlamında değerlendirilir."
offline_0381,Çand,1,answers,Di çanda Kurdî de govend herî zêde bi kîjan qadê re têkildar e?,Newroz bayramı | Kına (hene) gecesi | toplu halk oyunu | Toplu halk dansı,toplu halk oyunu,"govend, Kürt kültüründe düğün ve kutlama bağlamında değerlendirilir."
offline_0395,Çand,2,answers,Di çanda Kurdî de derbarê kilim motifleri de kîjan rasttir e?,el sanatı ile ilişkilidir | sadece sayı sistemidir | sadece gök cismidir | sadece trafik işaretidir,el sanatı ile ilişkilidir,"kilim motifleri, Kürt kültüründe el sanatı alanıyla bağlantılıdır."
offline_0404,Çand,2,prompt,Di wêneyê de 'yerel kıyafetler' heye — kategoriya rast kîjan e?,Çand | Cografya | Ziman | Muzîk,Çand,yerel kıyafetler Kürt kültürü kategorisinde ele alınır.
offline_0409,Çand,3,prompt,'ağıt' a di vê wêneyê de di çarçoveya Çandê de nêzîkî kîjan e?,Çand | Cografya | Ziman | Muzîk,Çand,ağıt Kürt kültürü kategorisinde ele alınır.
offline_0414,Çand,2,prompt,Nîşana wêneyê 'masal anlatımı': kategoriya rast kîjan e?,Çand | Cografya | Ziman | Muzîk,Çand,masal anlatımı Kürt kültürü kategorisinde ele alınır.
offline_0415,Çand,2,answers,Di çanda kurdî de der barê vegotina çîrokan de kîjan rasttir e?,sözlü kültür ile ilişkilidir | sadece sayı sistemidir | sadece gök cismidir | sadece trafik işaretidir,sözlü kültür ile ilişkilidir,"masal anlatımı, Kürt kültüründe sözlü kültür alanıyla bağlantılıdır."
offline_0424,Çand,2,prompt,Etîketa 'halk mutfağı' ya di wêneyê de aîdî kîjan qadê ye?,Çand | Cografya | Ziman | Muzîk,Çand,halk mutfağı Kürt kültürü kategorisinde ele alınır.
offline_0425,Çand,2,answers,Di çanda kurdî de der barê xwarinên gelêrî de kîjan rasttir e?,sofra kültürü ile ilişkilidir | sadece sayı sistemidir | sadece gök cismidir | sadece trafik işaretidir,sofra kültürü ile ilişkilidir,"halk mutfağı, Kürt kültüründe sofra kültürü alanıyla bağlantılıdır."
offline_0527,Dîrok,1,answers,Çavkaniya seretayî dikare ji bo têgihiştina dîroka Kurd û Kurdistanê were bikaranîn.,Rast | Şaş,Rast,birincil kaynak tarihsel düşünme için yararlı bir kavramdır.
offline_0534,Dîrok,2,answers,Ji bo dîroka Kurd û Kurdistanê ravekirina herî guncav a têgeha dîroka devkî kîjan e?,Fiili özerk yönetim ve sonrasında KRG kurumlaşması | tanıklık ve anlatılarla geçmişi anlama yöntemi | Hakkari/Cizre çevresi (dağlık güneydoğu) | KYB (Kürdistan Yurtseverler Birliği),tanıklık ve anlatılarla geçmişi anlama yöntemi,Doğru açıklama: tanıklık ve anlatılarla geçmişi anlama yöntemi.
offline_0543,Dîrok,5,answers,Di xebata dîroka Kurd û Kurdistanê de Mezopotamya çi îfade dike?,Merkezî yönetime bağlanmış / tasfiye edilmiş yapı | yek ji wargehên herî kevn ên domdar | Dicle ve Fırat çevresindeki tarihsel bölge | KYB (Kürdistan Yurtseverler Birliği),Dicle ve Fırat çevresindeki tarihsel bölge,"Mezopotamya, Kürt ve Kürdistan tarihi araştırmalarında Dicle ve Fırat çevresindeki tarihsel bölge olarak kullanılabilir."
offline_0546,Dîrok,5,answers,Ji bo dîroka Kurd û Kurdistanê ravekirina herî guncav a têgeha Mezopotamyayê kîjan e?,Hakkari/Cizre çevresi (dağlık güneydoğu) | Merkezî yönetime bağlanmış / tasfiye edilmiş yapı | Dicle ve Fırat çevresindeki tarihsel bölge | yek ji wargehên herî kevn ên domdar,Dicle ve Fırat çevresindeki tarihsel bölge,Doğru açıklama: Dicle ve Fırat çevresindeki tarihsel bölge.
offline_0662,Edebiyat,4,answers,'destan' a di vê wêneyê de herî zêde nêzîkî kîjan şêweya vegotinê ye?,epik anlatı | kısa haber | alışveriş listesi | nota dizisi,epik anlatı,"Destan, kahramanlık ve toplumsal hafızayı taşıyan epik anlatıdır."
offline_0668,Edebiyat,1,answers,Wêneyê 'tema' di metnekê de kîjan hêmanê vedibêje?,ana düşünce | dağ sırası | ölçü birimi | enstrüman,ana düşünce,"Tema, bir edebî metnin ana düşüncesi ya da işlediği temel izlektir."
offline_0670,Edebiyat,2,answers,Mecaz têgihek e ku bi edebiyata Kurdî re têkildar e.,Rast | Şaş,Rast,mecaz edebi metinleri anlamada kullanılan bir kavramdır.
offline_0677,Edebiyat,4,prompt,Di wêneyê de 'anlatıcı' heye — kategoriya rast kîjan e?,Edebiyat | Cografya | Muzîk | Kimya,Edebiyat,anlatıcı Kürt edebiyatı kategorisinde değerlendirilir.
offline_0678,Edebiyat,5,answers,Di edebiyata Kurdî de diyalog tê çi wateyê?,karşılıklı konuşma | coğrafi yön | matematik sembolü | maden türü,karşılıklı konuşma,"diyalog, Kürt edebiyatı alanında karşılıklı konuşma anlamında kullanılır."
offline_0745,Cografya,1,answers,"Di çarçoveya erdnîgariya Kurdistanê de, di Kurmancî de ""çiya"" nêzîkî çi ye?",dağ | müzik notası | edebi kişi | alışveriş fişi,dağ,"""çiya"" coğrafya bağlamında ""dağ"" anlamına gelir."
offline_0748,Cografya,1,answers,'çiya' a di vê wêneyê de kîjan şiklê erdê vedibêje?,dağ | göl | orman | ova,dağ,'çiya' Kurmancîde dağ anlamına gelir.
offline_0755,Cografya,3,answers,Av yek ji wan têgehan e ku ji bo têgihiştina erdnîgariya Kurdistanê tê bikaranîn.,Rast | Şaş,Rast,Coğrafya doğal ve beşeri çevreyi inceler.
offline_0756,Cografya,3,answers,'av' a di vê wêneyê de di hawîrdora xwezayî de kîjan hêmanê nîşan dide?,su | taş | rüzgâr | toprak,su,'av' Kurmancîde su anlamına gelir.
offline_0757,Cografya,3,answers,Ji bo gotina 'su' peyva Kurmancî ya herî guncav kîjan e?,av | dağ | Ağrı | Muş,av,Su için doğru kelime 'av'tir.
offline_0760,Cografya,4,answers,'çem' a di vê wêneyê de kîjan hebûna avê vedibêje?,nehir | çöl | tepe | mağara,nehir,'çem' Kurmancîde nehir/ırmak anlamına gelir.
offline_0772,Cografya,2,answers,'newal' a di vê wêneyê de nêzîkî kîjan şiklê erdê ye?,vadi | ada | zirve | kıyı,vadi,'newal' Kurmancîde vadi anlamında kullanılır.
offline_0869,Muzîk,1,answers,Dengbêj bi muzîka kurdî re tê têkildarkirin.,Rast | Şaş,Rast,dengbêj müzik kültüründe kullanılan bir kavramdır.
offline_0873,Muzîk,2,answers,Di muzîka kurdî de rîtm bi çi re têkildar e?,düzenli vuruş | harita çizimi | fiil çekimi | toprak ölçümü,düzenli vuruş,"ritim, Kürt müziği alanında düzenli vuruş ile ilişkilidir."
offline_2009,Ziman,1,answers,"""Erê"" û ""na"" bi Tirkî çi ne?",evet ve hayır | var ve yok | az ve çok | gel ve git,evet ve hayır,"""erê"" evet, ""na"" hayır demektir."
offline_2020,Ziman,1,answers,"""Havîn"" bi Tirkî çi ye?",yaz | kış | ilkbahar | sonbahar,yaz,'Havîn' → yaz.
offline_2035,Ziman,2,answers,"Hejmara ""deh"" bi Tirkî çi ye?",on | iki | beş | yüz,on,'deh' → on.
offline_2036,Ziman,2,answers,"Hejmara ""pênc"" bi Tirkî çi ye?",beş | dört | altı | dokuz,beş,'pênc' → beş.
offline_2042,Ziman,3,answers,"Tîpên ""e"" û ""ê"" di Kurmancî de heman deng in.",Rast | Şaş,Şaş,"""e"" kısa, ""ê"" ise kapalı uzun bir ünlüdür; farklı seslerdir."
offline_2046,Ziman,5,answers,"Paşgira ""-istan"" çi çêdike?","Kadın, yaşam, özgürlük | Arkadaş/yoldaş | Amca kızı (kuzen) | navên cih û welatan",navên cih û welatan,"""-istan"" yer/ülke adı türetir: gulistan (gül bahçesi) gibi."
offline_2049,Ziman,3,answers,"""Mal"" û ""xanî"" herdu jî bi Tirkî dikarin ""ev"" bin.",Rast | Şaş,Rast,"""mal"" yuva/ev, ""xanî"" yapı olarak ev demektir."
offline_2052,Çand,1,answers,Newroz cejna sersala biharê ye.,Rast | Şaş,Rast,"Newroz ""yeni gün"" demektir ve bahar yeni yılını simgeler."
offline_2066,Çand,3,answers,"""Xelat"" tê çi wateyê?",Babaanne/nine | Bayram/şenlik | hediye/ödül | Atalar/ecdat,hediye/ödül,"""xelat"" hediye ya da ödül anlamına gelir."
offline_2079,Çand,1,answers,Li gelek malên Kurdan vexwarina çayê kevneşopiyeke rojane ye.,Rast | Şaş,Rast,Çay ikramı günlük yaşamın ve misafirliğin parçasıdır.
offline_2086,Dîrok,5,answers,Pira Malabadê li ser kîjan avê ye?,Çemê Batmanê | Riha (Urfa) | Safevi/İran | Dîcle û Ferat,Çemê Batmanê,"Malabadi Köprüsü (1147), Batman Çayı üzerindeki tarihi taş köprüdür."
offline_2092,Dîrok,5,answers,Mîrgeha Erdelanê navenda xwe li kîjan bajarî bû?,Tarihî surlarıyla | Sine (Senendec) | avahiyên kevirîn | II. Abdülhamid,Sine (Senendec),Erdelan Beyliği'nin merkezi bugünkü İran'daki Senendec'ti.
offline_2102,Dîrok,4,answers,Urartû navenda xwe li kîjan derê bû?,16. yüzyıl | Tuşpa (Wan) | Cizre-Bohtan | 20. yüzyıl,Tuşpa (Wan),Urartu Krallığı'nın başkenti Van Gölü kıyısındaki Tuşpa'ydı.
offline_2110,Dîrok,4,answers,Xirabreşk (Girê Mirazan / Göbekli Tepe) li nêzîkî kîjan bajarî ye?,16. yüzyıl | Sevr (1920) | Riha (Urfa) | Lozan (1923),Riha (Urfa),"Göbekli Tepe, Şanlıurfa yakınlarındaki neolitik tapınaktır."
offline_2119,Edebiyat,3,answers,"Kovara ""Hawar"" kê derxist?",Celadet Alî Bedirxan | 15-18. yüzyıllar | karşılıklı konuşma | İmkânsız aşk ve özlemi,Celadet Alî Bedirxan,Hawar dergisini Celadet Alî Bedirxan çıkardı.
offline_2122,Edebiyat,3,answers,Alfabeya Kurmancî ya Latînî kê amade kir?,Celadet Alî Bedirxan | karşılıklı konuşma | Kuşlar (teyr = kuş) | teyran (kuşlarla),Celadet Alî Bedirxan,Bugün kullanılan Latin temelli Kurmanci alfabesini Bedirxan düzenledi.
offline_2129,Edebiyat,2,answers,"""Destan"" çi ye?",Tasavvufi şiir (divan) | Medrese öğrencisi/talebe | vegotineke dirêj a lehengiyê | Kürtçe yayıncılığın yaygınlaşması,vegotineke dirêj a lehengiyê,"Destan, kahramanlık konulu uzun halk anlatısıdır."
offline_2132,Edebiyat,3,answers,"""Pêkenok"" çi ne?",fıkralar | ağıtlar | destanlar | ninniler,fıkralar,"""pêkenok"" güldürü amaçlı kısa anlatı, yani fıkradır."
offline_2168,Cografya,3,answers,Çemê Ferat ji axa Tirkiyeyê derdikeve.,Rast | Şaş,Rast,Fırat'ın kaynakları Doğu Anadolu'dadır (Karasu ve Murat).
offline_2178,Muzîk,1,answers,"""Def û zirne"" bi gelemperî li ku tên lêdan?",li dawetan | li dibistanan | li nexweşxaneyan | li bazaran,li dawetan,Davul-zurna düğün ve şenliklerin müziğidir.
offline_2191,Muzîk,1,answers,"""Stranbêj"" kî ye?",şarkıcı | davulcu | dansçı | besteci,şarkıcı,"Şarkı söyleyen kişiye ""stranbêj"" denir."
offline_2205,Muzîk,5,answers,Meryem Xan yek ji dengên jin ên pêşî yên tomarkirî ye.,Rast | Şaş,Rast,"Meryem Xan'ın plak kayıtları, kadın seslerinin ilk örneklerindendir."
