id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_edebiyat_0001,ku-kmr,Edebiyat,Mem û Zîn kîjan zimanî de hatiye nivîsandin?,Kurmancî,Tirkî,Farisî,Erebî,A,"Mem û Zîn, Ehmedê Xanî tarafından Kurmancî (Kurmancî) olarak kaleme alınmıştır. Bu eser, Kürt edebiyatının en önemli klasiklerinden biridir.",1,verified,https://en.wikipedia.org/wiki/Mem_and_Zin,approved,0.95,
ds_edebiyat_0002,ku-kmr,Edebiyat,Ehmedê Xanî li kû ji dayik bûye?,Amed,Xanî,Colemêrg,Helebçe,B,"Ehmedê Xanî, Xanî (Hakkari) bölgesinde doğmuştur. 'Xanî' hem onun doğum yerine hem de soyadına ilham vermiştir.",2,verified,https://en.wikipedia.org/wiki/Ehmedê_Xanî,approved,0.95,
ds_edebiyat_0003,ku-kmr,Edebiyat,Mem û Zîn çi ye?,Dîrok,Dergeh,Helbest,Çîrok,C,"Mem û Zîn, Ehmedê Xanî'nin yazdığı uzun bir mesnevi (helbest) türünde bir eserdir. Aşk ve trajediyi konu alır.",1,verified,https://en.wikipedia.org/wiki/Mem_and_Zin,approved,0.95,
ds_edebiyat_0004,ku-kmr,Edebiyat,Di Mem û Zîn de karakterên sereke yên evîndar kî ne?,Sîyabend û Xecê,Leyla û Mecnûn,Ferhat û Şîrîn,Mem û Zîn,D,"Eserin başlığından da anlaşılacağı gibi, ana karakterler Mem û Zîn'dir. Hikaye onların aşkı etrafında döner.",1,verified,https://en.wikipedia.org/wiki/Mem_and_Zin,approved,0.95,
ds_edebiyat_0005,ku-kmr,Edebiyat,Ehmedê Xanî çi demê jiyaye?,Sedsala 17an,Sedsala 18an,Sedsala 19an,Sedsala 20an,A,"Ehmedê Xanî, 17. yüzyılda (1650-1707 arası) yaşamıştır. Bu dönemde Osmanlı İmparatorluğu'nun doğu bölgelerinde etkili olmuştur.",2,verified,https://en.wikipedia.org/wiki/Ehmedê_Xanî,approved,0.95,
ds_edebiyat_0006,ku-kmr,Edebiyat,Mem û Zîn çi demê hatiye nivîsandin?,Di sedsala 18an de,Di sedsala 17an de,Di sedsala 19an de,Di sedsala 20an de,B,"Mem û Zîn, 17. yüzyılın sonlarında, yaklaşık 1692 yılında yazılmıştır. Ehmedê Xanî bu eserini olgunluk döneminde kaleme almıştır.",2,verified,https://en.wikipedia.org/wiki/Mem_and_Zin,approved,0.95,
ds_edebiyat_0007,ku-kmr,Edebiyat,"Di Mem û Zîn de, Zîn kî ye?",Mîrên Cizîrê,Xanima Cizîrê,Dota Mîrê Cizîrê,Xanima Mîrê Cizîrê,C,"Zîn, Mîrê Cizîrê'nin kızıdır. Mem ise onun aşık olduğu genç bir prenstir.",2,verified,https://en.wikipedia.org/wiki/Mem_and_Zin,approved,0.95,
ds_edebiyat_0008,ku-kmr,Edebiyat,Ehmedê Xanî ji bilî Mem û Zîn kîjan berhemê din nivîsiye?,Nûbihar,Dîwan,Şerefname,Mewlûd,D,"Ehmedê Xanî, Mem û Zîn'in yanı sıra 'Mewlûd' adlı bir eser de yazmıştır. Bu eser, Hz. Muhammed'in doğumunu konu alır ve Kurmancî'nin en önemli dini metinlerinden biridir.",3,verified,https://en.wikipedia.org/wiki/Ehmedê_Xanî,approved,0.95,
ds_edebiyat_0009,ku-kmr,Edebiyat,Mem û Zîn di kîjan kategoriyê de tê hesibandin?,Mesnewî,Romana dîrokî,Çîroka gelêrî,Pirtûka dersan,A,"Mem û Zîn, klasik bir mesnevi olarak kabul edilir. Mesnewî, uzun manzum hikaye türüdür ve doğu edebiyatında yaygındır.",2,verified,https://en.wikipedia.org/wiki/Masnavi,approved,0.95,
ds_edebiyat_0010,ku-kmr,Edebiyat,Kîjan kesayet di Mem û Zîn de neyînî ye?,Mem,Beko,Zîn,Stî,B,"Beko, Mem û Zîn'in aşkına engel olan ve trajediye yol açan kötü karakterdir. Hikayede olumsuz bir rol oynar.",2,verified,https://en.wikipedia.org/wiki/Mem_and_Zin,approved,0.95,
