id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_muzik_0001,ku-kmr,Muzîk,Dengbêj di çanda Kurdî de bi taybetî ji bo çi tê naskirin?,Stranbêj û vegêran,Nivîskar,Wênesaz,Mimar,A,"Dengbêj di çanda Kurdî de stranbêj û vegêran e ku kilam û çîrokan bi devkî radigihîne. Ew ne nivîskar, wênesaz an jî mimar e.",1,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0002,ku-kmr,Muzîk,Kilam di kevneşopiya dengbêjiyê de bi piranî bi kîjan awayî tê vegotin?,Bi piyanoyê,Bi dengê bilind û bê amûr,Bi gîtarê,Bi def û zirneyê,B,"Kilam bi kevneşopî bi dengê bilind û bê amûr tê gotin. Dengbêj bi tenê dengan xwe kilamê dibêje, ne bi piyano, gîtar an jî def û zirneyê.",1,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0003,ku-kmr,Muzîk,Kîjan bajar wekî navenda kevneşopiya dengbêjiyê tê hesibandin?,Stenbol,Qahîre,Amed,Tahran,C,"Amed (Diyarbekir) wekî navenda kevneşopiya dengbêjiyê tê hesibandin. Stenbol, Qahîre û Tahran ne navendên vê kevneşopiyê ne.",2,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0004,ku-kmr,Muzîk,Dengbêj bi piranî kilamên xwe li ser kîjan mijaran dibêjin?,Astronomî,Matematîk,Teknolojî,"Evîn, dîrok û şer",D,"Dengbêj bi piranî kilamên xwe li ser evîn, dîrok û şer dibêjin. Ev mijar di nav kevneşopiya dengbêjiyê de navendî ne, ne astronomî, matematîk an jî teknolojî.",1,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0005,ku-kmr,Muzîk,Kîjan amûr di performansa dengbêjiyê de bi gelemperî tê bikaranîn?,Ti amûrek nîne,Tembûr,Keman,Ney,A,"Di performansa dengbêjiyê de bi gelemperî ti amûrek nîne; dengbêj bi tenê dengan xwe kilamê dibêje. Tembûr, keman û ney ne amûrên taybetî yên dengbêjan in.",1,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0006,ku-kmr,Muzîk,Dengbêjî wekî kevneşopiyek devkî çima girîng e?,Amûrên nûjen çêdike,Dîrok û çanda Kurdî diparêze,Zimanên biyanî hîn dike,Muzîka populer pêş dixe,B,"Dengbêjî wekî kevneşopiyek devkî dîrok û çanda Kurdî diparêze. Ew ne amûrên nûjen çêdike, ne zimanên biyanî hîn dike û ne jî muzîka populer pêş dixe.",2,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0008,ku-kmr,Muzîk,Kilam di nav kevneşopiya dengbêjiyê de bi piranî bi kîjan zimanî tê gotin?,Tirkî,Farisî,Erebî,Kurmancî,D,"Kilam di nav kevneşopiya dengbêjiyê de bi piranî bi Kurmancî tê gotin. Tirkî, Farisî û Erebî ne zimanê sereke yê vê kevneşopiyê ne.",1,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0009,ku-kmr,Muzîk,Dengbêj bi piranî kilamên xwe li kû derê dibêjin?,Di civatan de,Di şanoyan de,Di konseran de,Di radyoyê de,A,"Dengbêj bi piranî kilamên xwe di civatan de dibêjin. Şano, konser û radyo ne cihên kevneşopî yên dengbêjiyê ne.",2,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0010,ku-kmr,Muzîk,Kîjan taybetmendî dengbêjên jin ji yên mêr vediqetîne?,Ew bi amûran dilîzin,Dengê wan yê taybet heye,Ew tenê stranên zarokan dibêjin,Ew bi koman performans dikin,B,"Dengbêjên jin jî wek mêran dengê wan yê taybet heye ku kilamên wan ji yên mêr vediqetîne. Ew ne bi amûran dilîzin, ne tenê stranên zarokan dibêjin û ne jî bi koman performans dikin.",3,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
ds_muzik_0011,ku-kmr,Muzîk,Kilam di nav kevneşopiya dengbêjiyê de bi piranî çawa tê nivîsandin?,Bi tîpên erebî tê nivîsandin,Bi notan tê nivîsandin,Bi devkî tê vegotin,Bi tîpên latînî tê nivîsandin,C,"Kilam di nav kevneşopiya dengbêjiyê de bi piranî bi devkî tê vegotin, ne bi nivîsandinê. Ew ne bi tîpên erebî, ne bi notan û ne jî bi tîpên latînî tê nivîsandin.",2,verified,https://en.wikipedia.org/wiki/Dengb%C3%AAj,approved,0.95,
