id,category,prompt_lang,prompt,correct_answer
offline_0757,Cografya,ku,Ji bo gotina \'su\' peyva Kurmancî ya herî guncav kîjan e?,av
offline_2102,Dîrok,ku,Urartû navenda xwe li kîjan derê bû?,Tuşpa (Wan)
offline_2119,Edebiyat,ku,"Kovara ""Hawar"" kê derxist?",Celadet Alî Bedirxan
offline_2129,Edebiyat,ku,"""Destan"" çi ye?",vegotineke dirêj a lehengiyê
offline_2132,Edebiyat,ku,"""Pêkenok"" çi ne?",fıkralar
offline_2191,Muzîk,ku,"""Stranbêj"" kî ye?",şarkıcı
offline_2248,Edebiyat,ku,Kovara Hawar bi taybetî bi kîjan tevkariyê tê bibîranîn?,Latin temelli Kürt alfabesinin yaygınlaşması
offline_2261,Çand,ku,Di çanda Kurdî de zêmar bi giştî xwedî kîjan fonksiyonê ne?,"Acıyı, kaybı ve toplumsal hafızayı aktarmak"
offline_2266,Çand,ku,Di pêjgeha Kurdî de dolma/yaprax bi awayekî giştî çi ye?,İç harçla doldurulan sebze veya yaprak yemeği
offline_2270,Çand,ku,Li ser sifreyên kurdî parvekirina xwarinê bi sêniya mezin an pêşkêşiya hevpar çi xurt dike?,Topluluk ve aile bağlarını
offline_2271,Çand,ku,Vexwarina ji cureyê Dew/doogh bi kîjan madeya sereke re têkildar e?,Yoğurt/ayran
offline_2276,Çand,ku,Cihêrengiya xwarinên herêmî yên kurdî çima nikare bibe yek rêçeteyeke standard?,"Bölge, lehçe, iklim, tarım ve komşu mutfaklarla etkileşim farklı olduğu için"
offline_2304,Çand,ku,Êzidî di erdnîgariya çandî ya kurdî de bi taybetî bi kîjan sernavî têne bibîranîn?,Özgün dini-kültürel topluluk ve tarihsel travmalar
offline_2305,Çand,ku,Di nasnameya kurdî de ziman çima xwedî girîngiyeke navendî ye?,"Kültürel hafıza, edebiyat, sözlü anlatı ve aidiyet taşıdığı için"
offline_2307,Çand,ku,Di civaka kurdî de avahiyên eşîrî di dîrokê de xwedî kîjan fonksiyonê bûne?,"Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı"
offline_2312,Çand,ku,Fêrbûna navên cihan ên kurdî di sepanekê de çi xurt dike?,Kültürel aidiyet ve coğrafi hafızayı
offline_2329,Paradigma,ku,Sê tewereyên bingehîn ên konfederalîzma demokratîk kîjan in?,"Kadın özgürlüğü, ekoloji ve demokrasi"
offline_2362,Çand,ku,Êzidîtî bi kevneşopî yek ji baweriyên kîjan civakê ye?,Kürtler
offline_2376,Cografya,ku,"""Hewlêr"" navê Kurdî yê kîjan bajarî ye?",Erbil
offline_2381,Muzîk,ku,"""Erbane"" kîjan cureyê amûrê ye?",Vurmalı
offline_2443,Siyaset,ku,Di modela xweseriya demokratîk de biryar bi giranî li ku têne girtin?,Yerel meclis ve komünlerde
offline_2451,Çand,ku,"""Newroz"" ji kîjan du peyvan pêk tê?","""Nû"" (yeni) + ""roj"" (gün)"
offline_2452,Çand,ku,Di çanda herêmê de heyîna efsaneyî ya bi motîfa mar a berbelav kîjan e?,Şahmaran
offline_2458,Dîrok,ku,Merwaniyan di kîjan serdemê de li derdora Amedê hukum kiriye?,Orta Çağ (10-11. yüzyıl)
offline_2459,Dîrok,ku,"""Şerefname"" di bingehê de çi vedibêje?",Kürt hanedan ve beyliklerinin tarihini
offline_2467,Cografya,ku,Herêma Hewramî (Hawraman) di kêleka sînorê kîjan du welatan de ye?,İran-Irak
offline_2468,Muzîk,ku,"""Govend"" di bingehê de çalakiyeke çawa ye?",Toplu halk dansı
offline_2481,Çand,ku,Sê rengên bingehîn ên li ser ala Kurdî kîjan in?,"Kırmızı, beyaz ve yeşil"
offline_2499,Muzîk,ku,"Amûrên bi şêwaza ""Mey"" dikevin kîjan komê?",Üflemeli
offline_2502,Siyaset,ku,"Di têgihiştina ""Demokratik ulus"" de gelên cuda çawa bi hev re dijîn?",Eşit ve gönüllü birliktelikle
offline_2542,Çand,ku,Kevneşopiya dengbêjiyê berê bi giranî li kîjan cihan zindî dihat girtin?,Köy odaları ve dîwanlar
offline_2556,Cografya,ku,"Herêma ""Behdînan"" bi piranî di kîjan welatî de ye?",Irak (Duhok çevresi)
offline_2584,Edebiyat,ku,Romanên Kurdî yên pêşîn bi piranî di kîjan serdemê de derketine?,20. yüzyıl
offline_2593,Paradigma,ku,"""Demokratik modernite"" kîjan nirxan esas digire?","Demokrasi, kadın özgürlüğü ve ekoloji"
offline_2610,Dîrok,ku,Newroz bi kîjan demsal û mehê re têkildar e?,İlkbahar / Mart
offline_2638,Dîrok,ku,"""Hesenwayhîler"" li kîjan herêmê hukim kiriye, xanedaneke Kurd e?",Batı İran / Zagros çevresi
offline_2639,Dîrok,ku,Di efsaneya Newrozê de Dehak wek kesekî çawa tê vegotin?,Zalim bir kral/tiran
offline_2653,Siyaset,ku,"""Çoğulculuk"" di neteweya demokratîk de çi misoger dike?",Farklı kimlik ve inançların bir arada yaşamasını
offline_2669,Dîrok,ku,Eyyubiyan kîjan bajaran ji bo demek dirêj wek navend bi kar anîne?,Kahire ve Şam
offline_2692,Çand,ku,Serokatiya olî ya civaka Êzidî bi kevneşopî ji aliyê kê ve tê meşandin?,Mîr ve Baba Şeyh
offline_2696,Dîrok,ku,Peymana ku şûna Sevrê girt û statuya Kurdan tê de tune kîjan e?,Lozan (1923)
offline_2699,Edebiyat,ku,Mehmed Uzun berhemên xwe bi piranî bi kîjan zimanî nivîsandiye?,Kürtçe (Kurmancî)
offline_2705,Cografya,ku,"""Çiyayê Sîpan"" nêzîkî kîjan golê ye?",Van Gölü
offline_2724,Çand,ku,Di çanda gelêrî ya Kurdî de girîngiya ku ji çiyayan re tê dayîn herî zêde bi çi tê ravekirin?,Tarih boyunca dağlık coğrafyada yaşamayla
offline_2727,Dîrok,ku,Selahaddînê Eyûbî piştî kîjan şerî Qudsê vegerand?,Hıttin Savaşı (1187)
offline_2741,Siyaset,ku,"""Barış ve demokratik siyaset"" kîjan rêbazê red dike?",Şiddet ve dayatmayı
offline_2782,Çand,ku,Di Êzidîtiyê de kevneşopiya duakirina ber bi rojê ve çi nîşan dide?,Işığa/güneşe verilen kutsallığı
offline_2811,Dîrok,ku,"Di dîroka kurdî de piştî ""beylikler dönemi"" kîjan pêvajo hatiye jiyîn?",Merkezîleşme ve doğrudan yönetim
offline_2818,Cografya,ku,"Navên ""Cizîr ve Botan"" bi kîjan herêma dîrokî ve tên bibîranîn?",Botan/Cizre bölgesi (güneydoğu)
offline_2820,Paradigma,ku,"""Demokratik modernite"" derbaskirina kîjan sê krîzan armanc dike?","Ekoloji, kadın ve demokrasi krizlerini"
offline_2823,Siyaset,ku,"""Demokratik çözüm"" kîjan nirxan pêşanî dike?","Eşitlik, özgürlük ve barışı"
offline_2826,Dîrok,ku,"""Şerefname"" ji aliyê kê ve hatiye nivîsandin?",Şeref Han (Bitlis beyi)
offline_5968,Çand,ku,Derbarê \'destmal\' de ravekirina rast kîjan e?,halay başının elinde salladığı mendil
offline_5969,Çand,ku,Kîjan vebijêrk tê wateya \'şahmaran\'?,doğu kültüründe mitolojik figür
offline_5973,Çand,ku,"Dema \'şax\' tê gotin, çi tê xwestin?",şırnak yöresine ait geleneksel dans
offline_6020,Çand,ku,Ji aliyê Çandê ve ji bo \'govendên herêmî\' îfadeya rast kîjan e?,yöresel halk dansları
offline_6042,Çand,ku,"Dema \'pêncşem\' tê gotin, çi tê xwestin?",geleneksel ziyaret ve anma günü
offline_6053,Çand,ku,Derbarê \'şal û şapik\' de ravekirina rast kîjan e?,geleneksel erkek giyim takımı
offline_6093,Çand,ku,Ji bo \'tûrik\' pênaseya derbasdar kîjan e?,yiyecek taşımak için dokunan torba
offline_6117,Çand,ku,Derbarê \'nanê tenûrê\' de kîjan rast e?,tandırda pişirilen geleneksel ekmek
offline_6143,Çand,ku,Derbarê \'helase\' de ya rast a zanîn çi ye?,geleneksel hasat ve bereket şenliği
offline_6182,Çand,ku,Di qada Çandê de \'memê alan\' çi îfade dike?,destansı Kürt halk anlatısı
offline_6189,Çand,ku,Îfadeya ku têgiha \'cîranî\' rast vedibêje kîjan e?,komşuluk ve toplumsal yardımlaşma
offline_6206,Çand,ku,\'dengbêj\' çawa tê pênasekirin?,sözlü anlatım ve ezgili hikaye
offline_6230,Çand,ku,Derbarê \'heftegiyan\' de vebijêrka rast kîjan e?,geleneksel yedi tahıllı çorba
offline_6325,Çand,ku,Derbarê \'bilûr\' de ya rast a zanîn çi ye?,kaval benzeri geleneksel üflemeli çalgı
