id,language_code,category_key,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_verified,source_url,publication_status,confidence,notes
ds_sinema_0027,ku-kmr,Sînema,Kîjan fîlmê Bahman Ghobadi li ser jiyana du zarokan ên ku di qada şer de li Kurdistanê dijîn e?,Half Moon,Turtles Can Fly,A Time for Drunken Horses,No One Knows About Persian Cats,C,Fîlma 'A Time for Drunken Horses' (Demê Hespên Serxweş) di sala 2000î de derketiye û çîroka du birayên êtîm ên ku li ser sînorê Îran û Îraqê dijîn vedibêje. Ev fîlm di festîvalên navneteweyî de gelek xelat wergirtine.,2,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0032,ku-kmr,Sînema,Kîjan fîlmê Bahman Ghobadi di sala 2000î de derketiye?,Turtles Can Fly,Half Moon,No One Knows About Persian Cats,A Time for Drunken Horses,D,Fîlma 'A Time for Drunken Horses' di sala 2000î de derketiye. Ev fîlm yekem fîlma dirêj a Bahman Ghobadi ye û li ser jiyana zarokên kurd ên li ser sînorê Îran û Îraqê ye.,2,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0037,ku-kmr,Sînema,Fîlma 'A Time for Drunken Horses' a Bahman Ghobadi çîroka kîjan kesan vedibêje?,Zarokên êtîm ên kurd,Muzîkjenên kurd,Leşkerên kurd,Gundiyên kurd,A,Fîlma 'A Time for Drunken Horses' çîroka du birayên êtîm ên kurd vedibêje ku li ser sînorê Îran û Îraqê dijîn. Yek ji birayan nexweş e û birayê wî yê mezin hewl dide ku dermanekî ji bo wî peyda bike.,2,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0038,ku-kmr,Sînema,Kîjan fîlmê Bahman Ghobadi di festîvala fîlman a Berlînê de xelat wergirtiye?,Turtles Can Fly,A Time for Drunken Horses,Half Moon,No One Knows About Persian Cats,B,Fîlma 'A Time for Drunken Horses' di Festîvala Fîlman a Berlînê de di sala 2000î de Xelata Mezin a Juriya wergirtiye. Ev yek ji serkeftinên herî mezin ên sînemaya kurdî ye.,3,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0045,ku-kmr,Sînema,Bahman Ghobadi di kîjan fîlmê xwe de li ser jiyana zarokên êtîm ên kurd fîlm çêkiriye?,A Time for Drunken Horses,Turtles Can Fly,Half Moon,No One Knows About Persian Cats,A,Fîlma 'A Time for Drunken Horses' çîroka du birayên êtîm ên kurd vedibêje. Ev fîlm di sala 2000î de derketiye û yekem fîlma dirêj a Bahman Ghobadi ye.,2,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0048,ku-kmr,Sînema,Bahman Ghobadi di kîjan fîlmê xwe de li ser jiyana gundiyên kurd fîlm çêkiriye?,Turtles Can Fly,Half Moon,No One Knows About Persian Cats,A Time for Drunken Horses,D,Fîlma 'A Time for Drunken Horses' li ser jiyana gundiyên kurd ên li ser sînorê Îran û Îraqê ye. Ev fîlm di sala 2000î de derketiye û yekem fîlma dirêj a Bahman Ghobadi ye.,2,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0053,ku-kmr,Sînema,Kîjan derhênera kurd fîlma 'Dort Augen' derxistiye?,Yüksel Yavuz,Nizamettin Ariç,Hiner Saleem,Mahmut Kaya,A,Yüksel Yavuz derhênerê kurd e ku fîlma 'Dort Augen' derxistiye. Ev fîlm li ser jiyana kurdan e.,3,verified,https://en.wikipedia.org/wiki/Yüksel_Yavuz,approved,0.95,
ds_sinema_0054,ku-kmr,Sînema,"Di fîlma 'Kilama Kurda' de, kîjan derhênerê kurd derhênerî kiriye?",Hiner Saleem,Nizamettin Ariç,Yılmaz Güney,Şerif Gören,B,Fîlma 'Kilama Kurda' ji aliyê Nizamettin Ariç ve hatiye derhênerîkirin. Ev fîlm yek ji fîlmên pêşîn ên kurdî ye.,1,verified,https://en.wikipedia.org/wiki/Nizamettin_Ariç,approved,0.95,
ds_sinema_0059,ku-kmr,Sînema,Kîjan fîlma Nizamettin Ariç li ser jiyana kurdan e?,Sès,Tir,Kilama Kurda,Yol,C,Fîlma 'Kilama Kurda' ya Nizamettin Ariç li ser jiyana kurdan e. Ev fîlm bi kurdî hatiye kişandin.,1,verified,https://en.wikipedia.org/wiki/Nizamettin_Ariç,approved,0.95,
ds_sinema_0063,ku-kmr,Sînema,"Di fîlma 'A Time for Drunken Horses' a Bahman Ghobadi de, kîjan zarok lîstiye?",Soran Ebrahim,Hossein Alizadeh,Ayoub Ahmadi,Sadegh Safaei,C,"Di fîlma 'A Time for Drunken Horses' a Bahman Ghobadi de, Ayoub Ahmadi lîstiye. Ev fîlm li ser jiyana zarokên kurd e.",3,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0068,ku-kmr,Sînema,Kîjan fîlma Bahman Ghobadi li ser jiyana zarokên penaber ên kurd e?,Turtles Can Fly,Half Moon,No One Knows About Persian Cats,A Time for Drunken Horses,D,Fîlma 'A Time for Drunken Horses' a Bahman Ghobadi li ser jiyana zarokên penaber ên kurd e. Ev fîlm li ser jiyana zarokên êtîm e.,2,verified,https://en.wikipedia.org/wiki/A_Time_for_Drunken_Horses,approved,0.95,
ds_sinema_0077,ku-kmr,Sînema,"Di kîjan salê de fîlma yekem a bi deng, 'The Jazz Singer', derket?",1927,1929,1931,1925,A,Fîlma 'The Jazz Singer' di sala 1927an de derket û bi vî awayî destpêka serdema fîlmên bi deng hat kirin.,1,verified,https://en.wikipedia.org/wiki/The_Jazz_Singer,approved,0.95,
ds_sinema_0080,ku-kmr,Sînema,Kîjan derhênerê amerîkî fîlma 'The Birth of a Nation' derxist?,Cecil B. DeMille,Charlie Chaplin,Buster Keaton,D.W. Griffith,D,D.W. Griffith derhênerê vî fîlmî yê nakokî ye ku di sala 1915an de derket û ji bo teknîkên xwe yên sînemayî tê zanîn.,2,verified,https://en.wikipedia.org/wiki/The_Birth_of_a_Nation,approved,0.95,
ds_sinema_0081,ku-kmr,Sînema,Di kîjan salê de fîlma 'Metropolis' a Fritz Lang derket?,1927,1929,1925,1931,A,Fîlma 'Metropolis' di sala 1927an de derket û weke yek ji yekem fîlmên zanistî-xeyalî yên dirêj tê zanîn.,1,verified,https://en.wikipedia.org/wiki/Metropolis_(1927_film),approved,0.95,
ds_sinema_0082,ku-kmr,Sînema,Kîjan derhênerê îngilîz fîlma 'The Lodger: A Story of the London Fog' derxist?,Michael Powell,Alfred Hitchcock,David Lean,Carol Reed,B,Alfred Hitchcock derhênerê vî fîlmî yê bêdeng e ku di sala 1927an de derket û weke yek ji berhemên wî yên destpêkê tê zanîn.,2,verified,https://en.wikipedia.org/wiki/The_Lodger:_A_Story_of_the_London_Fog,approved,0.95,
ds_sinema_0084,ku-kmr,Sînema,Kîjan derhênerê rûs fîlma 'The Man with a Movie Camera' derxist?,Sergei Eisenstein,Vsevolod Pudovkin,Alexander Dovzhenko,Dziga Vertov,D,Dziga Vertov derhênerê vî belgefîlmî yê ezmûnî ye ku di sala 1929an de derket û ji bo teknîkên montajê yên xwe tê zanîn.,3,verified,https://en.wikipedia.org/wiki/Man_with_a_Movie_Camera,approved,0.95,
ds_sinema_0085,ku-kmr,Sînema,Di kîjan salê de fîlma 'Gone with the Wind' derket?,1939,1940,1938,1941,A,Ev fîlma epîk a amerîkî di sala 1939an de derket û weke yek ji fîlmên herî bi dahatî yên wê serdemê tê zanîn.,1,verified,https://en.wikipedia.org/wiki/Gone_with_the_Wind_(film),approved,0.95,
ds_sinema_0086,ku-kmr,Sînema,Kîjan derhênerê japonî fîlma 'Rashomon' derxist?,Kenji Mizoguchi,Akira Kurosawa,Yasujirō Ozu,Masaki Kobayashi,B,Akira Kurosawa derhênerê vî fîlmî ye ku di sala 1950î de derket û sînemaya japonî da nasandin cîhanê.,2,verified,https://en.wikipedia.org/wiki/Rashomon,approved,0.95,
ds_sinema_0087,ku-kmr,Sînema,Di kîjan salê de fîlma 'Bicycle Thieves' a Vittorio De Sica derket?,1950,1946,1948,1952,C,Ev fîlma îtalyan a neorealîst di sala 1948an de derket û weke yek ji berhemên herî girîng ên vî tevgerî tê zanîn.,2,verified,https://en.wikipedia.org/wiki/Bicycle_Thieves,approved,0.95,
ds_sinema_0088,ku-kmr,Sînema,Kîjan derhênera amerîkî fîlma 'The Hurt Locker' derxist?,Sofia Coppola,Ava DuVernay,Greta Gerwig,Kathryn Bigelow,D,Kathryn Bigelow derhênera vî fîlmî ye û bi wî fîlmî bû yekem jina ku Xelata Oscarê ji bo derhêneriya herî baş wergirt.,2,verified,https://en.wikipedia.org/wiki/The_Hurt_Locker,approved,0.95,
ds_sinema_0089,ku-kmr,Sînema,Di kîjan salê de fîlma 'The Godfather' a Francis Ford Coppola derket?,1972,1971,1973,1974,A,Fîlma 'The Godfather' di sala 1972an de derket û weke yek ji fîlmên herî girîng ên dîroka sînemayê tê zanîn.,1,verified,https://en.wikipedia.org/wiki/The_Godfather,approved,0.95,
ds_sinema_0090,ku-kmr,Sînema,Kîjan derhênerê polonî fîlma 'The Pianist' derxist?,Andrzej Wajda,Roman Polanski,Krzysztof Kieślowski,Paweł Pawlikowski,B,Roman Polanski derhênerê vî fîlmî ye ku di sala 2002yan de derket û li ser jiyana Władysław Szpilman e.,2,verified,https://en.wikipedia.org/wiki/The_Pianist_(2002_film),approved,0.95,
